# 由 qingjian-dict-convert 从 Unicode CLDR zh annotations 生成（Unicode License v3）。词\temoji emoji …
两个人手牵手	🧑‍🤝‍🧑
两个向上箭头	⇈
两个向下箭头	⇊
两个向右箭头	⇉
两个向左箭头	⇇
两个女人	👭
两个男人	👬
两点	🕑
两点半	🕝
两眼不平	🥴
两颗心	💕
严格等价于	≣
严禁	🈲 📵 🚭 🚯 🚳 🚷 🚫
丧礼	⚱
个人电脑	💻 🖥
中东蔬菜球	🧆
中国	🐉 ¥
中式外卖	🥡
中心	💠 🫀
中性	🧑 🧒 🧓 🧑‍🦰 🧑‍🦱 🧑‍🦲 🧑‍🦳
中指	🖕
中暑	🥵
中止	🫷 🫸
中点	·
中秋	🎑
中秋节	🥮
中空荚状方括号	〖 〗
中空角括号	『 』
中空透镜状方括号	〖 〗
中等	🔉
中等音量	🔉
中等音量的扬声器	🔉
中线水平省略号	⋯
中间	·
中音量	🔉
中音量扬声器	🔉
中餐	🍴
为什么	🤌 ❓ ❔
主厨	🔪
主意	💡
主食	🍚
举双手	🙌
举手	🙋 🙋‍♀ 🙋‍♂ ✋ 🙌
举手的人	🙋
举拳	✊
举白旗	🏳
举起	🤚
举起张开的手掌	🖐
举起手	✋
举起手背	🤚
举起拳头	✊
举起的手	✋
举重	🏋 🏋‍♀ 🏋‍♂
举重的人	🏋
举重运动员	🏋
举铁	🏋
举黑旗	🏴
义肢	🦾 🦿
乌云蔽日	⛅
乌克兰格里夫纳	₴
乌贼	🦑
乌鸦	🐦‍⬛
乌龙茶	🍵
乌龟	🐢
乐器	🎷 🎸 🎹 🎺 🎻 🪇 🪈 🪊 🪗 🪘 🪉
乐翻了	🤣
乐谱	🎼 🎵 🎶
乐队	🪈
乒乓	🏓
乒乓球	🏓
乘	✖
乘以	×
乘号	× ❎ ✖
乘法	×
乘积	×
乘雪橇	🛷
九点	🕘
九点半	🕤
乡村家园	🏠 🏡
书	📚 📗 📘 📙 📕 📖
书包	🎒
书呆子	🤓
书呆子脸	🤓
书本	📗 📘 📙 📕 📖 📚
书本合起	📕
书签	🔖 📑
书签页标签	📑
书籍	📚
乳制品	🧈
乳房	🤱
乳液	🧴
乳液瓶	🧴
乳牛	🐄 🐮
争论	🫯
二头肌	💪
二孩	🧑‍🧑‍🧒‍🧒 🧑‍🧒‍🧒
二孩家庭	🧑‍🧑‍🧒‍🧒
二重积分	∬
亏凸月	🌖
亏眉月	🌘
云	☁ 🌥 🌤
云彩	☁
云朵	☁
互联网	🛜
五彩纸屑	🎊
五彩纸屑球	🎊
五指	✋
五月节	🪅
五点	🕔
五点半	🕠
五线谱	🎵 🎶 🎼
五角星	⭐
井盖	🕳
亚军	🥈
亚洲	🌏
亚澳	🌏
亚美尼亚德拉姆	֏
交叉	🤞 ⚔ 🔀 ❌
交叉口	🚦
交叉放置的剑	⚔
交叉旗	🎌
交叉的手指	🤞
交叉股骨	☠
交警	👮 👮‍♀
交通	🚸 ⛔ 🚳
交通工具	🛻
交通灯	🚥 🚦
交集	∩
产品	™
享受按摩的人	💆
亮	🔆
亮度	🔅 🔆
亲亲	😗 😽 😙 😚 💗 😘
亲亲猫	😽
亲吻	💏 👨‍❤‍💋‍👨 👩‍❤‍💋‍👨 👩‍❤‍💋‍👩 💋 😗
