word	pinyin	rank	doc_freq	level	source
王辉			3732		THUOCL
李嘉诚			3728		THUOCL
陈冲			3683		THUOCL
赵薇			3648		THUOCL
王静			3621		THUOCL
路易斯			3619		THUOCL
范冰冰			3606		THUOCL
张宁			3571		THUOCL
郑和			3554		THUOCL
安妮			3547		THUOCL
丹尼斯			3538		THUOCL
张静			3538		THUOCL
陈亮			3511		THUOCL
钱学森			3505		THUOCL
张华			3472		THUOCL
屈原			3408		THUOCL
王芳			3402		THUOCL
王菲			3398		THUOCL
杨毅			3397		THUOCL
海宁			3372		THUOCL
金龙			3371		THUOCL
曾荫权			3369		THUOCL
王欣			3360		THUOCL
高桥			3326		THUOCL
阿朵			3309		THUOCL
卡恩			3298		THUOCL
韩寒			3284		THUOCL
刘颖			3279		THUOCL
向县			3229		THUOCL
张宇			3226		THUOCL
李阳			3222		THUOCL
卡洛斯			3219		THUOCL
刘震			3209		THUOCL
黄兴			3194		THUOCL
陈斌			3179		THUOCL
凯文			3177		THUOCL
公明			3168		THUOCL
孟子			3168		THUOCL
王楠			3164		THUOCL
格林			3161		THUOCL
曼苏尔			3155		THUOCL
默多克			3150		THUOCL
希特勒			3146		THUOCL
胡志明			3140		THUOCL
杨洋			3115		THUOCL
崔永元			3109		THUOCL
张波			3109		THUOCL
章子怡			3104		THUOCL
曹操			3092		THUOCL
弗兰克			3091		THUOCL
戴高乐			3090		THUOCL
张江			3085		THUOCL
陈涛			3063		THUOCL
泰勒			3059		THUOCL
罗斯福			3057		THUOCL
黄睿			3038		THUOCL
陈毅			3027		THUOCL
基辛格			2964		THUOCL
杨磊			2964		THUOCL
赛义德			2963		THUOCL
李兵			2962		THUOCL
徐超			2952		THUOCL
王安石			2939		THUOCL
李莉			2930		THUOCL
永乐			2913		THUOCL
陈明			2907		THUOCL
爱因斯坦			2888		THUOCL
张超			2868		THUOCL
濮阳			2839		THUOCL
王平			2836		THUOCL
金庸			2834		THUOCL
戴安娜			2819		THUOCL
贺龙			2819		THUOCL
列宁			2804		THUOCL
黄晓明			2802		THUOCL
杨帆			2800		THUOCL
黄帝			2758		THUOCL
杜甫			2749		THUOCL
阿波罗			2718		THUOCL
何塞			2715		THUOCL
李林			2705		THUOCL
刘少奇			2699		THUOCL
鲁尼			2689		THUOCL
李彦宏			2681		THUOCL
刘欢			2679		THUOCL
秦始皇			2678		THUOCL
齐白石			2678		THUOCL
莎士比亚			2664		THUOCL
威尔逊			2654		THUOCL
撒切尔			2639		THUOCL
巴拉克			2635		THUOCL
马化腾			2629		THUOCL
王姝			2607		THUOCL
陈翔			2600		THUOCL
丁宁			2597		THUOCL
胡润			2567		THUOCL
张洁			2557		THUOCL
梅兰芳			2555		THUOCL
戴尔			2551		THUOCL
陈寅恪			2541		THUOCL
张燕			2540		THUOCL
徐悲鸿			2540		THUOCL
同治			2537		THUOCL
李光耀			2535		THUOCL
摩尔			2532		THUOCL
王威			2523		THUOCL
梁启超			2521		THUOCL
弗格森			2518		THUOCL
皮埃尔			2511		THUOCL
陈平			2503		THUOCL
李东生			2501		THUOCL
王石			2500		THUOCL
哈利			2475		THUOCL
沃伦			2463		THUOCL
威廉姆斯			2462		THUOCL
劳伦斯			2456		THUOCL
张乐			2445		THUOCL
建安			2441		THUOCL
崔天凯			2435		THUOCL
达芬奇			2411		THUOCL
董建华			2406		THUOCL
迟福林			2402		THUOCL
王莹			2395		THUOCL
吉米			2377		THUOCL
刘超			2369		THUOCL
杨勇			2366		THUOCL
许琛			2356		THUOCL
林毅夫			2327		THUOCL
马修			2323		THUOCL
施密特			2280		THUOCL
李安			2280		THUOCL
慈禧太后			2278		THUOCL
祖逖			2277		THUOCL
胡安			2270		THUOCL
卢武铉			2267		THUOCL
杨松			2265		THUOCL
丹阳			2253		THUOCL
姚晨			2250		THUOCL
李红			2249		THUOCL
乔丹			2232		THUOCL
玛格丽特			2226		THUOCL
张俊			2211		THUOCL
刘建			2210		THUOCL
高飞			2209		THUOCL
汪峰			2208		THUOCL
王浩			2203		THUOCL
刘娜			2197		THUOCL
马三立			2181		THUOCL
李连杰			2177		THUOCL
郭敬明			2172		THUOCL
朱镕基			2170		THUOCL
杨辉			2167		THUOCL
欧文			2160		THUOCL
斯诺			2158		THUOCL
安迪			2144		THUOCL
白洁			2131		THUOCL
河野			2120		THUOCL
茅盾			2103		THUOCL
道光			2096		THUOCL
罗杰			2091		THUOCL
刘平			2079		THUOCL
张大千			2077		THUOCL
斯大林			2068		THUOCL
杨阳			2059		THUOCL
白杨			2057		THUOCL
布莱恩			2052		THUOCL
孙坚			2048		THUOCL
李波			2045		THUOCL
小泉			2041		THUOCL
婷婷			2030		THUOCL
林志玲			2027		THUOCL
厉以宁			2020		THUOCL
怀特			2013		THUOCL
加西亚			2008		THUOCL
马伦			1996		THUOCL
刘星			1995		THUOCL
丘吉尔			1983		THUOCL
王婧			1982		THUOCL
牛顿			1979		THUOCL
李宇春			1978		THUOCL
毕加索			1977		THUOCL
劳拉			1971		THUOCL
