word	pinyin	rank	doc_freq	level	source
菜籽油			18002		THUOCL
意大利面			17941		THUOCL
牛油			17754		THUOCL
松风			17730		THUOCL
霸王别姬			17700		THUOCL
茶多酚			17598		THUOCL
菱角			17591		THUOCL
酒廊			17409		THUOCL
墨鱼			17270		THUOCL
豆豉			17211		THUOCL
豆腐干			17156		THUOCL
猪血			17151		THUOCL
人参果			17079		THUOCL
驴肉			17022		THUOCL
金玉满堂			17009		THUOCL
油面			16924		THUOCL
葱段			16903		THUOCL
扇贝			16676		THUOCL
泸州老窖			16618		THUOCL
八宝饭			16555		THUOCL
凉皮			16550		THUOCL
山核桃			16434		THUOCL
洋河			16433		THUOCL
国珍			16360		THUOCL
哈密瓜			16348		THUOCL
鱼生			16293		THUOCL
脐橙			16269		THUOCL
红油			16219		THUOCL
红果			16174		THUOCL
西湖龙井			16106		THUOCL
大团圆			16042		THUOCL
红椒			15894		THUOCL
煮鸡蛋			15864		THUOCL
大红袍			15862		THUOCL
薏仁			15847		THUOCL
海红			15798		THUOCL
春卷			15691		THUOCL
新红			15682		THUOCL
驼峰			15464		THUOCL
西兰花			15428		THUOCL
伯顿			15323		THUOCL
黄粉			15315		THUOCL
港红			15225		THUOCL
狗不理			15159		THUOCL
椒盐			15133		THUOCL
里脊			14941		THUOCL
乳化剂			14927		THUOCL
双鹤			14899		THUOCL
辣椒酱			14882		THUOCL
鳕鱼			14876		THUOCL
金元宝			14750		THUOCL
樟脑			14697		THUOCL
白茶			14637		THUOCL
黑米			14634		THUOCL
腊八粥			14461		THUOCL
酥油茶			14412		THUOCL
白鹅			14345		THUOCL
海蜇			14343		THUOCL
小酒馆			14183		THUOCL
鸭脖			14126		THUOCL
烤羊肉			14103		THUOCL
亚油酸			14027		THUOCL
炒面			13971		THUOCL
甜味剂			13938		THUOCL
生蚝			13925		THUOCL
金针菇			13809		THUOCL
椰树			13784		THUOCL
苏打水			13766		THUOCL
狮子头			13760		THUOCL
汤包			13716		THUOCL
银鱼			13601		THUOCL
起司			13400		THUOCL
芽菜			13246		THUOCL
剑南春			13157		THUOCL
冰峰			13124		THUOCL
螺蛳			13069		THUOCL
鹅肝			13058		THUOCL
木糖醇			12968		THUOCL
氯化钾			12815		THUOCL
高岭土			12698		THUOCL
豆皮			12573		THUOCL
华凌			12503		THUOCL
杏花村			12461		THUOCL
鹿肉			12445		THUOCL
碧海银沙			12442		THUOCL
烟酸			12392		THUOCL
面筋			12367		THUOCL
丙二醇			12341		THUOCL
力存			12241		THUOCL
过桥米线			12239		THUOCL
核黄素			12202		THUOCL
葡萄柚			12184		THUOCL
烤全羊			12171		THUOCL
解百纳			12159		THUOCL
甜酒			12146		THUOCL
香槟酒			12144		THUOCL
鲁菜			12015		THUOCL
家庭版			11997		THUOCL
明矾			11938		THUOCL
白葡萄酒			11869		THUOCL
蛋卷			11852		THUOCL
冰糖葫芦			11766		THUOCL
花糕			11741		THUOCL
罗汉果			11722		THUOCL
南翔			11578		THUOCL
重庆火锅			11555		THUOCL
炸酱面			11531		THUOCL
鹌鹑蛋			11479		THUOCL
色香味俱全			11452		THUOCL
莴笋			11416		THUOCL
辣椒粉			11414		THUOCL
肉粥			11386		THUOCL
豆汁			11348		THUOCL
礼记			11347		THUOCL
孜然			11305		THUOCL
吐司			11293		THUOCL
牛尾			11258		THUOCL
豆腐脑			11230		THUOCL
火龙果			11229		THUOCL
动物油			11148		THUOCL
鱼子酱			10858		THUOCL
西芹			10848		THUOCL
白粥			10809		THUOCL
金屋藏娇			10712		THUOCL
苦中作乐			10676		THUOCL
黑松			10527		THUOCL
松茸			10523		THUOCL
烧鹅			10502		THUOCL
啫喱			10482		THUOCL
龙丹			10469		THUOCL
硬脂酸			10398		THUOCL
薄饼			10364		THUOCL
亚麻酸			10186		THUOCL
山竹			10171		THUOCL
沙拉酱			10136		THUOCL
湘莲			10131		THUOCL
蒜苗			10109		THUOCL
苹果酸			10103		THUOCL
牛扒			10097		THUOCL
吐温			10076		THUOCL
八宝粥			10044		THUOCL
牛骨			9990		THUOCL
隆鑫			9957		THUOCL
小火煮			9955		THUOCL
凤爪			9914		THUOCL
芭乐			9906		THUOCL
牛鞭			9891		THUOCL
花生仁			9838		THUOCL
绿豆芽			9756		THUOCL
曲酒			9747		THUOCL
青果			9742		THUOCL
肠粉			9724		THUOCL
通心粉			9718		THUOCL
古井贡			9659		THUOCL
羊排			9649		THUOCL
泡馍			9585		THUOCL
冬枣			9575		THUOCL
回锅肉			9522		THUOCL
糕饼			9506		THUOCL
保健茶			9453		THUOCL
酸梅汤			9405		THUOCL
牛磺酸			9391		THUOCL
苦丁茶			9353		THUOCL
调和油			9349		THUOCL
淀粉酶			9336		THUOCL
卤味			9267		THUOCL
糖衣炮弹			9249		THUOCL
蛋挞			9235		THUOCL
牛杂			9131		THUOCL
漂白剂			9111		THUOCL
赤豆			9072		THUOCL
柠檬黄			9043		THUOCL
植酸			9029		THUOCL
馍馍			9026		THUOCL
肥肠			8986		THUOCL
葡萄汁			8909		THUOCL
黑胡椒			8907		THUOCL
基摩			8898		THUOCL
冠生园			8896		THUOCL
张记			8894		THUOCL
姜黄			8784		THUOCL
上清饮			8725		THUOCL
爆肚			8708		THUOCL
锅贴			8673		THUOCL
琼脂			8671		THUOCL
小馒头			8641		THUOCL
甲壳素			8634		THUOCL
眼肉			8618		THUOCL
烤羊肉串			8617		THUOCL
蔬菜汤			8421		THUOCL
天果			8411		THUOCL
炒米			8380		THUOCL
辣汤			8375		THUOCL
糌粑			8369		THUOCL
茭白			8349		THUOCL
花卷			8321		THUOCL
着色剂			8305		THUOCL
浆水			8250		THUOCL
甘氨酸			8250		THUOCL
茼蒿			8201		THUOCL
黑茶			8201		THUOCL
轩尼诗			8192		THUOCL
氧化镁			8177		THUOCL
酒精饮料			8156		THUOCL
蒜蓉			8133		THUOCL
龙凤呈祥			8050		THUOCL
酸菜鱼			8023		THUOCL
烧心			8008		THUOCL
提拉米苏			7989		THUOCL
果佳			7968		THUOCL
焦糖			7940		THUOCL
糯米饭			7937		THUOCL
开口笑			7908		THUOCL
白豆			7906		THUOCL
炖肉			7901		THUOCL
百页			7804		THUOCL
武昌鱼			7801		THUOCL
苞米			7801		THUOCL
楼外楼			7795		THUOCL
米果			7794		THUOCL
土豆泥			7791		THUOCL
小茴香			7767		THUOCL
蓝带			7759		THUOCL
金耳			7735		THUOCL
天仁			7721		THUOCL
马肉			7716		THUOCL
鸭脖子			7670		THUOCL
草菇			7665		THUOCL
苹果醋			7625		THUOCL
面鲜			7610		THUOCL
发菜			7592		THUOCL
蜜柑			7539		THUOCL
碳酸氢钠			7536		THUOCL
肉夹馍			7532		THUOCL
羊肉汤			7526		THUOCL
奶油蛋糕			7515		THUOCL
红土地			7498		THUOCL
板鸭			7492		THUOCL
氢氧化钠			7466		THUOCL
牛皮糖			7431		THUOCL
芬达			7410		THUOCL
丙氨酸			7407		THUOCL
肉骨头			7403		THUOCL
龙眼肉			7390		THUOCL
凉面			7354		THUOCL
安格斯			7281		THUOCL
抓饭			7279		THUOCL
竹荪			7236		THUOCL
太子奶			7208		THUOCL
糍粑			7207		THUOCL
孔雀开屏			7194		THUOCL
刀削面			7105		THUOCL
白切			7104		THUOCL
蒸饺			7081		THUOCL
利嘉			7008		THUOCL
靛蓝			6925		THUOCL
三创			6914		THUOCL
燕麦片			6875		THUOCL
石斑鱼			6871		THUOCL
紫竹林			6859		THUOCL
驴打滚			6848		THUOCL
润明			6831		THUOCL
青茶			6818		THUOCL
芸豆			6800		THUOCL
道酒			6778		THUOCL
花蛋糕			6774		THUOCL
菠萝蜜			6764		THUOCL
美食之旅			6756		THUOCL
麦饭			6718		THUOCL
夜光杯			6658		THUOCL
压缩饼干			6627		THUOCL
麻婆豆腐			6627		THUOCL
硫酸铜			6622		THUOCL
东来顺			6619		THUOCL
徽菜			6538		THUOCL
金菊			6491		THUOCL
白胡椒			6487		THUOCL
方糖			6485		THUOCL
干白			6407		THUOCL
刺五加			6393		THUOCL
增稠剂			6390		THUOCL
雪团			6375		THUOCL
比目鱼			6366		THUOCL
粉皮			6308		THUOCL
包面			6258		THUOCL
热干面			6238		THUOCL
糖粉			6214		THUOCL
茶饼			6210		THUOCL
古越龙山			6202		THUOCL
顶呱呱			6200		THUOCL
牛柳			6176		THUOCL
伊力特			6164		THUOCL
餐包			6156		THUOCL
平菇			6132		THUOCL
鱼香肉丝			6127		THUOCL
酶制剂			6116		THUOCL
芝士蛋糕			6106		THUOCL
羊杂			6105		THUOCL
果蔬汁			6104		THUOCL
沱茶			6080		THUOCL
