word	pinyin	rank	doc_freq	level	source
肠胃			10087		THUOCL
意外伤害			10062		THUOCL
安全防护			10061		THUOCL
胶囊			10031		THUOCL
接种			10029		THUOCL
应急办			9957		THUOCL
支架			9905		THUOCL
妇产科			9903		THUOCL
综合征			9833		THUOCL
流产			9811		THUOCL
刺伤			9805		THUOCL
防风			9777		THUOCL
肺癌			9750		THUOCL
麻木			9735		THUOCL
解剖			9669		THUOCL
纱布			9649		THUOCL
抵抗力			9581		THUOCL
肺炎			9577		THUOCL
放射性物质			9431		THUOCL
心血管			9387		THUOCL
免疫			9373		THUOCL
超负荷			9200		THUOCL
隐性			9168		THUOCL
妇科			9126		THUOCL
无害化处理			9096		THUOCL
不良反应			9041		THUOCL
食物中毒			9022		THUOCL
抑郁症			9021		THUOCL
消退			8986		THUOCL
抽样调查			8954		THUOCL
麻醉			8954		THUOCL
感染者			8948		THUOCL
红肿			8897		THUOCL
激素			8847		THUOCL
分泌			8761		THUOCL
苍白			8683		THUOCL
炎症			8670		THUOCL
卫生行政部门			8642		THUOCL
乳腺癌			8626		THUOCL
乡镇卫生院			8622		THUOCL
咬伤			8491		THUOCL
残障			8456		THUOCL
异物			8365		THUOCL
烫伤			8343		THUOCL
腹痛			8288		THUOCL
骨骼			8209		THUOCL
疫病			8111		THUOCL
胸闷			8086		THUOCL
甲醛			8073		THUOCL
新型农村合作医疗			7944		THUOCL
指甲			7926		THUOCL
紊乱			7832		THUOCL
呼吸系统			7825		THUOCL
下肢			7810		THUOCL
咽喉			7808		THUOCL
卫生监督			7797		THUOCL
内分泌			7775		THUOCL
疗程			7763		THUOCL
休克			7734		THUOCL
住院部			7727		THUOCL
软组织			7719		THUOCL
主治医师			7652		THUOCL
机能			7637		THUOCL
产后			7606		THUOCL
产科			7553		THUOCL
生物技术			7546		THUOCL
复活			7545		THUOCL
大动脉			7522		THUOCL
月经			7448		THUOCL
截肢			7405		THUOCL
无偿献血			7382		THUOCL
性行为			7373		THUOCL
变异			7342		THUOCL
共生			7304		THUOCL
肤色			7255		THUOCL
针灸			7245		THUOCL
禽流感病毒			7224		THUOCL
药物治疗			7217		THUOCL
预防措施			7189		THUOCL
生殖			7184		THUOCL
密切接触者			7178		THUOCL
抽搐			7121		THUOCL
水灾			7115		THUOCL
麻痹			7095		THUOCL
肠道			7020		THUOCL
游离			7001		THUOCL
紫外线			7000		THUOCL
反射			6983		THUOCL
血流			6963		THUOCL
先天性			6926		THUOCL
直接接触			6893		THUOCL
撕裂			6729		THUOCL
骨髓			6716		THUOCL
专科医院			6714		THUOCL
肝癌			6677		THUOCL
毒素			6673		THUOCL
凹陷			6648		THUOCL
金门			6641		THUOCL
先天性心脏病			6606		THUOCL
阴性			6602		THUOCL
病理			6595		THUOCL
白内障			6589		THUOCL
伤疤			6554		THUOCL
脱水			6512		THUOCL
刺痛			6497		THUOCL
职业病			6483		THUOCL
药剂			6468		THUOCL
拇指			6402		THUOCL
缝合			6402		THUOCL
呼吸机			6386		THUOCL
一致性			6368		THUOCL
制剂			6348		THUOCL
县医院			6311		THUOCL
神经系统			6295		THUOCL
敏感性			6243		THUOCL
心脑血管疾病			6183		THUOCL
妊娠			6155		THUOCL
放射			6149		THUOCL
止血			6148		THUOCL
协和医院			6060		THUOCL
动脉			6043		THUOCL
幻觉			6024		THUOCL
便秘			6003		THUOCL
光滑			5991		THUOCL
生长发育			5989		THUOCL
黏膜			5983		THUOCL
尿液			5971		THUOCL
微量元素			5962		THUOCL
失调			5952		THUOCL
高危人群			5942		THUOCL
医学观察			5929		THUOCL
知觉			5888		THUOCL
流行病学调查			5876		THUOCL
颈椎			5858		THUOCL
医德			5809		THUOCL
疑似病例			5792		THUOCL
贫血			5774		THUOCL
气囊			5762		THUOCL
食指			5753		THUOCL
坏死			5706		THUOCL
嗅觉			5684		THUOCL
生物学			5680		THUOCL
突变			5678		THUOCL
营养不良			5663		THUOCL
神经外科			5623		THUOCL
气管			5608		THUOCL
皮肤病			5590		THUOCL
肋骨			5553		THUOCL
村卫生室			5495		THUOCL
中枢			5484		THUOCL
疫区			5430		THUOCL
血脂			5417		THUOCL
重症监护			5370		THUOCL
社区医院			5357		THUOCL
人参			5281		THUOCL
近视			5267		THUOCL
口服			5246		THUOCL
精神障碍			5243		THUOCL
医疗事故			5235		THUOCL
埃博拉病毒			5220		THUOCL
挥发性			5220		THUOCL
摄取			5203		THUOCL
流行病学			5201		THUOCL
子宫			5184		THUOCL
早产			5170		THUOCL
灼伤			5169		THUOCL
临床表现			5158		THUOCL
愈合			5121		THUOCL
颅脑损伤			5102		THUOCL
软化			5070		THUOCL
闭环			5058		THUOCL
腰椎			5027		THUOCL
超生			5017		THUOCL
乙醇			5003		THUOCL
皮肤科			4993		THUOCL
临床医学			4980		THUOCL
生物科技			4980		THUOCL
肺结核			4951		THUOCL
中草药			4944		THUOCL
血型			4943		THUOCL
核酸			4927		THUOCL
粉碎性骨折			4917		THUOCL
降压			4869		THUOCL
矫治			4858		THUOCL
咀嚼			4855		THUOCL
采血			4845		THUOCL
健康档案			4839		THUOCL
体征			4826		THUOCL
胃癌			4799		THUOCL
预防为主			4797		THUOCL
心电图			4795		THUOCL
胆固醇			4776		THUOCL
推拿			4771		THUOCL
传染性			4748		THUOCL
听觉			4748		THUOCL
接种疫苗			4737		THUOCL
微循环			4724		THUOCL
造血干细胞			4699		THUOCL
难产			4690		THUOCL
器官移植			4685		THUOCL
病毒感染			4674		THUOCL
中指			4652		THUOCL
静脉			4649		THUOCL
临界点			4643		THUOCL
薄膜			4625		THUOCL
干细胞			4618		THUOCL
理疗			4616		THUOCL
临床试验			4610		THUOCL
透析			4598		THUOCL
乡村医生			4566		THUOCL
间歇性			4526		THUOCL
免疫系统			4516		THUOCL
喷雾			4514		THUOCL
烧死			4504		THUOCL
神经内科			4464		THUOCL
心率			4441		THUOCL
水肿			4440		THUOCL
土壤污染			4437		THUOCL
县级医院			4431		THUOCL
淋浴			4414		THUOCL
头皮			4405		THUOCL
失能			4390		THUOCL
伸展			4380		THUOCL
变性			4374		THUOCL
抗体			4367		THUOCL
流感疫苗			4362		THUOCL
癫痫			4361		THUOCL
亚健康			4358		THUOCL
猕猴桃			4351		THUOCL
胃肠道			4347		THUOCL
溃疡			4323		THUOCL
塑化剂			4318		THUOCL
血站			4312		THUOCL
乳房			4297		THUOCL
性病			4295		THUOCL
潜意识			4283		THUOCL
避孕			4276		THUOCL
精子			4275		THUOCL
面罩			4272		THUOCL
安眠药			4257		THUOCL
控制措施			4252		THUOCL
绷带			4242		THUOCL
同源			4236		THUOCL
神志不清			4224		THUOCL
优生			4223		THUOCL
海豹			4221		THUOCL
兴奋剂			4215		THUOCL
体外			4205		THUOCL
脑出血			4205		THUOCL
精神科			4193		THUOCL
眩晕			4142		THUOCL
四强			4108		THUOCL
氨基酸			4104		THUOCL
突发公共卫生事件			4100		THUOCL
挂号费			4097		THUOCL
心脑血管			4093		THUOCL
疫苗接种			4066		THUOCL
复诊			4054		THUOCL
植物人			4050		THUOCL
聋哑			4045		THUOCL
精神分裂症			4029		THUOCL
酸痛			4007		THUOCL
处方药			4004		THUOCL
偶发			3988		THUOCL
潜伏期			3981		THUOCL
解毒			3977		THUOCL
传播途径			3976		THUOCL
毛发			3967		THUOCL
消化系统			3965		THUOCL
肾病			3953		THUOCL
浸润			3951		THUOCL
外科手术			3938		THUOCL
肺病			3926		THUOCL
筋骨			3912		THUOCL
肩部			3911		THUOCL
表皮			3909		THUOCL
二氧化氮			3903		THUOCL
鼻涕			3869		THUOCL
血小板			3868		THUOCL
胃病			3839		THUOCL
角膜			3810		THUOCL
骨髓移植			3805		THUOCL
肝病			3780		THUOCL
裂纹			3772		THUOCL
喘息			3764		THUOCL
鼻腔			3763		THUOCL
心肺复苏			3756		THUOCL
二级医院			3742		THUOCL
哺乳期			3738		THUOCL
变态			3725		THUOCL
产前			3719		THUOCL
胸腔			3714		THUOCL
功能障碍			3705		THUOCL
登革热			3700		THUOCL
绝症			3691		THUOCL
口渴			3674		THUOCL
疼痛难忍			3654		THUOCL
无意识			3650		THUOCL
消炎			3649		THUOCL
颜面			3649		THUOCL
宫颈癌			3641		THUOCL
瘙痒			3632		THUOCL
排泄			3630		THUOCL
胰岛素			3626		THUOCL
泌尿外科			3625		THUOCL
心理治疗			3617		THUOCL
出生率			3612		THUOCL
关节炎			3610		THUOCL
综合防治			3598		THUOCL
鼻梁			3589		THUOCL
乳腺			3586		THUOCL
肝硬化			3584		THUOCL
执业医师			3575		THUOCL
空腹			3574		THUOCL
韩启德			3561		THUOCL
换气			3527		THUOCL
鼻炎			3523		THUOCL
成活			3503		THUOCL
扭伤			3493		THUOCL
排泄物			3481		THUOCL
腹腔			3467		THUOCL
脾胃			3461		THUOCL
综合症			3458		THUOCL
颈椎病			3451		THUOCL
肝炎			3419		THUOCL
中西医结合			3407		THUOCL
学名			3406		THUOCL
昏厥			3405		THUOCL
携带者			3396		THUOCL
结核病			3395		THUOCL
移位			3385		THUOCL
温度计			3381		THUOCL
菌落总数			3366		THUOCL
梗阻			3355		THUOCL
失血性休克			3342		THUOCL
疾患			3330		THUOCL
痉挛			3324		THUOCL
手足口病			3318		THUOCL
海马			3314		THUOCL
用药安全			3309		THUOCL
毁容			3305		THUOCL
临床经验			3291		THUOCL
试剂			3286		THUOCL
脑震荡			3274		THUOCL
流行病			3257		THUOCL
经络			3254		THUOCL
鼻孔			3243		THUOCL
骨质疏松			3242		THUOCL
生育率			3237		THUOCL
无菌			3230		THUOCL
不规则			3229		THUOCL
健脾			3229		THUOCL
肋骨骨折			3220		THUOCL
疗养院			3206		THUOCL
甲醇			3202		THUOCL
显微镜			3198		THUOCL
甲状腺			3198		THUOCL
肺部感染			3192		THUOCL
味蕾			3177		THUOCL
疟疾			3135		THUOCL
缺血			3119		THUOCL
寄生虫			3102		THUOCL
窗口期			3093		THUOCL
呼气			3091		THUOCL
药学			3077		THUOCL
湿热			3069		THUOCL
成熟期			3067		THUOCL
葡萄糖			3065		THUOCL
止痛			3058		THUOCL
阴道			3047		THUOCL
盲道			3020		THUOCL
味觉			3018		THUOCL
卫生许可证			2995		THUOCL
显性			2971		THUOCL
亲子关系			2961		THUOCL
斑点			2959		THUOCL
血性			2955		THUOCL
脐带			2950		THUOCL
血栓			2948		THUOCL
晕厥			2938		THUOCL
健康证			2936		THUOCL
排便			2930		THUOCL
预防接种			2930		THUOCL
张璐			2922		THUOCL
充血			2920		THUOCL
皮疹			2919		THUOCL
腹胀			2904		THUOCL
气泡			2881		THUOCL
婚姻状况			2849		THUOCL
膝关节			2849		THUOCL
假肢			2843		THUOCL
橄榄油			2842		THUOCL
润滑油			2837		THUOCL
退烧			2836		THUOCL
偏瘫			2833		THUOCL
血量			2833		THUOCL
真皮			2823		THUOCL
中医科			2821		THUOCL
交叉感染			2821		THUOCL
前列腺			2818		THUOCL
卫生保健			2813		THUOCL
