word	pinyin	rank	doc_freq	level	source
乂		3501		2	通用规范汉字表_双源转录核对
乜		3502		2	通用规范汉字表_双源转录核对
兀		3503		2	通用规范汉字表_双源转录核对
弋		3504		2	通用规范汉字表_双源转录核对
孑		3505		2	通用规范汉字表_双源转录核对
孓		3506		2	通用规范汉字表_双源转录核对
幺		3507		2	通用规范汉字表_双源转录核对
亓		3508		2	通用规范汉字表_双源转录核对
韦		3509		2	通用规范汉字表_双源转录核对
廿		3510		2	通用规范汉字表_双源转录核对
丏		3511		2	通用规范汉字表_双源转录核对
卅		3512		2	通用规范汉字表_双源转录核对
仄		3513		2	通用规范汉字表_双源转录核对
厄		3514		2	通用规范汉字表_双源转录核对
仃		3515		2	通用规范汉字表_双源转录核对
仉		3516		2	通用规范汉字表_双源转录核对
仂		3517		2	通用规范汉字表_双源转录核对
兮		3518		2	通用规范汉字表_双源转录核对
刈		3519		2	通用规范汉字表_双源转录核对
爻		3520		2	通用规范汉字表_双源转录核对
卞		3521		2	通用规范汉字表_双源转录核对
闩		3522		2	通用规范汉字表_双源转录核对
讣		3523		2	通用规范汉字表_双源转录核对
尹		3524		2	通用规范汉字表_双源转录核对
夬		3525		2	通用规范汉字表_双源转录核对
爿		3526		2	通用规范汉字表_双源转录核对
毋		3527		2	通用规范汉字表_双源转录核对
邗		3528		2	通用规范汉字表_双源转录核对
邛		3529		2	通用规范汉字表_双源转录核对
艽		3530		2	通用规范汉字表_双源转录核对
艿		3531		2	通用规范汉字表_双源转录核对
札		3532		2	通用规范汉字表_双源转录核对
叵		3533		2	通用规范汉字表_双源转录核对
匝		3534		2	通用规范汉字表_双源转录核对
丕		3535		2	通用规范汉字表_双源转录核对
匜		3536		2	通用规范汉字表_双源转录核对
劢		3537		2	通用规范汉字表_双源转录核对
卟		3538		2	通用规范汉字表_双源转录核对
叱		3539		2	通用规范汉字表_双源转录核对
叻		3540		2	通用规范汉字表_双源转录核对
仨		3541		2	通用规范汉字表_双源转录核对
仕		3542		2	通用规范汉字表_双源转录核对
仟		3543		2	通用规范汉字表_双源转录核对
仡		3544		2	通用规范汉字表_双源转录核对
仫		3545		2	通用规范汉字表_双源转录核对
仞		3546		2	通用规范汉字表_双源转录核对
卮		3547		2	通用规范汉字表_双源转录核对
氐		3548		2	通用规范汉字表_双源转录核对
犰		3549		2	通用规范汉字表_双源转录核对
刍		3550		2	通用规范汉字表_双源转录核对
邝		3551		2	通用规范汉字表_双源转录核对
邙		3552		2	通用规范汉字表_双源转录核对
汀		3553		2	通用规范汉字表_双源转录核对
讦		3554		2	通用规范汉字表_双源转录核对
讧		3555		2	通用规范汉字表_双源转录核对
讪		3556		2	通用规范汉字表_双源转录核对
讫		3557		2	通用规范汉字表_双源转录核对
尻		3558		2	通用规范汉字表_双源转录核对
阡		3559		2	通用规范汉字表_双源转录核对
尕		3560		2	通用规范汉字表_双源转录核对
弁		3561		2	通用规范汉字表_双源转录核对
驭		3562		2	通用规范汉字表_双源转录核对
匡		3563		2	通用规范汉字表_双源转录核对
耒		3564		2	通用规范汉字表_双源转录核对
玎		3565		2	通用规范汉字表_双源转录核对
玑		3566		2	通用规范汉字表_双源转录核对
邢		3567		2	通用规范汉字表_双源转录核对
圩		3568		2	通用规范汉字表_双源转录核对
圬		3569		2	通用规范汉字表_双源转录核对
圭		3570		2	通用规范汉字表_双源转录核对
扦		3571		2	通用规范汉字表_双源转录核对
圪		3572		2	通用规范汉字表_双源转录核对
圳		3573		2	通用规范汉字表_双源转录核对
圹		3574		2	通用规范汉字表_双源转录核对
扪		3575		2	通用规范汉字表_双源转录核对
圮		3576		2	通用规范汉字表_双源转录核对
圯		3577		2	通用规范汉字表_双源转录核对
芊		3578		2	通用规范汉字表_双源转录核对
芍		3579		2	通用规范汉字表_双源转录核对
芄		3580		2	通用规范汉字表_双源转录核对
芨		3581		2	通用规范汉字表_双源转录核对
芑		3582		2	通用规范汉字表_双源转录核对
芎		3583		2	通用规范汉字表_双源转录核对
芗		3584		2	通用规范汉字表_双源转录核对
亘		3585		2	通用规范汉字表_双源转录核对
厍		3586		2	通用规范汉字表_双源转录核对
夼		3587		2	通用规范汉字表_双源转录核对
戍		3588		2	通用规范汉字表_双源转录核对
尥		3589		2	通用规范汉字表_双源转录核对
乩		3590		2	通用规范汉字表_双源转录核对
旯		3591		2	通用规范汉字表_双源转录核对
曳		3592		2	通用规范汉字表_双源转录核对
岌		3593		2	通用规范汉字表_双源转录核对
屺		3594		2	通用规范汉字表_双源转录核对
凼		3595		2	通用规范汉字表_双源转录核对
囡		3596		2	通用规范汉字表_双源转录核对
钇		3597		2	通用规范汉字表_双源转录核对
缶		3598		2	通用规范汉字表_双源转录核对
氘		3599		2	通用规范汉字表_双源转录核对
氖		3600		2	通用规范汉字表_双源转录核对
牝		3601		2	通用规范汉字表_双源转录核对
伎		3602		2	通用规范汉字表_双源转录核对
伛		3603		2	通用规范汉字表_双源转录核对
伢		3604		2	通用规范汉字表_双源转录核对
佤		3605		2	通用规范汉字表_双源转录核对
仵		3606		2	通用规范汉字表_双源转录核对
伥		3607		2	通用规范汉字表_双源转录核对
伧		3608		2	通用规范汉字表_双源转录核对
伉		3609		2	通用规范汉字表_双源转录核对
伫		3610		2	通用规范汉字表_双源转录核对
囟		3611		2	通用规范汉字表_双源转录核对
汆		3612		2	通用规范汉字表_双源转录核对
刖		3613		2	通用规范汉字表_双源转录核对
夙		3614		2	通用规范汉字表_双源转录核对
旮		3615		2	通用规范汉字表_双源转录核对
刎		3616		2	通用规范汉字表_双源转录核对
犷		3617		2	通用规范汉字表_双源转录核对
犸		3618		2	通用规范汉字表_双源转录核对
舛		3619		2	通用规范汉字表_双源转录核对
凫		3620		2	通用规范汉字表_双源转录核对
邬		3621		2	通用规范汉字表_双源转录核对
饧		3622		2	通用规范汉字表_双源转录核对
汕		3623		2	通用规范汉字表_双源转录核对
汔		3624		2	通用规范汉字表_双源转录核对
汐		3625		2	通用规范汉字表_双源转录核对
汲		3626		2	通用规范汉字表_双源转录核对
汜		3627		2	通用规范汉字表_双源转录核对
汊		3628		2	通用规范汉字表_双源转录核对
忖		3629		2	通用规范汉字表_双源转录核对
忏		3630		2	通用规范汉字表_双源转录核对
讴		3631		2	通用规范汉字表_双源转录核对
讵		3632		2	通用规范汉字表_双源转录核对
祁		3633		2	通用规范汉字表_双源转录核对
讷		3634		2	通用规范汉字表_双源转录核对
聿		3635		2	通用规范汉字表_双源转录核对
艮		3636		2	通用规范汉字表_双源转录核对
厾		3637		2	通用规范汉字表_双源转录核对
阱		3638		2	通用规范汉字表_双源转录核对
阮		3639		2	通用规范汉字表_双源转录核对
阪		3640		2	通用规范汉字表_双源转录核对
丞		3641		2	通用规范汉字表_双源转录核对
妁		3642		2	通用规范汉字表_双源转录核对
牟		3643		2	通用规范汉字表_双源转录核对
纡		3644		2	通用规范汉字表_双源转录核对
纣		3645		2	通用规范汉字表_双源转录核对
纥		3646		2	通用规范汉字表_双源转录核对
纨		3647		2	通用规范汉字表_双源转录核对
玕		3648		2	通用规范汉字表_双源转录核对
玙		3649		2	通用规范汉字表_双源转录核对
抟		3650		2	通用规范汉字表_双源转录核对
抔		3651		2	通用规范汉字表_双源转录核对
圻		3652		2	通用规范汉字表_双源转录核对
坂		3653		2	通用规范汉字表_双源转录核对
坍		3654		2	通用规范汉字表_双源转录核对
坞		3655		2	通用规范汉字表_双源转录核对
抃		3656		2	通用规范汉字表_双源转录核对
抉		3657		2	通用规范汉字表_双源转录核对
㧐		3658		2	通用规范汉字表_双源转录核对
芫		3659		2	通用规范汉字表_双源转录核对
邯		3660		2	通用规范汉字表_双源转录核对
芸		3661		2	通用规范汉字表_双源转录核对
芾		3662		2	通用规范汉字表_双源转录核对
苈		3663		2	通用规范汉字表_双源转录核对
苣		3664		2	通用规范汉字表_双源转录核对
芷		3665		2	通用规范汉字表_双源转录核对
芮		3666		2	通用规范汉字表_双源转录核对
苋		3667		2	通用规范汉字表_双源转录核对
芼		3668		2	通用规范汉字表_双源转录核对
苌		3669		2	通用规范汉字表_双源转录核对
苁		3670		2	通用规范汉字表_双源转录核对
芩		3671		2	通用规范汉字表_双源转录核对
芪		3672		2	通用规范汉字表_双源转录核对
芡		3673		2	通用规范汉字表_双源转录核对
芟		3674		2	通用规范汉字表_双源转录核对
苄		3675		2	通用规范汉字表_双源转录核对
苎		3676		2	通用规范汉字表_双源转录核对
苡		3677		2	通用规范汉字表_双源转录核对
杌		3678		2	通用规范汉字表_双源转录核对
杓		3679		2	通用规范汉字表_双源转录核对
杞		3680		2	通用规范汉字表_双源转录核对
杈		3681		2	通用规范汉字表_双源转录核对
忑		3682		2	通用规范汉字表_双源转录核对
孛		3683		2	通用规范汉字表_双源转录核对
邴		3684		2	通用规范汉字表_双源转录核对
邳		3685		2	通用规范汉字表_双源转录核对
矶		3686		2	通用规范汉字表_双源转录核对
奁		3687		2	通用规范汉字表_双源转录核对
豕		3688		2	通用规范汉字表_双源转录核对
忒		3689		2	通用规范汉字表_双源转录核对
欤		3690		2	通用规范汉字表_双源转录核对
轫		3691		2	通用规范汉字表_双源转录核对
迓		3692		2	通用规范汉字表_双源转录核对
邶		3693		2	通用规范汉字表_双源转录核对
忐		3694		2	通用规范汉字表_双源转录核对
卣		3695		2	通用规范汉字表_双源转录核对
邺		3696		2	通用规范汉字表_双源转录核对
旰		3697		2	通用规范汉字表_双源转录核对
呋		3698		2	通用规范汉字表_双源转录核对
呒		3699		2	通用规范汉字表_双源转录核对
呓		3700		2	通用规范汉字表_双源转录核对
呔		3701		2	通用规范汉字表_双源转录核对
呖		3702		2	通用规范汉字表_双源转录核对
呃		3703		2	通用规范汉字表_双源转录核对
旸		3704		2	通用规范汉字表_双源转录核对
吡		3705		2	通用规范汉字表_双源转录核对
町		3706		2	通用规范汉字表_双源转录核对
虬		3707		2	通用规范汉字表_双源转录核对
呗		3708		2	通用规范汉字表_双源转录核对
吽		3709		2	通用规范汉字表_双源转录核对
吣		3710		2	通用规范汉字表_双源转录核对
吲		3711		2	通用规范汉字表_双源转录核对
帏		3712		2	通用规范汉字表_双源转录核对
岐		3713		2	通用规范汉字表_双源转录核对
岈		3714		2	通用规范汉字表_双源转录核对
岘		3715		2	通用规范汉字表_双源转录核对
岑		3716		2	通用规范汉字表_双源转录核对
岚		3717		2	通用规范汉字表_双源转录核对
兕		3718		2	通用规范汉字表_双源转录核对
囵		3719		2	通用规范汉字表_双源转录核对
囫		3720		2	通用规范汉字表_双源转录核对
钊		3721		2	通用规范汉字表_双源转录核对
钋		3722		2	通用规范汉字表_双源转录核对
钌		3723		2	通用规范汉字表_双源转录核对
迕		3724		2	通用规范汉字表_双源转录核对
氙		3725		2	通用规范汉字表_双源转录核对
氚		3726		2	通用规范汉字表_双源转录核对
牤		3727		2	通用规范汉字表_双源转录核对
佞		3728		2	通用规范汉字表_双源转录核对
邱		3729		2	通用规范汉字表_双源转录核对
攸		3730		2	通用规范汉字表_双源转录核对
佚		3731		2	通用规范汉字表_双源转录核对
佝		3732		2	通用规范汉字表_双源转录核对
佟		3733		2	通用规范汉字表_双源转录核对
佗		3734		2	通用规范汉字表_双源转录核对
伽		3735		2	通用规范汉字表_双源转录核对
彷		3736		2	通用规范汉字表_双源转录核对
佘		3737		2	通用规范汉字表_双源转录核对
佥		3738		2	通用规范汉字表_双源转录核对
孚		3739		2	通用规范汉字表_双源转录核对
豸		3740		2	通用规范汉字表_双源转录核对
坌		3741		2	通用规范汉字表_双源转录核对
肟		3742		2	通用规范汉字表_双源转录核对
邸		3743		2	通用规范汉字表_双源转录核对
奂		3744		2	通用规范汉字表_双源转录核对
劬		3745		2	通用规范汉字表_双源转录核对
狄		3746		2	通用规范汉字表_双源转录核对
狁		3747		2	通用规范汉字表_双源转录核对
鸠		3748		2	通用规范汉字表_双源转录核对
邹		3749		2	通用规范汉字表_双源转录核对
饨		3750		2	通用规范汉字表_双源转录核对
饩		3751		2	通用规范汉字表_双源转录核对
饪		3752		2	通用规范汉字表_双源转录核对
饫		3753		2	通用规范汉字表_双源转录核对
饬		3754		2	通用规范汉字表_双源转录核对
亨		3755		2	通用规范汉字表_双源转录核对
庑		3756		2	通用规范汉字表_双源转录核对
庋		3757		2	通用规范汉字表_双源转录核对
疔		3758		2	通用规范汉字表_双源转录核对
疖		3759		2	通用规范汉字表_双源转录核对
肓		3760		2	通用规范汉字表_双源转录核对
闱		3761		2	通用规范汉字表_双源转录核对
闳		3762		2	通用规范汉字表_双源转录核对
闵		3763		2	通用规范汉字表_双源转录核对
羌		3764		2	通用规范汉字表_双源转录核对
炀		3765		2	通用规范汉字表_双源转录核对
沣		3766		2	通用规范汉字表_双源转录核对
沅		3767		2	通用规范汉字表_双源转录核对
沔		3768		2	通用规范汉字表_双源转录核对
沤		3769		2	通用规范汉字表_双源转录核对
沌		3770		2	通用规范汉字表_双源转录核对
沏		3771		2	通用规范汉字表_双源转录核对
沚		3772		2	通用规范汉字表_双源转录核对
汩		3773		2	通用规范汉字表_双源转录核对
汨		3774		2	通用规范汉字表_双源转录核对
沂		3775		2	通用规范汉字表_双源转录核对
汾		3776		2	通用规范汉字表_双源转录核对
沨		3777		2	通用规范汉字表_双源转录核对
汴		3778		2	通用规范汉字表_双源转录核对
汶		3779		2	通用规范汉字表_双源转录核对
沆		3780		2	通用规范汉字表_双源转录核对
沩		3781		2	通用规范汉字表_双源转录核对
泐		3782		2	通用规范汉字表_双源转录核对
怃		3783		2	通用规范汉字表_双源转录核对
怄		3784		2	通用规范汉字表_双源转录核对
忡		3785		2	通用规范汉字表_双源转录核对
