# 编码	词频（wordfreq 英文 Zipf × 1000）
dare	4310
dared	3520
daredevil	3290
daredevils	2410
dares	3220
daring	3700
dark	5040
darken	2880
darkened	3130
darkening	2750
darkens	2360
darker	3930
darkest	3580
darkly	2970
darkness	4300
darling	4090
darlings	2860
darn	3610
darned	2630
darning	1940
darns	1030
dart	3520
darted	2580
darting	2680
darts	3410
dash	4000
dashboard	3330
dashboards	2370
dashed	3280
dashes	2870
dashing	3270
dastardly	2640
data	5340
database	4310
databases	3620
date	5220
dated	4290
dates	4540
dating	4700
datum	2520
daub	2160
daubed	2000
daubing	1580
daubs	1550
daughter	5070
daughters	4280
daunt	2040
daunted	2400
daunting	3400
dauntless	2690
daunts	1070
dawdle	1970
dawdled	1500
dawdles	1120
dawdling	1990
dawn	4270
dawned	3030
dawning	2790
dawns	2640
day	5950
daybreak	3030
daydream	2980
daydreamed	1760
daydreaming	2870
daydreams	2590
daylight	3840
days	5610
daytime	3660
daze	2890
dazed	3130
dazes	0
dazing	1210
dazzle	3020
dazzled	2800
dazzles	2360
dazzling	3390
dc	4560
ddt	2900
deacon	3390
deacons	2820
dead	5190
deaden	1900
deadened	1770
deadening	2160
deadens	1520
deader	1990
deadest	1530
deadlier	2400
deadliest	3310
deadline	4120
deadlines	3380
deadlock	2970
deadlocked	2450
deadlocking	0
deadlocks	1990
deadly	4160
deaf	3990
deafer	0
deafest	0
deafness	2900
deal	5320
dealer	4190
dealers	4010
dealing	4600
dealings	3540
deals	4590
dealt	4200
dean	4400
deans	3060
dear	4770
dearer	2380
dearest	3420
dearly	3480
dears	2440
dearth	2920
dearths	0
death	5400
deathbed	2970
deathbeds	1520
deaths	4530
debase	2100
debased	2380
debasement	2080
debasements	0
debases	1330
debasing	2000
debatable	3130
debate	4640
debated	3600
debates	3980
debating	3680
debaucheries	1210
debauchery	2770
debilitate	1700
debilitated	2220
debilitates	1130
debilitating	3190
debilities	0
debility	1810
debit	3620
debited	2230
debiting	1510
debits	2400
debonair	2330
debrief	2450
debriefed	1940
debriefing	2560
debriefs	1420
debris	3920
debt	4690
debtor	3080
debtors	2950
debts	3990
debug	2860
debugged	1750
debugger	2470
debugging	2890
debunk	2680
debunked	2950
debunking	2750
debunks	2330
debut	4520
debuted	3530
debuting	2980
debuts	3390
decade	4520
decadence	2860
decadent	3040
decadents	1120
decades	4580
decanter	2530
decanters	1970
decapitate	2360
decapitated	2990
decapitates	1720
decapitating	2130
decay	3830
decayed	2840
decaying	3140
decays	2680
deceased	3960
deceit	3240
deceitful	2970
deceitfully	1850
deceits	1880
deceive	3380
deceived	3390
deceives	2350
deceiving	3170
december	5070
decembers	1440
decencies	1220
decency	3500
decent	4400
decently	2870
decentralisation	2430
decentralise	1530
decentralised	2660
decentralises	0
decentralising	1440
decentralization	2870
decentralize	2190
decentralized	3290
decentralizes	0
decentralizing	1890
deception	3650
deceptions	2490
deceptive	3340
decibel	2550
decibels	2640
decide	4780
decided	5090
decidedly	3370
decides	4160
deciding	4110
deciduous	3010
decimal	3280
decimals	2530
decimate	2500
decimated	3070
decimates	1820
decimating	2330
decipher	3140
deciphered	2630
deciphering	2660
deciphers	1530
decision	5090
decisions	4720
decisive	3800
decisively	3120
deck	4410
decked	3060
decking	2680
decks	3610
declaration	4100
declarations	3230
declare	4050
declared	4550
declares	3710
declaring	3820
declension	2310
decline	4400
declined	4210
declines	3530
declining	3830
decode	3020
decoded	2780
decoder	2840
decodes	1990
decoding	3050
decompose	2750
decomposed	2870
decomposes	2400
decomposing	2800
decomposition	3260
decorate	3360
decorated	3940
decorates	2190
decorating	3360
decoration	3820
decorations	3760
decorative	3800
decorator	2950
decorators	2560
decorous	1980
decorum	2870
decoy	3040
decoyed	1290
decoying	1090
decoys	2600
decrease	4170
decreased	4000
decreases	3630
decreasing	3680
decree	3820
decreed	3100
decreeing	1900
decrees	3070
decrepit	2770
decried	2640
decries	2270
decry	2600
decrying	2500
dedicate	3510
dedicated	4580
dedicates	2720
dedicating	2980
dedication	3960
dedications	2320
deduce	2970
deduced	2940
deduces	2080
deducing	2090
deduct	3090
deducted	3160
deducting	2510
deduction	3460
deductions	3300
deductive	2650
deducts	2009
deed	3750
deeded	2350
deeding	1160
deeds	3790
deem	3340
deemed	4190
deeming	2640
deems	3100
deep	5050
deepen	3190
deepened	3060
deepening	3190
deepens	2750
deeper	4300
deepest	3770
deeply	4440
deeps	2150
deer	4120
deface	2320
defaced	2740
defaces	1420
defacing	2370
defamation	3380
defamatory	2860
defame	2530
defamed	2400
defames	1590
defaming	2370
default	4290
defaulted	2880
defaulting	2730
defaults	3170
defeat	4510
defeated	4170
defeating	3650
defeatist	2390
defeats	3710
defecate	2400
defecated	1940
defecates	1560
defecating	2190
defect	3680
defected	3030
defecting	2480
defective	3570
defectives	1660
defects	3770
defence	4510
defenced	0
defenceless	2820
defences	3440
defencing	0
defend	4470
defendant	3980
defendants	3850
defended	4000
defender	4110
defenders	3950
defending	4330
defends	3520
defense	4930
defensed	1520
defenseless	3050
defenses	3710
defensible	2810
defensing	0
defensive	4380
defer	3200
deference	2960
deferential	2380
deferred	3540
deferring	2620
defers	2240
defiance	3480
defiant	3210
defiantly	3050
deficiencies	3340
deficiency	3640
deficient	3330
deficit	4059
deficits	3500
defied	3110
defies	3040
defile	2650
defiled	2650
defiles	1980
defiling	2200
definable	2390
define	4310
defined	4560
defines	3860
defining	3960
definite	3780
definitely	4960
definition	4580
definitions	3820
definitive	3800
deflate	2610
deflated	2900
deflates	1990
deflating	2440
deflation	2930
deflect	3170
deflected	3070
deflecting	2760
deflection	3220
deflections	2570
deflects	2450
deform	2500
deformed	3210
deforming	2140
deformities	2750
deformity	2830
deforms	2020
defraud	2850
defrauded	2670
defrauding	2570
defrauds	1460
defrost	2500
defrosted	2140
defrosting	2160
defrosts	1140
deft	2870
defter	0
deftest	0
deftly	2850
defunct	3280
defy	3420
defying	3180
degenerate	3330
degenerated	2700
degenerates	2680
degenerating	2190
degradation	3600
degrade	3280
degraded	3310
degrades	2700
degrading	3350
degree	4940
degrees	4540
dehydrate	2290
dehydrated	3260
dehydrates	1750
dehydrating	2210
deified	2330
deifies	1070
deify	1820
deifying	1520
deign	2260
deigned	2060
deigning	1320
deigns	1760
deities	3230
deity	3550
dejected	2770
dejection	2150
delay	4400
delayed	4200
delaying	3390
delays	3980
delectable	2700
delegate	3700
delegated	3100
delegates	3940
delegating	2500
delegation	3920
delegations	3090
delete	4220
deleted	4180
deleterious	2720
deletes	2950
deleting	3510
deletion	3230
deletions	2650
deli	3350
deliberate	3820
deliberated	2490
deliberately	4019
deliberates	1730
deliberating	2520
deliberation	3060
deliberations	3170
delicacies	2790
delicacy	3180
delicate	4010
delicately	3050
delicatessen	2480
delicatessens	1660
delicious	4340
deliciously	2890
delight	3970
delighted	4090
delightful	3770
delighting	2450
delights	3310
delimit	2020
delimiter	1900
delimiters	1630
delinquencies	2070
delinquency	2920
delinquent	3120
delinquents	2640
delirious	2950
deliriously	2170
delirium	2960
deliriums	0
delis	2110
deliver	4550
deliverance	3070
delivered	4620
deliveries	3660
delivering	4090
delivers	3860
delivery	4590
delta	4120
deltas	2500
delude	2480
deluded	3150
deludes	1500
deluding	2350
deluge	3050
deluged	2210
deluges	1530
deluging	1080
delusion	3370
delusions	3240
deluxe	3720
delve	3140
delved	2650
delves	2710
delving	2780
demagogue	2480
demagogues	2270
demand	4840
demanded	4120
demanding	4130
demands	4410
demean	2580
demeaned	2170
demeaning	2930
demeanor	3200
demeanour	2720
demeans	2080
demented	2970
dementia	3760
demerit	2340
demerits	2270
demise	3660
demised	1540
demises	1360
demising	0
democracies	3260
democracy	4510
democrat	4240
democratic	4730
democratically	3120
democrats	4540
demolish	3180
demolished	3520
demolishes	2220
demolishing	2810
demolition	3620
demolitions	2540
demon	4059
demons	4000
demonstrably	2780
demonstrate	4200
demonstrated	4220
demonstrates	3860
demonstrating	3760
demonstration	4059
demonstrations	3780
demonstrative	2630
demonstratives	1760
demonstrator	2900
demonstrators	3280
demoralise	1620
demoralised	2170
demoralises	0
demoralising	2140
demoralize	2200
demoralized	2620
demoralizes	1410
demoralizing	2590
demote	2290
demoted	3040
demotes	1550
demoting	2000
demotion	2700
demotions	1770
demount	0
demure	2560
demurely	1790
demurer	0
demurest	0
den	4010
denial	3990
denials	2930
denied	4430
denies	3730
denigrate	2590
denim	3520
denims	1870
denomination	3310
denominations	3290
denominator	3130
denominators	2140
denote	3290
denoted	3170
denotes	3420
denoting	2900
denounce	3240
denounced	3470
denounces	2750
denouncing	3080
dens	2850
dense	3980
densely	3420
denser	2950
densest	2400
densities	3080
density	4330
dent	3670
dental	4110
dented	2770
denting	2000
dentist	3860
dentistry	3390
dentists	3320
dents	2830
denunciation	2610
denunciations	2370
deny	4340
denying	3950
deodorant	3120
deodorants	2160
deodorise	0
deodorised	0
deodorises	0
deodorising	1030
deodorize	1320
deodorized	1430
deodorizes	0
deodorizing	1550
depart	3670
departed	3780
departing	3560
department	5230
departmental	3270
departments	4200
departs	3170
departure	4220
departures	3280
depend	4200
dependable	3250
dependant	2940
dependants	2290
depended	3440
dependence	3660
dependencies	3190
dependency	3520
dependent	4280
dependents	2950
depending	4560
depends	4530
depict	3410
depicted	3770
depicting	3540
depiction	3450
depicts	3530
deplete	2650
depleted	3450
depletes	2230
depleting	2690
deplorable	3200
deplore	2430
deplored	2450
deplores	2190
deploring	1910
deport	3180
deportation	3570
deportations	2960
deported	3640
deporting	2740
deportment	2090
deports	1750
deposed	3270
deposit	4240
deposited	3640
depositing	2880
deposits	4000
depot	3950
depots	3000
depravities	1320
depravity	2860
deprecated	2670
depreciate	2460
depreciated	2400
depreciates	1980
depreciating	2400
depreciation	3370
depress	2860
depressed	4140
depresses	2560
depressing	3830
depressingly	2430
depression	4560
depressions	2820
deprivation	3440
deprivations	1960
deprive	3190
deprived	3690
deprives	2510
depriving	3020
depth	4550
depths	3780
deputies	3710
deputy	4550
derail	3080
derailed	3110
derailing	2480
derailment	2700
derailments	2080
derails	2340
deranged	3200
derelict	3100
derelicts	1810
deride	2400
derided	2770
derides	1900
deriding	2140
derision	2800
derivation	3040
derivations	2380
derivative	3650
derivatives	3640
derive	3510
derived	4290
derives	3420
deriving	2950
derogatory	3240
derrick	3490
derricks	2040
descend	3510
descendant	3300
descendants	3710
descended	3740
descendent	2380
descending	3510
descends	3160
descent	3930
descents	2440
describable	1630
describe	4560
described	5000
describes	4400
describing	4230
description	4730
descriptions	3920
descriptive	3540
descriptor	2810
descriptors	2700
desecrate	2300
desecrated	2640
desecrates	1420
desecrating	2270
desecration	2740
desegregation	2760
desert	4400
deserted	3640
deserter	2710
deserters	2760
deserting	2640
deserts	3320
deserve	4590
deserved	4140
deserves	4340
deserving	3570
design	5170
designate	3370
designated	4250
designates	2770
designating	2880
designation	3760
designations	3040
designed	4960
designer	4420
designers	4050
designing	3890
designs	4380
desirability	2660
desirable	3850
desire	4610
desired	4160
desires	4010
desiring	2910
desirous	2540
desist	3050
desisted	1540
desisting	1010
desists	1280
desk	4430
desks	3390
desktop	3930
desolate	3170
desolated	1850
desolates	0
desolating	1150
desolation	3030
despair	3820
despaired	2290
despairing	2630
despairs	2050
desperate	4320
desperately	3980
desperation	3550
despicable	3460
despise	3500
despised	3220
despises	2780
despising	2300
despite	5000
despondent	2680
despot	2680
despotic	2570
despots	2380
dessert	3830
desserts	3310
destabilise	2220
destabilize	2800
destination	4240
destinations	3830
destined	3790
destinies	2740
destiny	4190
destitute	3070
destitution	2430
destroy	4520
destroyed	4610
destroyer	3500
destroyers	3190
destroying	4090
destroys	3670
destruction	4360
destructive	3890
detach	2990
detachable	2930
detached	3790
detaches	2110
detaching	2390
detachment	3460
detachments	2680
detail	4570
detailed	4510
detailing	3620
details	4910
detain	3210
detained	3810
detaining	2750
detains	2210
detect	4050
detectable	3040
detected	4059
detecting	3520
detection	4059
detections	2310
detective	4210
detectives	3670
detector	3710
detectors	3460
detects	3100
detention	3960
detentions	2500
deter	3480
detergent	3200
detergents	2730
deteriorate	3150
deteriorated	3350
deteriorates	2650
deteriorating	3250
deterioration	3430
determinable	1880
determination	4160
determinations	2790
determine	4630
determined	4640
determines	3770
determining	3970
determinism	2750
deterministic	2930
deterred	2900
deterrent	3330
deterrents	2290
deterring	2580
deters	2390
detest	2870
detested	2560
detesting	1430
detests	2230
dethrone	2360
dethroned	2560
dethrones	1460
dethroning	2000
detonate	2980
detonated	3120
detonates	2360
detonating	2640
detonation	3060
detonations	2240
detonator	2590
detonators	2450
detour	3200
detoured	2029
detouring	1560
detours	2640
detract	3010
detracted	2220
detracting	2220
detracts	2460
detriment	3260
detrimental	3550
detriments	1790
devalue	2650
devastate	2620
devastated	3720
devastates	2110
devastating	3850
devastation	3340
develop	4750
developed	4950
developer	4200
developers	4220
developing	4660
development	5310
developments	4220
develops	3890
deviant	3030
deviate	3060
deviated	2830
deviates	2630
deviating	2540
deviation	3400
deviations	3040
device	4670
devices	4590
devil	4300
deviled	2360
deviling	0
devilled	1540
devilling	0
devils	3790
devious	3030
devise	3190
devised	3590
devises	2400
devising	2870
devoid	3420
devolution	3060
devolved	3130
devote	3530
devoted	4180
devotee	2930
devotees	3190
devotes	2780
devoting	2960
devotion	3730
devotions	2690
devour	3170
devoured	3050
devouring	2900
devours	2490
devout	3340
devouter	0
devoutest	0
devoutly	2340
dew	3520
dexterity	3070
dexterous	2280
diabetes	4170
diabetic	3450
diabetics	2870
diabolical	2960
diagnose	3410
diagnosed	4050
diagnoses	3240
diagnosing	3020
diagnosis	4200
diagnostic	3830
diagnostics	3210
diagonal	3360
diagonally	2940
diagonals	2340
diagram	3850
diagrammed	1630
diagramming	1850
diagrams	3420
dial	3930
dialect	3540
dialects	3260
dialed	3010
dialing	3060
dialled	2390
dialling	2450
dialog	3460
dialogue	4290
dialogues	3220
dials	3000
diameter	4080
diameters	2800
diametrically	2590
diamond	4420
diamonds	4019
diaper	3490
diapered	1720
diapering	1740
diapers	3430
diaphragm	3090
diaphragms	2000
diaries	3610
diarrhea	3550
diarrhoea	3020
diary	4090
diatribe	2580
dice	3760
diced	3040
dices	2020
dicing	2220
dictate	3580
dictated	3390
dictates	3320
dictating	2930
dictation	2710
dictations	1580
dictator	3660
dictatorial	2910
dictators	3180
dictatorship	3640
dictatorships	2790
diction	2710
dictionaries	3180
dictionary	4019
did	5960
die	5070
died	5200
dies	4410
diesel	4050
dieseled	0
dieseling	0
diesels	2620
diet	4570
dietaries	0
dietary	3700
dieted	1790
dieting	3130
diets	3660
differ	4030
differed	3280
difference	5010
differences	4520
different	5590
differential	3830
differentiate	3620
differentiated	3290
differentiates	2810
differentiating	2950
differentiation	3490
differently	4230
differing	3610
differs	3660
difficult	5070
difficulties	4210
difficulty	4330
diffuse	3280
diffused	2730
diffuses	2230
diffusing	2410
diffusion	3400
dig	4220
digest	3710
digested	3010
digestible	2680
digesting	2750
digestion	3310
digestions	1110
digestive	3460
digests	2370
digging	3990
digit	3770
digital	4830
digitally	3450
digitised	2380
digitized	2910
digits	3660
dignified	3280
dignifies	1500
dignify	2340
dignifying	1570
dignitaries	3100
dignitary	2320
dignities	2060
dignity	4019
digress	2760
digressed	1620
digresses	1310
digressing	1720
digression	2250
digressions	2140
digs	3380
dike	2850
diked	1080
dikes	2550
diking	0
dilapidated	3050
dilate	2440
dilated	2960
dilates	1870
dilating	2100
dilation	2880
dilemma	3730
dilemmas	3030
diligence	3510
diligent	3230
diligently	3130
dill	3110
dills	1550
dilute	3180
diluted	3470
dilutes	2230
diluting	2660
dilution	3070
dilutions	2050
dim	3620
dime	3660
dimension	4019
dimensional	4030
dimensions	4050
dimes	2930
diminish	3460
diminished	3670
diminishes	3010
diminishing	3380
diminutive	3090
diminutives	1630
dimly	2790
dimmed	2750
dimmer	2670
dimmest	1750
dimming	2620
dimple	2720
dimpled	2220
dimples	2770
dimpling	1580
dims	2290
din	3560
dine	3490
dined	2980
diner	3480
diners	3130
dines	2420
dinghies	2160
dinghy	2830
dingier	0
dingiest	0
dingy	2820
dining	4140
dinned	0
dinner	4780
dinnered	0
dinnering	0
dinners	3530
dinning	2240
dinosaur	3770
dinosaurs	3720
dins	1690
diocese	3500
dioceses	2730
dioxide	3810
dip	4050
diphtheria	2650
diphthong	2090
diphthongs	2060
diploma	3760
diplomacy	3710
diplomas	3010
diplomat	3690
diplomata	0
diplomatic	4110
diplomatically	2580
diplomats	3530
dipped	3540
dipping	3480
dips	3300
dire	3660
direct	4910
directed	4600
directer	1250
directest	0
directing	3900
direction	4930
directions	4230
directive	3710
directives	3210
directly	4900
directness	2480
director	5150
directories	3190
directors	4450
directory	3930
directs	3580
direr	1050
direst	1770
dirge	2380
dirges	1560
dirt	4240
dirtied	1930
dirtier	2600
dirties	1650
dirtiest	2770
dirty	4550
dirtying	1740
disabilities	3930
disability	4210
disable	3520
disabled	4290
disables	2550
disabling	3180
disadvantage	3710
disadvantaged	3490
disadvantageous	2340
disadvantages	3490
disadvantaging	1630
disagree	4090
disagreeable	2730
disagreeably	1190
disagreed	3490
disagreeing	2900
disagreement	3660
disagreements	3380
disagrees	3250
disallow	2570
disallowed	3080
disallowing	2310
disambiguate	1620
disappear	4090
disappearance	3740
disappearances	2820
disappeared	4260
disappearing	3600
disappears	3670
disappoint	3670
disappointed	4420
disappointing	4019
disappointment	4010
disappointments	3120
disappoints	2760
disapproval	3280
disapprove	3120
disapproved	2940
disapproves	2630
disapproving	2730
disarm	3210
disarmament	3170
disarmed	2980
disarming	2840
disarms	2150
disarray	2960
disarrayed	1200
disarraying	0
disarrays	0
disaster	4390
disasters	3760
disastrous	3680
disavow	2600
disavowed	2560
disavowing	2000
disavows	1900
disband	2870
disbanded	3150
disbanding	2490
disbands	1830
disbelief	3430
disbelieve	2510
disbelieved	2090
disbelieves	1590
disbelieving	2270
disburse	2170
disbursed	2500
disbursement	2710
disbursements	2450
disburses	1560
disbursing	1920
disc	4130
discard	3370
discarded	3590
discarding	2870
discards	2580
discern	3230
discerned	2560
discernible	2970
discerning	3020
discerns	1870
discharge	3930
discharged	3760
discharges	3060
discharging	2970
disciple	3380
disciples	3660
disciplinarian	2390
disciplinarians	1340
disciplinary	3750
discipline	4230
disciplined	3510
disciplines	3690
disciplining	2620
disclaim	2430
disclaimed	2020
disclaimer	3460
disclaiming	1580
disclaims	2370
disclose	3840
disclosed	3800
discloses	2870
disclosing	3190
disclosure	4000
disclosures	3270
disco	3780
discolor	2180
discoloration	2810
discolorations	1600
discolored	2490
discoloring	1440
discolors	1210
discolour	1460
discoloured	2140
discolouring	1190
discolours	0
discomfort	3650
discomforted	1390
discomforting	1970
discomforts	2160
disconcert	1620
disconcerted	2029
disconcerting	2950
disconcerts	1020
disconnect	3460
disconnected	3520
disconnecting	2670
disconnects	2650
disconsolate	2080
disconsolately	1570
discontent	3370
discontented	2490
discontenting	0
discontents	2180
discontinue	3110
discontinued	3630
discontinues	1830
discontinuing	2580
discontinuity	2500
discord	3450
discordant	2600
discorded	0
discording	0
discords	2080
discos	2440
discount	4350
discounted	3580
discounting	3000
discounts	3790
discourage	3570
discouraged	3620
discouragement	2530
discouragements	1210
discourages	2830
discouraging	3220
discourse	3830
discoursed	1360
discourses	2970
discoursing	1360
discourteous	2110
discourtesies	0
discourtesy	1840
discover	4390
discovered	4740
discoveries	3730
discovering	3820
discovers	3620
discovery	4450
discredit	3360
discredited	3150
discrediting	2610
discredits	2190
discreet	3430
discreeter	0
discreetest	0
discreetly	3040
discrepancies	3190
discrepancy	3290
discrete	3560
discretion	3900
discretionary	3260
discriminate	3510
discriminated	3240
discriminates	2570
discriminating	3140
discrimination	4310
discriminatory	3460
discs	3600
discus	2760
discuses	1330
discuss	4660
discussed	4450
discusses	3930
discussing	4230
discussion	4710
discussions	4280
disdain	3330
disdained	2180
disdainful	2350
disdaining	1640
disdains	1920
disease	4900
diseased	3110
diseases	4360
disembark	2680
disembarkation	1980
disembarked	2560
disembarking	2330
disembarks	1620
disenchantment	2460
disengage	2900
disengaged	2820
disengages	2060
disengaging	2320
disentangle	2270
disentangled	1800
disentangles	0
disentangling	1900
disfavor	2070
disfavored	1840
disfavoring	0
disfavors	1140
disfavour	1750
disfavoured	1090
disfavouring	0
disfavours	0
disfigure	2130
disfigured	2930
disfigures	1550
disfiguring	2280
disgrace	3730
disgraced	3170
disgraceful	3330
disgraces	1950
disgracing	2009
disgruntled	3110
disguise	3720
disguised	3560
disguises	2930
disguising	2710
disgust	3610
disgusted	3570
disgusting	4230
disgustingly	2570
disgusts	2680
dish	4210
dishearten	1630
disheartened	2750
disheartening	2860
disheartens	1060
dished	2610
dishes	4130
dishing	2720
dishonest	3520
dishonestly	2350
dishonesty	3170
dishonor	2880
dishonorable	2680
dishonored	2730
dishonoring	1880
dishonors	1740
dishonour	2710
dishonourable	2250
dishonoured	2140
dishonouring	1530
dishonours	1180
dishwasher	3290
dishwashers	2460
disillusion	2430
disillusioned	3180
disillusioning	1690
disillusionment	2820
disillusions	1280
disincentive	2390
disinfect	2550
disinfectant	2810
disinfectants	2350
disinfected	2460
disinfecting	2440
disinfects	1430
disingenuous	2950
disinherit	1920
disinherited	2340
disinheriting	1400
disinherits	1010
disintegrate	2880
disintegrated	2960
disintegrates	2410
disintegrating	2720
disintegration	3020
disinterested	2910
disjoint	2480
disjointed	2880
disk	4010
disks	3390
dislike	3890
disliked	3410
dislikes	3230
disliking	2630
dislocate	2170
dislocated	3030
dislocates	1690
dislocating	2100
dislocation	2870
dislocations	2480
dislodge	2790
dislodged	2700
dislodges	1510
dislodging	2150
disloyal	2840
disloyalty	2620
dismal	3260
dismally	2100
dismantle	3240
dismantled	3310
dismantles	2120
dismantling	3240
dismay	3260
dismayed	2960
dismaying	1800
dismays	1200
dismember	2380
dismembered	2790
dismembering	2090
dismembers	1430
dismiss	3850
dismissal	3720
dismissals	2690
dismissed	4200
dismisses	3100
dismissing	3390
dismissive	3050
dismount	2610
dismounted	2600
dismounting	2029
dismounts	1660
disobedience	3280
disobedient	2670
disobey	2830
disobeyed	2690
disobeying	2690
disobeys	2170
disorder	4310
disordered	2980
disordering	1130
disorderly	3150
disorders	4140
disown	2720
disowned	2840
disowning	2130
disowns	1900
disparage	2580
disparaged	2410
disparages	1890
disparaging	2880
disparate	3260
disparities	3190
disparity	3420
dispassionate	2530
dispassionately	2120
dispatch	3760
dispatched	3610
dispatches	3080
dispatching	2820
dispel	3100
dispelled	2650
dispelling	2410
dispels	2300
dispensaries	2910
dispensary	3090
dispensation	2850
dispensations	1920
dispense	3110
dispensed	2990
dispenser	3030
dispensers	2650
dispenses	2510
dispensing	3090
dispersal	3140
disperse	3300
dispersed	3500
disperses	2240
dispersing	2780
dispersion	3180
displace	2970
displaced	3800
displacement	3630
displacements	2520
displaces	2530
displacing	2900
display	4630
displayed	4180
displaying	3680
displays	4070
displease	2200
displeased	2970
displeases	1920
displeasing	2120
displeasure	3140
disposable	3570
disposables	2150
disposal	4000
disposals	2780
dispose	3530
disposed	3550
disposes	2310
disposing	3020
disposition	3480
dispositions	2690
dispossess	1940
dispossessed	2750
dispossesses	0
dispossessing	1630
disproportionate	3340
disprove	2930
disproved	2720
disproven	2230
disproves	2180
disproving	2220
dispute	4270
disputed	3760
disputes	3960
disputing	2890
disqualified	3440
disqualifies	2310
disqualify	2940
disqualifying	2580
disquiet	2500
disquieted	1530
disquieting	2330
disquiets	0
disregard	3660
disregarded	3090
disregarding	2960
disregards	2550
disrepair	2790
disreputable	2470
disrepute	2530
disrespect	3630
disrespected	2930
disrespectful	3640
disrespecting	2910
disrespects	2300
disrupt	3590
disrupted	3440
disrupting	3240
disruption	3710
disruptions	3060
disruptive	3460
disrupts	2870
dissatisfaction	3320
dissatisfied	3310
dissatisfies	0
dissatisfy	0
dissatisfying	1610
dissect	2900
dissected	2910
dissecting	2750
dissection	3010
dissections	2180
dissects	2160
disseminate	3030
disseminated	3000
disseminates	2170
disseminating	2830
dissemination	3260
dissension	2550
dissensions	1770
dissent	3560
dissented	2560
dissenter	2260
dissenters	2880
dissenting	3200
dissents	2140
dissertation	3700
dissertations	2790
disservice	2920
disservices	0
dissident	3100
dissidents	3090
dissimilar	3010
dissimilarities	1800
dissimilarity	1930
dissipate	2950
dissipated	3070
dissipates	2540
dissipating	2510
dissipation	2810
dissociate	2460
dissociated	2420
dissociates	2000
dissociating	2060
dissociation	2840
dissolute	2320
dissolution	3610
dissolve	3490
dissolved	3870
dissolves	3000
dissolving	3080
dissonance	3020
dissonances	1800
dissuade	3010
dissuaded	2560
dissuades	1670
dissuading	1980
distance	4850
distanced	2990
distances	3830
distancing	3060
distant	4190
distantly	2670
distaste	2920
distasteful	2990
distastes	0
distend	1450
distended	2320
distending	1160
distends	0
distil	2040
distill	2470
distillation	3010
distillations	1540
distilled	3260
distiller	2470
distilleries	2720
distillers	2660
distillery	3220
distilling	2720
distills	1910
distils	1470
distinct	4290
distincter	0
distinctest	0
distinction	4100
distinctions	3310
distinctive	4000
distinctively	2760
distinctly	3530
distinguish	3870
distinguishable	2870
distinguished	4200
distinguishes	3160
distinguishing	3350
distort	3080
distorted	3630
distorter	1130
distorting	2890
distortion	3550
distortions	3040
distorts	2720
distract	3710
distracted	3880
distracting	3430
distraction	3780
distractions	3450
distracts	2810
distraught	3150
distress	3950
distressed	3570
distresses	2070
distressing	3200
distressingly	1980
distribute	3790
distributed	4310
distributes	3150
distributing	3580
distribution	4640
distributions	3510
distributor	3660
distributors	3600
district	5040
districts	4310
distrust	3400
distrusted	2480
distrustful	2600
distrusting	2040
distrusts	2050
disturb	3560
disturbance	3610
disturbances	3340
disturbed	3800
disturbing	4050
disturbs	2830
disuse	2590
disused	2890
disuses	0
disusing	0
ditch	3900
ditched	3270
ditches	3100
ditching	3060
dither	2110
dithered	1780
dithering	2310
dithers	1460
ditties	2029
ditto	3380
dittoed	0
dittoing	0
dittos	1420
ditty	2580
divas	3050
dive	4120
dived	2970
diver	3410
diverge	2830
diverged	2760
divergence	3170
divergences	2250
divergent	3380
diverges	2370
diverging	2710
divers	3630
diverse	4240
diversified	3440
diversifies	1760
diversify	3160
diversifying	2740
diversion	3510
diversions	2910
diversities	1960
diversity	4320
divert	3420
diverted	3490
diverting	3080
diverts	2540
dives	3300
divest	2880
divested	2620
divesting	2250
divests	1670
divide	4120
divided	4470
dividend	3820
dividends	3700
divides	3450
dividing	3630
divine	4240
divined	1810
diviner	2260
divines	2280
divinest	0
diving	4019
divining	2210
divinities	2190
divinity	3450
divisible	2690
division	4860
divisions	4110
divisive	3340
divisor	2420
divisors	2100
divorce	4360
divorced	4040
divorces	3040
divorcing	2980
divulge	2930
divulged	2520
divulges	1850
divulging	2310
dizzied	1080
dizzier	0
dizzies	0
dizziest	0
dizziness	3110
dizzy	3430
dizzying	2670
dna	4490
do	6350
docile	2930
dock	3990
docked	3200
docking	3310
docks	3560
doctor	4900
doctorate	3380
doctored	2730
doctoring	2390
doctors	4550
doctrine	3980
doctrines	3290
document	4500
documentaries	3480
documentary	4310
documentation	3950
documented	4000
documenting	3440
documents	4640
dodge	3930
dodged	3120
dodges	2660
dodging	3310
dodo	2880
doe	3840
doer	2650
doers	2620
does	5740
dog	5100
dogged	2970
doggedly	2380
doggerel	1790
dogging	2680
doghouse	2570
doghouses	0
dogma	3270
dogmas	2460
dogmatic	2930
dogs	4770
dogwood	2560
dogwoods	1700
doilies	2000
doily	2110
doing	5600
doldrums	2430
dole	3330
doled	2270
doleful	1900
dolefully	1290
doles	2100
doling	2350
doll	4059
dollar	4590
dollars	4780
dolled	2440
dollies	2180
dolling	1700
dolls	3810
dolly	3540
dolphin	3670
dolphins	3880
domain	4310
domains	3720
dome	3900
domed	2850
domes	3000
domestic	4690
