# 编码	词频（wordfreq 英文 Zipf × 1000）
addressed	4260
addressee	2340
addressees	1590
addresses	4130
addressing	4059
adds	4380
adept	3330
adepts	2270
adequate	4050
adequately	3640
adhere	3570
adhered	3120
adherence	3340
adherent	2600
adherents	3130
adheres	2860
adhering	3130
adhesion	3140
adhesive	3370
adhesives	2890
adjacent	4120
adjective	3340
adjectives	3180
adjoin	1970
adjoined	2180
adjoining	3500
adjoins	2380
adjourn	2710
adjourned	3340
adjourning	1970
adjournment	2660
adjournments	1670
adjourns	2000
adjunct	3300
adjuncts	2350
adjust	4070
adjustable	3600
adjusted	4110
adjusting	3710
adjustment	3880
adjustments	3820
adjusts	3030
administer	3540
administered	3960
administering	3300
administers	3000
administration	4930
administrations	3350
administrative	4450
administrator	4070
administrators	3850
admirable	3480
admirably	2910
admiral	4000
admirals	2770
admiration	3590
admire	3970
admired	3720
admirer	3190
admirers	3170
admires	2960
admiring	3300
admissible	2870
admission	4150
admissions	3760
admit	4580
admits	3940
admittance	2800
admitted	4490
admittedly	3540
admitting	3800
admonish	2290
admonished	2660
admonishes	2090
admonishing	2260
admonition	2510
admonitions	2090
ado	3200
adobe	3530
adobes	1520
adolescence	3360
adolescences	0
adolescent	3580
adolescents	3530
adopt	4190
adopted	4510
adopting	3780
adoption	4170
adoptions	2820
adopts	3260
adorable	4059
adoration	3110
adore	3700
adored	3320
adores	2920
adoring	2820
adorn	3010
adorned	3370
adorning	2550
adornment	2470
adornments	2220
adorns	2460
adrift	3060
adroit	2310
adroitly	2050
ads	4320
adulation	2600
adult	4800
adulterate	1650
adulterated	2410
adulterates	0
adulterating	1550
adulteration	2160
adulteries	1350
adultery	3410
adulthood	3600
adults	4590
advance	4650
advanced	4710
advancement	3810
advancements	3120
advances	4080
advancing	3860
advantage	4780
advantaged	2610
advantageous	3330
advantages	4100
advantaging	1010
advent	3670
adventure	4460
adventured	1540
adventurer	3180
adventurers	3180
adventures	4150
adventuring	2570
adventurous	3480
adverb	2550
adverbial	2130
adverbials	1290
adverbs	2600
adversaries	3210
adversary	3290
adverse	3890
adversely	3270
adversities	2210
adversity	3380
advert	3460
advertise	3660
advertised	3750
advertisement	3840
advertisements	3750
advertisers	3580
advertises	2770
advertising	4540
adverts	3260
advice	4880
advisable	3260
advise	4090
advised	4180
adviser	3940
advisers	3600
advises	3430
advising	3570
advisor	4010
advisories	2690
advisors	3630
advisory	4180
advocate	4210
advocated	3600
advocates	3950
advocating	3630
aeon	2640
aeons	2240
aerial	3910
aerials	2630
aerodynamic	3190
aerodynamics	2930
aeroplane	3180
aeroplanes	2780
aerosol	3030
aerosols	2700
aerospace	3730
aesthetic	4019
aesthetically	3190
afar	3350
affable	2660
affably	1680
affair	4300
affairs	4670
affect	4590
affectation	2290
affectations	1900
affected	4640
affecting	4070
affection	3920
affectionate	3350
affectionately	3110
affections	3070
affects	4160
affidavit	3380
affidavits	2650
affiliate	3990
affiliated	3960
affiliates	3600
affiliating	1940
affiliation	3630
affiliations	3130
affinities	2690
affinity	3610
affirm	3200
affirmation	3240
affirmations	2780
