# 青简领域词库：饮食，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
平遥熟牛肉	ping yao shu niu rou	2
平遥牛肉	ping yao niu rou	14
平遥碗脱则	ping yao wan tuo ze	6
平都牛肉松	ping du niu rou song	4
平锅羊肉	ping guo yang rou	4
平阴梨丸子	ping yin li wan zi	5
年字口蘑发菜	nian zi kou mo fa cai	4
年轮蛋糕	nian lun dan gao	12
幸福双	xing fu shuang	10
广东文昌鸡	guang dong wen chang ji	5
广东月饼	guang dong yue bing	2
广东省海南省	guang dong sheng hai nan sheng	1
广东粽子	guang dong zong zi	2
广东菜	guang dong cai	5
广味源生抽王	guang wei yuan sheng chou wang	2
广安烘糕	guang an hong gao	5
广州凉粉	guang zhou liang fen	6
广州文昌鸡	guang zhou wen chang ji	7
广州星群	guang zhou xing qun	9
广州甜品	guang zhou tian pin	1
广州白切鸡	guang zhou bai qie ji	3
广州酒家	guang zhou jiu jia	42
广州鸡仔饼	guang zhou ji zai bing	2
广式云吞面	guang shi yun tun mian	5
广式五仁月饼	guang shi wu ren yue bing	5
广式月饼	guang shi yue bing	24
广式点心	guang shi dian xin	14
广式烧填鸭	guang shi shao tian ya	3
广式腊味煲仔饭	guang shi la wei bao zai fan	3
广式蜜饯	guang shi mi jian	4
广汉缠丝兔	guang han chan si tu	7
广灵五香瓜子	guang ling wu xiang gua zi	2
广藿香油	guang huo xiang you	8
广饼	guang bing	5
庄里合儿饼	zhuang li he er bing	6
庆丰包子铺	qing feng bao zi pu	7
庐山云雾	lu shan yun wu	1
庐山云雾茶	lu shan yun wu cha	1
庐山石耳	lu shan shi er	8
庐山石鱼	lu shan shi yu	9
庐山石鸡	lu shan shi ji	9
庐江小红头	lu jiang xiao hong tou	4
庐洲	lu zhou	7
库克洛夫	ku ke luo fu	6
库尔勒香梨	ku er le xiang li	3
库车汤面	ku che tang mian	4
应州牛腰	ying zhou niu yao	5
应记云吞面	ying ji yun tun mian	1
庚酸乙酯	geng suan yi zhi	1
府陈年糟蛋	fu chen nian zao dan	5
庞德咖啡	pang de ka fei	5
度小月担仔面	du xiao yue dan zai mian	8
康家脆哨面	kang jia cui shao mian	5
康师傅冰红茶	kang shi fu bing hong cha	7
延寿堂药糕	yan shou tang yao gao	4
延边冷面	yan bian leng mian	1
延边苹果梨	yan bian ping guo li	1
建德烧饼	jian de shao bing	2
建新园	jian xin yuan	6
建郡扁肉	jian jun bian rou	4
开封套四宝	kai feng tao si bao	2
开屏柴把桂鱼	kai ping chai ba gui yu	6
开心蔬麦	kai xin shu mai	7
开水白菜	kai shui bai cai	5
开洋干丝	kai yang gan si	8
开洋葱油拌面	kai yang cong you ban mian	6
开洋葱油面	kai yang cong you mian	8
开煲狗肉	kai bao gou rou	7
开远小卷粉	kai yuan xiao juan fen	5
开远甜蕌头	kai yuan tian lei tou	3
异戊酸乙酯	yi wu suan yi zhi	1
异戊酸异戊酯	yi wu suan yi wu zhi	1
异抗坏血酸	yi kang huai xue suan	1
异抗坏血酸钠	yi kang huai xue suan na	8
异构化乳糖液	yi gou hua ru tang ye	2
异麦芽酮糖	yi mai ya tong tang	1
异麦芽酮糖醇	yi mai ya tong tang chun	13
弋阳醋鸡	yi yang cu ji	3
张川羊羔肉	zhang chuan yang gao rou	4
张川锅盔	zhang chuan guo kui	4
张记	zhang ji	30
弥渡卷蹄	mi du juan ti	7
弥猴桃	mi hou tao	4
弹珠汽水	dan zhu qi shui	23
强化麦乳精	qiang hua mai ru jing	4
强果	qiang guo	1
归参山药猪腰	gui can shan yao zhu yao	3
当归獐肉	dang gui zhang rou	4
当归百合兔	dang gui bai he tu	4
当归鸡	dang gui ji	8
彝家醉虾	yi jia zui xia	2
彩带鱼头	cai dai yu tou	4
彩椒炒香肠	cai jiao chao xiang chang	4
彩色肉丝	cai se rou si	2
彩虹冰咖啡	cai hong bing ka fei	5
彩虹水晶球	cai hong shui jing qiu	2
彭州九尺板鸭	peng zhou jiu chi ban ya	3
彭集红烧肘子	peng ji hong shao zhou zi	2
径山茶	jing shan cha	1
徐舍小酥糖	xu she xiao su tang	5
得奖英国老黑啤	de jiang ying guo lao hei pi	2
得心斋酝猪蹄	de xin zhai yun zhu ti	3
得月楼	de yue lou	10
得莫利炖活鱼	de mo li dun huo yu	9
得莫利炖鱼	de mo li dun yu	4
御扇豆黄	yu shan dou huang	5
御泉杏仁露	yu quan xing ren lu	4
御珍	yu zhen	8
御福坊	yu fu fang	5
御膳烤鸡	yu shan kao ji	4
御膳粥	yu shan zhou	7
御膳豆黄	yu shan dou huang	4
御菜一品	yu cai yi pin	3
御菜三品	yu cai san pin	5
御菜五品	yu cai wu pin	5
御菜四品	yu cai si pin	5
御香源	yu xiang yuan	4
微晶纤维素	wei jing xian wei su	1
德发长	de fa chang	3
德园包子	de yuan bao zi	8
德国乳酪蛋糕	de guo ru lao dan gao	3
德国啤酒	de guo pi jiu	39
德州扒鸡	de zhou pa ji	6
德式土豆泥	de shi tu dou ni	4
德式生汁香蕉卷	de shi sheng zhi xiang jiao juan	2
德懋恭水晶饼	de mao gong shui jing bing	6
德盛园	de sheng yuan	5
徽州园子	hui zhou yuan zi	2
徽州圆子	hui zhou yuan zi	5
徽州桃脂烧肉	hui zhou tao zhi shao rou	6
徽州状元饭	hui zhou zhuang yuan fan	4
徽州臭豆腐	hui zhou chou dou fu	7
徽州蒸鸡	hui zhou zheng ji	4
徽州裹粽	hui zhou guo zong	5
徽州饼	hui zhou bing	6
徽式炒面	hui shi chao mian	2
徽菜	hui cai	19
心形面包	xin xing mian bao	1
忌廉汤	ji lian tang	4
快乐搭档	kuai le da dang	6
忻州瓦酥	xin zhou wa su	7
怀胎桂鱼	huai tai gui yu	3
怀远三绝	huai yuan san jue	1
怀远石榴	huai yuan shi liu	8
思乐冰	si le bing	5
思朗	si lang	12
怡味莲	yi wei lian	1
怡神饮料	yi shen yin liao	3
怪味兔头	guai wei tu tou	2
怪味大扁	guai wei da bian	4
怪味果仁	guai wei guo ren	2
怪味核桃	guai wei he tao	4
怪味胡豆	guai wei hu dou	6
怪味腰果	guai wei yao guo	4
怪味花仁	guai wei hua ren	2
怪味鸡	guai wei ji	2
怪味鸡块	guai wei ji kuai	1
怪味鸡条	guai wei ji tiao	4
总汇沙拉	zong hui sha la	1
总统鱼	zong tong yu	7
怿味胡豆	yi wei hu dou	3
恋爱豆腐	lian ai dou fu	10
恋爱豆腐果	lian ai dou fu guo	2
恩发德蒸饺	en fa de zheng jiao	4
恩尼艾斯	en ni ai si	7
恩施玉露茶	en shi yu lu cha	1
恩济堂秋梨膏	en ji tang qiu li gao	5
恭城柿饼	gong cheng shi bing	4
悠泡水	you pao shui	9
情中情	qing zhong qing	9
惠如楼	hui ru lou	7
惠山油酥	hui shan you su	7
意大利千层面	yi da li qian ceng mian	7
意大利小松饼	yi da li xiao song bing	2
意大利式米饭	yi da li shi mi fan	4
意大利美食	yi da li mei shi	2
意大利调料	yi da li tiao liao	4
意大利饺子	yi da li jiao zi	3
意式拉花	yi shi la hua	4
意式香浓菜汤	yi shi xiang nong cai tang	5
慈禧小窝头	ci xi xiao wo tou	4
慕尼黑啤酒	mu ni hei pi jiu	10
慕思蛋糕	mu si dan gao	9
慕斯蛋糕	mu si dan gao	29
慧仁米粥	hui ren mi zhou	5
慧娟火腿笋干老鸭面	hui juan huo tui sun gan lao ya mian	3
戊基肉桂醛	wu ji rou gui quan	6
成都子鸡	cheng du zi ji	5
成都担担面	cheng du dan dan mian	1
成都毛风鸡	cheng du mao feng ji	2
成都蛋汤	cheng du dan tang	4
成都餐厅	cheng du can ting	7
我爱烧烤	wo ai shao kao	2
戚风蛋糕	qi feng dan gao	14
扁豆糕	bian dou gao	6
手抓羊排	shou zhua yang pai	1
手抓羊肉	shou zhua yang rou	27
手抓面	shou zhua mian	2
手撕包菜	shou si bao cai	38
手撕火焙鱼	shou si huo bei yu	3
手撕烤兔	shou si kao tu	2
手撕牛肉	shou si niu rou	19
手撕饼	shou si bing	4
手撕鸡	shou si ji	1
扒三样	pa san yang	6
扒三样儿	pa san yang er	5
扒原壳鲍鱼	pa yuan ke bao yu	2
扒擦	pa ca	4
扒板	pa ban	7
扒栗子	pa li zi	5
扒海参	pa hai shen	9
扒海羊	pa hai yang	5
扒澳洲牛柳	pa ao zhou niu liu	6
扒燕窝	pa yan wo	5
扒牛肉条	pa niu rou tiao	4
扒糕	pa gao	4
扒素子双菇	pa su zi shuang gu	2
扒肉	pa rou	10
扒肘条	pa zhou tiao	5
扒酿海参	pa niang hai shen	3
扒面筋	pa mian jin	7
扒驼掌	pa tuo zhang	8
扒鲍鱼芦笋	pa bao yu lu sun	4
扒鸡块儿	pa ji kuai er	5
扒鸡腿儿	pa ji tui er	5
扒龙须鲍鱼	pa long xu bao yu	2
打头道	da tou dao	3
打油茶	da you cha	1
打糕	da gao	22
托板豆腐	tuo ban dou fu	5
扛糟鸡	kang zao ji	2
扣肉梅菜	kou rou mei cai	4
扣鸡	kou ji	7
扬州干丝	yang zhou gan si	8
扬州蛋炒饭	yang zhou dan chao fan	7
扬州酱菜	yang zhou jiang cai	8
扭结糖	niu jie tang	8
扯面	che mian	38
扶风鹿糕	fu feng lu gao	6
扶风鹿糕馍	fu feng lu gao mo	4
扶风鹿羔馍	fu feng lu gao mo	3
承德凉粉	cheng de liang fen	2
抓抓粉	zhua zhua fen	6
抓炒全鱼	zhua chao quan yu	8
抓炒大虾	zhua chao da xia	5
抓炒对虾	zhua chao dui xia	7
抓炒里脊	zhua chao li ji	7
抓炒鱼片	zhua chao yu pian	7
抓炒鲤鱼	zhua chao li yu	7
抗坏血酸	kang huai xue suan	17
抗坏血酸棕榈酸酯	kang huai xue suan zong lv suan zhi	7
抗坏血酸磷酸酯镁	kang huai xue suan lin suan zhi mei	3
抗坏血酸钙	kang huai xue suan gai	7
抗坏血酸钠	kang huai xue suan na	9
抗浪鱼	kang lang yu	6
抗结剂	kang jie ji	1
抗衰老啤酒	kang shuai lao pi jiu	5
折耳根炒肉丝	zhe er gen chao rou si	4
折耳根炒腊肉	zhe er gen chao la rou	1
抚仙湖抗浪鱼	fu xian hu kang lang yu	4
护国寺小吃	hu guo si xiao chi	20
护色剂	hu se ji	10
抱罗粉	bao luo fen	11
抹茶冰淇淋蛋糕	mo cha bing qi lin dan gao	3
抹茶咖啡	mo cha ka fei	1
抹茶慕斯	mo cha mu si	7
抹茶椰奶凉糕	mo cha ye nai liang gao	3
抹茶浮雪	mo cha fu xue	4
抹茶红豆戚风	mo cha hong dou qi feng	5
抹茶起司蛋糕	mo cha qi si dan gao	2
抹茶轻乳酪蛋糕	mo cha qing ru lao dan gao	3
担担油茶	dan dan you cha	3
担担鸡	dan dan ji	3
拆冻鲫鱼	chai dong ji yu	4
拆烩大鱼头	chai hui da yu tou	6
拆烩鲢鱼头	chai hui lian yu tou	9
拉丝烙饼	la si lao bing	4
拉条	la tiao	13
拉糟鱼块	la zao yu kuai	4
拉肠	la chang	19
拉萨啤酒	la sa pi jiu	11
拌海蜇	ban hai zhe	1
拌皮渣儿	ban pi zha er	5
拌稂子	ban lang zi	5
拌粉干	ban fen gan	7
拌肚丝	ban du si	2
拌莴笋	ban wo sun	8
拌蟹肉	ban xie rou	5
拌豆腐干丝	ban dou fu gan si	2
拌银耳	ban yin er	7
拌鸡丝	ban ji si	8
拌鸡块	ban ji kuai	6
拌鸭掌	ban ya zhang	6
拌黄瓜	ban huang gua	35
拔丝元宵	ba si yuan xiao	6
拔丝山药	ba si shan yao	5
拔丝桔子	ba si ju zi	2
拔丝楂糕	ba si zha gao	3
拔丝芋头	ba si yu tou	2
拔丝苹果	ba si ping guo	29
拔丝蜜桔	ba si mi ju	3
拔丝香蕉	ba si xiang jiao	22
拖叶	tuo ye	1
拨御面	bo yu mian	6
拨鱼	bo yu	10
拨鱼儿面	bo yu er mian	2
拼杂烩	pin za hui	2
拿破伦酥	na po lun su	4
拿铁咖啡	na tie ka fei	10
持炉珍珠鸡	chi lu zhen zhu ji	3
挂炉山鸡	gua lu shan ji	4
挂炉沙板鸡	gua lu sha ban ji	4
挂炉烤鸭	gua lu kao ya	11
挂粉汤圆	gua fen tang yuan	5
挂霜丸子	gua shuang wan zi	5
挞挞面	ta ta mian	1
挤花	ji hua	5
挪威水果布丁	nuo wei shui guo bu ding	2
捆蹄	kun ti	2
捶烩鸡片	chui hui ji pian	2
捶肉	chui rou	6
捶肉丸	chui rou wan	4
捶鸡	chui ji	5
捻捻转	nian nian zhuan	7
排冬菜	pai dong cai	7
排骨年糕	pai gu nian gao	32
排骨炖藕	pai gu dun ou	4
排骨酥	pai gu su	2
接骨糯	jie gu nuo	5
提丝发糕	ti si fa gao	3
提浆月饼	ti jiang yue bing	2
插根儿	cha gen er	5
揪片	jiu pian	4
揽饭	lan fan	6
搅团	jiao tuan	19
搅醋丝	jiao cu si	4
摔饼	shuai bing	4
摩利菌	mo li jun	3
摩卡冰咖啡	mo ka bing ka fei	7
摩卡奶油蛋糕	mo ka nai you dan gao	4
摩卡薄荷咖啡	mo ka bo he ka fei	7
摩卡蛋糕	mo ka dan gao	1
摩根斯特	mo gen si te	3
摩登粑粑	mo deng ba ba	5
撒子麻花	sa zi ma hua	5
擂沙圆	lei sha yuan	8
擂茶	lei cha	33
攒盒一品	zan he yi pin	4
支竹羊腩煲	zhi zhu yang nan bao	3
攸县香干	you xian xiang gan	7
改性大豆磷脂	gai xing da dou lin zhi	1
教场门饸饹	jiao chang men he le	4
散饭	san fan	11
敦煌榆钱	dun huang yu qian	2
敬亭绿雪茶	jing ting lv xue cha	7
敬奉环浆	jing feng huan jiang	3
整肢龙虾	zheng zhi long xia	5
文君茶	wen jun cha	6
文山鸡丁	wen shan ji ding	4
文成拉面	wen cheng la mian	3
文旦	wen dan	43
文昌按粑	wen chang an ba	5
文昌空心煎堆	wen chang kong xin jian dui	3
文昌鸡	wen chang ji	1
文楼汤包	wen lou tang bao	7
文楼蟹黄汤包	wen lou xie huang tang bao	6
文蛤饼	wen ge bing	5
斋卤味	zhai lu wei	8
斑鱼汤	ban yu tang	7
斗糕	dou gao	2
斜切通心粉沙拉	xie qie tong xin fen sha la	3
斜桥榨菜	xie qiao zha cai	2
斩鱼圆	zhan yu yuan	5
新一代长城	xin yi dai chang cheng	6
新丰小吃	xin feng xiao chi	7
新兴园蒸饺	xin xing yuan zheng jiao	5
新兴牛肉丸	xin xing niu rou wan	5
新加坡肉骨茶	xin jia po rou gu cha	1
新南轩	xin nan xuan	1
新南轩酒家	xin nan xuan jiu jia	4
新奥尔良烤翅	xin ao er liang kao chi	18
新奥尔良烤鸡腿堡	xin ao er liang kao ji tui bao	3
新奥尔良腌制料	xin ao er liang yan zhi liao	4
新疆丝路明珠	xin jiang si lu ming zhu	3
新疆凉面	xin jiang liang mian	5
新疆抓饭烧麦	xin jiang zhua fan shao mai	3
新疆杏	xin jiang xing	7
新疆琉璃葡萄	xin jiang liu li pu tao	3
新竹肉圆	xin zhu rou yuan	4
新竹贡丸	xin zhu gong wan	7
新红	xin hong	15
新红铝色淀	xin hong lv se dian	3
新郑丁家粉蒸肉	xin zheng ding jia fen zheng rou	3
新都姜糖	xin du jiang tang	2
新都桂花糕	xin du gui hua gao	4
新长发糖炒栗子	xin chang fa tang chao li zi	6
新鲜木瓜南北杏炖雪耳	xin xian mu gua nan bei xing dun xue er	3
方便米粉	fang bian mi fen	10
方便粥	fang bian zhou	9
方糕	fang gao	27
方腊鱼	fang la yu	7
方豆腐	fang dou fu	9
旋子凉粉	xuan zi liang fen	6
旋子锅魁	xuan zi guo kui	4
无为熏鸭	wu wei xun ya	7
无字盐水牛肉	wu zi yan shui niu rou	3
无核小葡萄	wu he xiao pu tao	6
无核桔	wu he ju	7
无核糖枣	wu he tang zao	5
无米粿	wu mi guo	12
无花果炖瘦肉	wu hua guo dun shou rou	4
无锡水蜜桃	wu xi shui mi tao	2
无锡肉排	wu xi rou pai	4
无锡酱烧肝	wu xi jiang shao gan	2
日式戚风	ri shi qi feng	3
日式炸猪排	ri shi zha zhu pai	2
日式照烧鸡腿	ri shi zhao shao ji tui	3
日月生辉	ri yue sheng hui	1
日本南瓜	ri ben nan gua	8
日本豆腐煲	ri ben dou fu bao	4
日本酱油	ri ben jiang you	10
日落黄	ri luo huang	13
日落黄铝色淀	ri luo huang lv se dian	2
早白尖	zao bai jian	7
早餐肠	zao can chang	1
早餐饼	zao can bing	2
旭日升	xu ri sheng	1
旱蒸贝母鸡	han zheng bei mu ji	2
时辰包子	shi chen bao zi	6
旺得芬	wang de fen	3
昆布鸡腿汤	kun bu ji tui tang	3
昆特香精	kun te xiang jing	2
昌化山核桃	chang hua shan he tao	8
昌化鸡血石	chang hua ji xue shi	1
昌顺干货	chang shun gan huo	2
明心糖	ming xin tang	2
明溪肉脯干	ming xi rou fu gan	9
明炉梅子鸭	ming lu mei zi ya	3
明珠豆腐	ming zhu dou fu	4
明珠香芋饼	ming zhu xiang yu bing	4
明顺斋什锦烧饼	ming shun zhai shi jin shao bing	3
明顺斋烧饼	ming shun zhai shao bing	3
昔阳头脑	xi yang tou nao	2
星巴克月饼	xing ba ke yue bing	2
春城鲜虾饺	chun cheng xian xia jiao	4
春笋炒步鱼	chun sun chao bu yu	4
春笋白拌鸡	chun sun bai ban ji	4
春蕊	chun rui	1
春蚕吐丝	chun can tu si	5
春风减肥茶	chun feng jian fei cha	4
晋城炒凉粉	jin cheng chao liang fen	3
晒炉肉	shai lu rou	6
晒青毛茶	shai qing mao cha	1
普宁豆干	pu ning dou gan	6
普宁面线	pu ning mian xian	4
普斯福特	pu si fu te	3
普米饭肠	pu mi fan chang	3
普罗旺斯大蒜西红柿面	pu luo wang si da suan xi hong shi mian	2
普陀山佛茶	pu tuo shan fo cha	6
普集烧鸡	pu ji shao ji	6
普鲁兰酶	pu lu lan mei	5
景家麻花	jing jia ma hua	5
景扬楼	jing yang lou	9
景星碧绿茶	jing xing bi lv cha	2
景芝三盖饼	jing zhi san gai bing	3
晶玉海棠	jing yu hai tang	2
晶糕肉片	jing gao rou pian	4
智德	zhi de	25
晾肉	liang rou	1
暇油黄瓜	xia you huang gua	3
曲园	qu yuan	7
曲园酒家	qu yuan jiu jia	7
曲奇饼干	qu qi bing gan	32
曲奇香奶	qu qi xiang nai	7
曲奇香奶冰淇淋	qu qi xiang nai bing qi lin	4
曲曲汤	qu qu tang	2
曲沃腊牛肉	qu wo la niu rou	4
曲酒	qu jiu	40
曲阜熏豆腐	qu fu xun dou fu	4
曲靖韭菜花	qu jing jiu cai hua	5
曹操鸡	cao cao ji	7
曹记驴肉	cao ji lv rou	8
曹马芝麻糖	cao ma zhi ma tang	4
曼顿	man dun	18
月宫饼	yue gong bing	6
月桂叶	yue gui ye	19
月桂酸	yue gui suan	6
望海天天渔港	wang hai tian tian yu gang	6
朝包子	chao bao zi	2
朝天锅	chao tian guo	10
朝鲜冷面	chao xian leng mian	2
木三对	mu san dui	3
木樨菜	mu xi cai	5
木洞晒枣	mu dong shai zao	3
木犀糕	mu xi gao	5
木瓜凉粉	mu gua liang fen	7
木瓜煲老鸭	mu gua bao lao ya	3
木瓜牛乳	mu gua niu ru	6
木瓜生鱼汤	mu gua sheng yu tang	5
木瓜粟米花生生鱼汤	mu gua su mi hua sheng sheng yu tang	3
木瓜蛋白酶	mu gua dan bai mei	1
木瓜酥	mu gua su	1
木糖醇酐单硬脂酸酯	mu tang chun gan dan ying zhi suan zhi	4
木素	mu su	25
木耳圪贝	mu er ge bei	5
木耳炒肉片	mu er chao rou pian	7
木耳红枣粥	mu er hong zao zhou	3
木耳酱	mu er jiang	1
木耳鸡丝	mu er ji si	3
木耳黄瓜	mu er huang gua	4
木赛来斯	mu sai lai si	5
木金肉丸	mu jin rou wan	7
本地鸡	ben di ji	11
本斋清真肉饼	ben zhai qing zhen rou bing	2
札干	zha gan	4
朱古力慕丝	zhu gu li mu si	4
朱鸿兴	zhu hong xing	2
朴枳果	po zhi guo	5
朴枳粿	po zhi guo	4
机粽	ji zong	3
杀猪饭	sha zhu fan	24
杂烩锅子	za hui guo zi	5
杂瓣海参	za ban hai shen	3
杂粮面	za liang mian	2
杂糖	za tang	9
杂菇煲	za gu bao	6
李咸饼	li xian bing	4
李圪抓	li ge zhua	5
李大同双炊糕	li da tong shuang chui gao	5
李杏	li xing	16
李派林急汁	li pai lin ji zhi	3
李连贵	li lian gui	2
李连贵熏肉大饼	li lian gui xun rou da bing	1
李锦记卤水汁	li jin ji lu shui zhi	5
李锦记叉烧酱	li jin ji cha shao jiang	1
李锦记幼滑虾酱	li jin ji you hua xia jiang	3
李锦记排骨酱	li jin ji pai gu jiang	5
李锦记柱侯酱	li jin ji zhu hou jiang	4
李锦记桂林辣椒酱	li jin ji gui lin la jiao jiang	4
李锦记沙茶酱	li jin ji sha cha jiang	2
李锦记海鲜酱	li jin ji hai xian jiang	6
李锦记精选生抽	li jin ji jing xuan sheng chou	3
李锦记精选老抽	li jin ji jing xuan lao chou	3
李锦记草菇老抽	li jin ji cao gu lao chou	3
李锦记蒸鱼豆豉	li jin ji zheng yu dou chi	3
李锦记蒸鱼豉油	li jin ji zheng yu chi you	2
李锦记豆瓣酱	li jin ji dou ban jiang	5
李锦记豉油鸡汁	li jin ji chi you ji zhi	3
李锦记财神蚝油	li jin ji cai shen hao you	3
李锦记金标生抽	li jin ji jin biao sheng chou	2
李鸿章杂烩	li hong zhang za hui	7
杏仁佛手	xing ren fo shou	6
杏仁儿酪	xing ren er lao	5
杏仁塔	xing ren ta	5
杏仁小饼干	xing ren xiao bing gan	4
杏仁条	xing ren tiao	7
杏仁椰奶果果丁	xing ren ye nai guo guo ding	2
杏仁橄榄	xing ren gan lan	5
杏仁沙拉	xing ren sha la	1
杏仁海绵蛋糕	xing ren hai mian dan gao	4
杏仁炖肉	xing ren dun rou	2
杏仁薄脆	xing ren bao cui	4
杏仁蛋糕	xing ren dan gao	2
杏仁豆腐	xing ren dou fu	37
杏仁银肺汤	xing ren yin fei tang	3
杏仁饼	xing ren bing	37
杏仁香片酥	xing ren xiang pian su	2
杏汁	xing zhi	2
杏源	xing yuan	6
杏瓣儿	xing ban er	6
杏皮水	xing pi shui	9
杏肉	xing rou	2
杏花楼	xing hua lou	46
杏花楼广式月饼	xing hua lou guang shi yue bing	2
杜仲腰花	du zhong yao hua	8
杜康牌	du kang pai	8
杜本内	du ben nei	21
杜梅酥	du mei su	5
杜称奇火烧	du cheng qi huo shao	6
杞子南枣煲鸡蛋	qi zi nan zao bao ji dan	4
杞子炖羊脑	qi zi dun yang nao	6
杞忧烘皮肘	qi you hong pi zhou	3
杠子头	gang zi tou	9
条头糕薄荷糕	tiao tou gao bo he gao	2
条酥	tiao su	1
杨凌蘸水面	yang ling zhan shui mian	7
杨家吊沪饼	yang jia diao hu bing	5
杨家吊炉饼	yang jia diao lu bing	8
杨村糕干	yang cun gao gan	7
杨梅干	yang mei gan	19
杨梅糕	yang mei gao	4
杨梅罐头	yang mei guan tou	1
杨梅虾球	yang mei xia qiu	4
杨梅醛	yang mei quan	2
杨河春绿	yang he chun lv	5
杨裕兴	yang yu xing	8
杨裕兴面条	yang yu xing mian tiao	6
杨记糕点	yang ji gao dian	5
杨长子火腿肠	yang chang zi huo tui chang	3
杨麻子	yang ma zi	2
杭三鲜	hang san xian	6
杭州刺绣	hang zhou ci xiu	7
杭州地方小吃	hang zhou di fang xiao chi	2
杭州绿豆糕	hang zhou lv dou gao	2
杭州老鸭煲	hang zhou lao ya bao	5
杭州菜	hang zhou cai	21
杭州龙井	hang zhou long jing	1
杭式榴莲酥	hang shi liu lian su	3
松丝汤包	song si tang bao	4
松仁小肚	song ren xiao du	1
松仁玉米	song ren yu mi	7
松仁粉丝	song ren fen si	2
松仁糕	song ren gao	7
松子枣泥拉糕	song zi zao ni la gao	3
松子河虾仁	song zi he xia ren	2
松子糕	song zi gao	8
松子茄鱼	song zi qie yu	3
松子酥	song zi su	7
松子鱼	song zi yu	7
松子鱼米	song zi yu mi	4
松子黄干糕	song zi huang gan gao	3
松峰绿茶	song feng lv cha	4
松树猴头	song shu hou tou	4
松树猴头蘑	song shu hou tou mo	3
松江鲈鱼	song jiang lu yu	1
松油醇	song you chun	10
松肉	song rou	13
松脆海蜇皮	song cui hai zhe pi	3
松花彩蛋	song hua cai dan	3
松花淡菜粥	song hua dan cai zhou	5
松花饼干	song hua bing gan	3
松露巧克力	song lu qiao ke li	4
松露菌	song lu jun	3
松香季戊四醇酯	song xiang ji wu si chun zhi	4
松香甘油酯	song xiang gan you zhi	7
松鹤延年	song he yan nian	5
松鹤楼	song he lou	19
松鹤楼菜馆	song he lou cai guan	6
松鼠桂鱼	song shu gui yu	30
松鼠鳜鱼	song shu gui yu	9
板栗仔鸡	ban li zai ji	3
板栗月饼	ban li yue bing	3
板栗焖仔鸡	ban li men zai ji	4
板栗煲老鸡	ban li bao lao ji	2
板栗红烧肉	ban li hong shao rou	6
板栗酒	ban li jiu	5
板粟烧鸡	ban su shao ji	5
板豆腐	ban dou fu	1
枇杷肝	pi pa gan	3
果仁夹心蛋糕	guo ren jia xin dan gao	3
果仁张	guo ren zhang	9
果仁排骨	guo ren pai gu	4
果佳	guo jia	5
果冻三明治	guo dong san ming zhi	1
果冻布丁	guo dong bu ding	4
果后	guo hou	20
果子肉	guo zi rou	6
果条筒	guo tiao tong	6
果汁伴侣	guo zhi ban lv	7
果汁煎肉脯	guo zhi jian rou fu	3
果汁牛肉片	guo zhi niu rou pian	3
果汁软糖	guo zhi ruan tang	2
果汁鱼块	guo zhi yu kuai	6
果瓣子	guo ban zi	4
果粒悬浮饮料	guo li xuan fu yin liao	5
果粒茶	guo li cha	3
果糖饮料	guo tang yin liao	5
果胶裂解酶	guo jiao lie jie mei	3
果胶酯酶	guo jiao zhi mei	1
果胶酶制剂	guo jiao mei zhi ji	4
果蒸棕	guo zheng zong	6
果蔬汁	guo shu zhi	31
果酱三明治	guo jiang san ming zhi	8
果酱咖啡	guo jiang ka fei	3
果酱夹心饼	guo jiang jia xin bing	5
果酱夹心饼干	guo jiang jia xin bing gan	5
果酱巧克力	guo jiang qiao ke li	4
果酱烧饼	guo jiang shao bing	2
果酱白蜂糕	guo jiang bai feng gao	2
果酱蛋糕卷	guo jiang dan gao juan	3
果酱酥	guo jiang su	5
果酱金糕	guo jiang jin gao	3
枣之礼	zao zhi li	7
枣仁龙眼粥	zao ren long yan zhou	3
枣卷	zao juan	1
枣沫糊	zao mo hu	7
枣泥山药糕	zao ni shan yao gao	8
枣泥拉糕	zao ni la gao	1
枣泥松糕	zao ni song gao	3
枣泥米糕	zao ni mi gao	3
枣泥糕	zao ni gao	4
枣泥蛋糕	zao ni dan gao	4
枣泥酥	zao ni su	1
枣泥酥饼	zao ni su bing	7
枣泥锅饼	zao ni guo bing	5
枫泾丁蹄	feng jing ding ti	8
枫镇大面	feng zhen da mian	1
枸杞小米粥	gou qi xiao mi zhou	1
枸杞山药粥	gou qi shan yao zhou	3
枸杞海参鸽蛋	gou qi hai shen ge dan	7
枸杞炖羊脑	gou qi dun yang nao	2
枸杞牛肝汤	gou qi niu gan tang	3
枸杞牛鞭汤	gou qi niu bian tang	4
枸杞田螺汤	gou qi tian luo tang	2
枸杞百合粥	gou qi bai he zhou	2
枸杞粥	gou qi zhou	3
枸杞菊花煲排骨	gou qi ju hua bao pai gu	2
枸杞银耳	gou qi yin er	7
枸杞银耳汤	gou qi yin er tang	5
枸杞食品	gou qi shi pin	5
枸杞香蛋	gou qi xiang dan	3
柏龙	bai long	3
柑桔黄	gan ju huang	8
柑橘黄	gan ju huang	1
柚子蜂蜜	you zi feng mi	1
