# 青简领域词库：诗词名句，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
一一如青虫	yi yi ru qing chong	2
一一生绿苔	yi yi sheng lv tai	4
一万年太久	yi wan nian tai jiu	31
一丘一壑也风流	yi qiu yi he ye feng liu	4
一丛深色花	yi cong shen se hua	4
一为迁客去长沙	yi wei qian ke qu chang sha	4
一举成名天下知	yi ju cheng ming tian xia zhi	7
一举累十觞	yi ju lei shi shang	2
一乡之善士	yi xiang zhi shan shi	1
一事无成百不堪	yi shi wu cheng bai bu kan	3
一二老寡妻	yi er lao gua qi	2
一人口插几张匙	yi ren kou cha ji zhang chi	2
一从大地起风雷	yi cong da di qi feng lei	3
一代新人换旧人	yi dai xin ren huan jiu ren	12
一代繁华地	yi dai fan hua di	2
一任群芳妒	yi ren qun fang du	3
一入凄凉耳	yi ru qi liang er	2
一凶一吉在眼前	yi xiong yi ji zai yan qian	3
一别二十年	yi bie er shi nian	3
一别旧游尽	yi bie jiu you jin	2
一别武功去	yi bie wu gong qu	2
一千五百年间事	yi qian wu bai nian jian shi	2
一卧沧江惊岁晚	yi wo cang jiang jing sui wan	2
一卷冰雪文	yi juan bing xue wen	2
一去一万里	yi qu yi wan li	3
一去三十年	yi qu san shi nian	2
一去可怜终不返	yi qu ke lian zhong bu fan	2
一去无踪迹	yi qu wu zong ji	2
一去紫台连朔漠	yi qu zi tai lian shuo mo	1
一受其成形	yi shou qi cheng xing	2
一句十回吟	yi ju shi hui yin	3
一叫一回肠一断	yi jiao yi hui chang yi duan	2
一可以为法则	yi ke yi wei fa ze	3
一叶浮萍归大海	yi ye fu ping gui da hai	1
一叶轻舟寄渺茫	yi ye qing zhou ji miao mang	2
一叶随风忽报秋	yi ye sui feng hu bao qiu	2
一吟双泪流	yi yin shuang lei liu	5
一唱雄鸡天下白	yi chang xiong ji tian xia bai	1
一国之善士	yi guo zhi shan shi	3
一场寂寞凭谁诉	yi chang ji mo ping shui su	2
一城之人皆若狂	yi cheng zhi ren jie ruo kuang	5
一声何满子	yi sheng he man zi	2
一声吹断横笛	yi sheng chui duan heng di	2
一夕轻雷落万丝	yi xi qing lei luo wan si	2
一夕高楼月	yi xi gao lou yue	3
一夜乡心五处同	yi ye xiang xin wu chu tong	2
一夜到江涨	yi ye dao jiang zhang	2
一夜好风吹	yi ye hao feng chui	4
一夜征人尽望乡	yi ye zheng ren jin wang xiang	1
一夜梦中香	yi ye meng zhong xiang	2
一夜飞度镜湖月	yi ye fei du jing hu yue	3
一夜鱼龙舞	yi ye yu long wu	6
一夫作难而七庙隳	yi fu zuo nan er qi miao hui	3
一字偕华星	yi zi xie hua xing	3
一字至七字诗	yi zi zhi qi zi shi	3
一宵冷雨葬名花	yi xiao leng yu zang ming hua	3
一家二十口	yi jia er shi kou	2
一寸相思一寸灰	yi cun xiang si yi cun hui	6
一寸荒田牛得耕	yi cun huang tian niu de geng	3
一射两虎穿	yi she liang hu chuan	2
一尊还酹江月	yi zun huan lei jiang yue	4
一山飞峙大江边	yi shan fei zhi da jiang bian	4
一岁一枯荣	yi sui yi ku rong	17
一川碎石大如斗	yi chuan sui shi da ru dou	1
一州笑我为狂客	yi zhou xiao wo wei kuang ke	2
一年一年老去	yi nian yi nian lao qu	3
一年一度秋风劲	yi nian yi du qiu feng jing	1
一年三百六十日	yi nian san bai liu shi ri	5
一年好景君须记	yi nian hao jing jun xu ji	5
一年居梓州	yi nian ju zi zhou	3
一年强半在城中	yi nian qiang ban zai cheng zhong	2
一年明月今宵多	yi nian ming yue jin xiao duo	2
一年春好处	yi nian chun hao chu	1
一年颜状镜中来	yi nian yan zhuang jing zhong lai	2
一度欲离别	yi du yu li bie	3
一弦一柱思华年	yi xian yi zhu si hua nian	15
一弹指顷去来今	yi tan zhi qing qu lai jin	2
一往情深深几许	yi wang qing shen shen ji xu	5
一心愁谢如枯兰	yi xin chou xie ru ku lan	2
一悟得所遣	yi wu de suo qian	2
一愿郎君千岁	yi yuan lang jun qian sui	2
一截还东国	yi jie huan dong guo	5
一拔何亏大圣毛	yi ba he kui da sheng mao	2
一摘使瓜好	yi zhai shi gua hao	3
一斗合自然	yi dou he zi ran	2
一斛荐槟榔	yi hu jian bin lang	3
一方黑照三方紫	yi fang hei zhao san fang zi	2
一日上树能千回	yi ri shang shu neng qian hui	3
一日克己复礼	yi ri ke ji fu li	4
一日复一日	yi ri fu yi ri	5
一日思亲十二时	yi ri si qin shi er shi	3
一日看尽长安花	yi ri kan jin chang an hua	23
一日踏春一百回	yi ri ta chun yi bai hui	2
一日长一日	yi ri zhang yi ri	2
一日难再晨	yi ri nan zai chen	2
一日须倾三百杯	yi ri xu qing san bai bei	4
一旦归为臣虏	yi dan gui wei chen lu	2
一时今夕会	yi shi jin xi hui	3
一时多少豪杰	yi shi duo shao hao jie	5
一时归去作闲人	yi shi gui qu zuo xian ren	2
一春梦雨常飘瓦	yi chun meng yu chang piao wa	2
一曲新词酒一杯	yi qu xin ci jiu yi bei	4
一曲红绡不知数	yi qu hong xiao bu zhi shu	4
一月又一月	yi yue you yi yue	2
一月周流六十回	yi yue zhou liu liu shi hui	3
一朝入吾手	yi zhao ru wu shou	2
一朝卧病无相识	yi zhao wo bing wu xiang shi	2
一朝去京国	yi zhao qu jing guo	2
一朝得成功	yi zhao de cheng gong	2
一朝被谗言	yi zhao bei chan yan	2
一朝辞此地	yi zhao ci ci di	2
一朝选在君王侧	yi zhao xuan zai jun wang ce	6
一朵佳人玉钗上	yi duo jia ren yu chai shang	2
一条藤径绿	yi tiao teng jing lv	1
一杯一杯复一杯	yi bei yi bei fu yi bei	2
一杯春露冷如冰	yi bei chun lu leng ru bing	3
一杯相属君当歌	yi bei xiang zhu jun dang ge	2
一杯罗浮春	yi bei luo fu chun	2
一杯苦劝护寒归	yi bei ku quan hu han gui	2
一枕小窗浓睡	yi zhen xiao chuang nong shui	2
一枕黄粱再现	yi zhen huang liang zai xian	2
一枕黑甜余	yi zhen hei tian yu	2
一枚不换百金颁	yi mei bu huan bai jin ban	2
一枝红杏出墙来	yi zhi hong xing chu qiang lai	41
一枝红艳露凝香	yi zhi hong yan lu ning xiang	3
一架猕猴桃	yi jia mi hou tao	3
一树春风千万枝	yi shu chun feng qian wan zhi	3
一树梅花一放翁	yi shu mei hua yi fang weng	1
一树梨花落晚风	yi shu li hua luo wan feng	2
一树碧无情	yi shu bi wu qing	1
一株青玉立	yi zhu qing yu li	3
一样悲欢逐逝波	yi yang bei huan zhu shi bo	1
一桥飞架南北	yi qiao fei jia nan bei	4
一棵青桐子	yi ke qing tong zi	3
一棹碧涛春水路	yi zhao bi tao chun shui lu	3
一樽还酹江月	yi zun huan lei jiang yue	5
一正君而国定矣	yi zheng jun er guo ding yi	2
一水中分白鹭洲	yi shui zhong fen bai lu zhou	3
一水护田将绿绕	yi shui hu tian jiang lv rao	1
一汀烟雨杏花寒	yi ting yan yu xing hua han	1
一沐三握发	yi mu san wo fa	3
一泓海水杯中泻	yi hong hai shui bei zhong xie	3
一波才动万波随	yi bo cai dong wan bo sui	3
一洗万古凡马空	yi xi wan gu fan ma kong	4
一炷烟中得意	yi zhu yan zhong de yi	2
一炷烟消火冷	yi zhu yan xiao huo leng	2
一点沧洲白鹭飞	yi dian cang zhou bai lu fei	2
一点浩然气	yi dian hao ran qi	5
一点芳心在娇眼	yi dian fang xin zai jiao yan	2
一片伤心画不成	yi pian shang xin hua bu cheng	3
一片冰心在玉壶	yi pian bing xin zai yu hu	10
一片孤城万仞山	yi pian gu cheng wan ren shan	2
一片春岚映半环	yi pian chun lan ying ban huan	2
一片汪洋都不见	yi pian wang yang dou bu jian	1
一片神鸦社鼓	yi pian shen ya she gu	2
一片西飞一片东	yi pian xi fei yi pian dong	2
一片降幡出石头	yi pian xiang fan chu shi tou	3
一瓯资舌本	yi ou zi she ben	2
一生一代一双人	yi sheng yi dai yi shuang ren	8
一生大笑能几回	yi sheng da xiao neng ji hui	2
一生好入名山游	yi sheng hao ru ming shan you	4
一生抱恨堪咨嗟	yi sheng bao hen kan zi jie	2
一生真伪复谁知	yi sheng zhen wei fu shui zhi	4
一男附书至	yi nan fu shu zhi	2
一番洗清秋	yi fan xi qing qiu	2
一番过雨来幽径	yi fan guo yu lai you jing	2
一病讫不痊	yi bing qi bu quan	3
一盏秋灯夜读书	yi zhan qiu deng ye du shu	2
一盘笼饼是豌巢	yi pan long bing shi wan chao	2
一破夫差国	yi po fu chai guo	3
一种清孤不等闲	yi zhong qing gu bu deng xian	2
一种爱鱼心各异	yi zhong ai yu xin ge yi	2
一章三遍读	yi zhang san bian du	3
一笑失百忧	yi xiao shi bai you	2
一笑相倾国便亡	yi xiao xiang qing guo bian wang	2
一笑谁似痴虎头	yi xiao shui si chi hu tou	2
一笛闻吹出塞愁	yi di wen chui chu sai chou	2
一篇读罢头飞雪	yi pian du ba tou fei xue	5
一腔热血勤珍重	yi qiang re xue qin zhen zhong	2
一舸逐鸱夷	yi ge zhu chi yi	2
一茎竹篙剔船尾	yi jing zhu gao ti chuan wei	3
一蓑烟雨任平生	yi suo yan yu ren ping sheng	33
一行复一行	yi xing fu yi xing	2
一行白鹭上青天	yi hang bai lu shang qing tian	36
一见知君即断肠	yi jian zhi jun ji duan chang	3
一言为重百金轻	yi yan wei zhong bai jin qing	4
一言而丧邦	yi yan er sang bang	3
一言而可以兴邦	yi yan er ke yi xing bang	2
一诗千改始心安	yi shi qian gai shi xin an	3
一诗换得两尖团	yi shi huan de liang jian tuan	3
一语天然万古新	yi yu tian ran wan gu xin	2
一诺千金重	yi nuo qian jin zhong	1
一谈一笑俗相看	yi tan yi xiao su xiang kan	2
一路凉风十八里	yi lu liang feng shi ba li	2
一路经行处	yi lu jing xing chu	3
一身无所求	yi shen wu suo qiu	2
一身独暖亦何情	yi shen du nuan yi he qing	3
一身都是愁	yi shen du shi chou	3
一轮秋影转金波	yi lun qiu ying zhuan jin bo	3
一遍洗寰瀛	yi bian xi huan ying	4
一道残阳铺水中	yi dao can yang pu shui zhong	5
一钩残月向西流	yi gou can yue xiang xi liu	3
一钵千家饭	yi bo qian jia fan	2
一闲对百忙	yi xian dui bai mang	2
一阵黄昏雨	yi zhen huang hun yu	1
一陂春水绕花身	yi bei chun shui rao hua shen	3
一雷惊蛰始	yi lei jing zhe shi	5
一霎清明雨	yi sha qing ming yu	2
一顾倾人城	yi gu qing ren cheng	12
一飞由来无定所	yi fei you lai wu ding suo	2
一食或尽粟一石	yi shi huo jin su yi dan	3
一饭胡麻度几春	yi fan hu ma du ji chun	4
一饱尚如此	yi bao shang ru ci	2
一马二仆夫	yi ma er pu fu	3
一驿过一驿	yi yi guo yi yi	3
一骑红尘妃子笑	yi qi hong chen fei zi xiao	12
一鸟不鸣山更幽	yi niao bu ming shan geng you	2
丁兰少失母	ding lan shao shi mu	2
丁壮在南冈	ding zhuang zai nan gang	2
丁香空结雨中愁	ding xiang kong jie yu zhong chou	1
七八个星天外	qi ba ge xing tian wai	4
七十古来稀	qi shi gu lai xi	6
七十紫鸳鸯	qi shi zi yuan yang	3
七十老翁何所求	qi shi lao weng he suo qiu	3
七十者可以食肉矣	qi shi zhe ke yi shi rou yi	4
七十者衣帛食肉	qi shi zhe yi bo shi rou	3
七十而从心所欲不逾矩	qi shi er cong xin suo yu bu yu ju	5
七十而致仕	qi shi er zhi shi	1
七夕谁见同	qi xi shei jian tong	2
七尺从天乞活埋	qi chi cong tian qi huo mai	5
七年元日对酒五首	qi nian yuan ri dui jiu wu shou	2
七弦为益友	qi xian wei yi you	3
七律到韶山	qi lv dao shao shan	3
七日而浑沌死	qi ri er hun dun si	2
七月七日长生殿	qi yue qi ri chang sheng dian	6
七月中气后	qi yue zhong qi hou	2
七百里驱十五日	qi bai li qu shi wu ri	2
七龄思即壮	qi ling si ji zhuang	2
万万女贞林	wan wan nv zhen lin	3
万丈丹梯尚可攀	wan zhang dan ti shang ke pan	3
万事不关心	wan shi bu guan xin	3
万事从今足	wan shi cong jin zu	3
万事成蹉跎	wan shi cheng cuo tuo	6
万事浮云过太虚	wan shi fu yun guo tai xu	3
万事称好司马公	wan shi cheng hao si ma gong	2
万事翻覆如浮云	wan shi fan fu ru fu yun	3
万事随转烛	wan shi sui zhuan zhu	2
万事须己运	wan shi xu ji yun	1
万事风雨散	wan shi feng yu san	2
万人如海一身藏	wan ren ru hai yi shen cang	1
万人空巷斗新妆	wan ren kong xiang dou xin zhuang	2
万卷藏书宜子弟	wan juan cang shu yi zi di	3
万古一长嗟	wan gu yi chang jie	3
万古云霄一羽毛	wan gu yun xiao yi yu mao	3
万古到今同此恨	wan gu dao jin tong ci hen	2
万古惟留楚客悲	wan gu wei liu chu ke bei	3
万古文章有坦途	wan gu wen zhang you tan tu	2
万古永相望	wan gu yong xiang wang	2
万古遗水滨	wan gu yi shui bin	2
万古青蒙蒙	wan gu qing meng meng	2
万国尽征戍	wan guo jin zheng shu	2
万国衣冠拜冕旒	wan guo yi guan bai mian liu	5
万壑有声含晚籁	wan he you sheng han wan lai	2
万壑树参天	wan he shu can tian	3
万姓以死亡	wan xing yi si wang	2
万姓疮痍合	wan xing chuang yi he	3
万家灯火暖春风	wan jia deng huo nuan chun feng	3
万径人踪灭	wan jing ren zong mie	14
万心春熙熙	wan xin chun xi xi	3
万户侯何足道哉	wan hu hou he zu dao zai	2
万户千门入画图	wan hu qian men ru hua tu	5
万户千门成野草	wan hu qian men cheng ye cao	3
万户捣衣声	wan hu dao yi sheng	4
万户萧疏鬼唱歌	wan hu xiao shu gui chang ge	1
万斛之舟行若风	wan hu zhi zhou xing ruo feng	2
万木皆怒号	wan mu jie nu hao	2
万木霜天红烂漫	wan mu shuang tian hong lan man	4
万朵互低昂	wan duo hu di ang	3
万条垂下绿丝绦	wan tiao chui xia lv si tao	5
万树江边杏	wan shu jiang bian xing	3
万株松树青山上	wan zhu song shu qing shan shang	2
万水千山只等闲	wan shui qian shan zhi deng xian	2
万点蜀山尖	wan dian shu shan jian	2
万点雪峰晴	wan dian xue feng qing	1
万物一马也	wan wu yi ma ye	2
万物不得不昌	wan wu bu de bu chang	2
万物之本也	wan wu zhi ben ye	2
万物之父母也	wan wu zhi fu mu ye	3
万物之镜也	wan wu zhi jing ye	1
万物兴歇皆自然	wan wu xing xie jie zi ran	2
万物将自化	wan wu jiang zi hua	3
万物并作吾观复	wan wu bing zuo wu guan fu	2
万物有成理而不说	wan wu you cheng li er bu shuo	4
万物生光辉	wan wu sheng guang hui	3
万物皆一也	wan wu jie yi ye	2
万物皆出于机	wan wu jie chu yu ji	2
万物皆妩媚	wan wu jie wu mei	3
万物负阴而抱阳	wan wu fu yin er bao yang	4
万物静观皆自得	wan wu jing guan jie zi de	4
万籁此俱寂	wan lai ci ju ji	3
万类霜天竞自由	wan lei shuang tian jing zi you	7
万紫千红总是春	wan zi qian hong zong shi chun	17
万花纷谢一时稀	wan hua fen xie yi shi xi	3
万言万当不如一默	wan yan wan dang bu ru yi mo	2
万谷酣笙钟	wan gu han sheng zhong	2
万象为宾客	wan xiang wei bin ke	2
万转千回思想过	wan zhuan qian hui si xiang guo	2
万里不惜死	wan li bu xi si	2
万里共清辉	wan li gong qing hui	3
万里写入胸怀间	wan li xie ru xiong huai jian	4
万里卷潮来	wan li juan chao lai	3
万里可横行	wan li ke heng xing	3
万里夕阳垂地	wan li xi yang chui di	2
万里家在岷峨	wan li jia zai min e	2
万里寒光生积雪	wan li han guang sheng ji xue	1
万里尚为邻	wan li shang wei lin	1
万里归心对月明	wan li gui xin dui yue ming	2
万里归来年愈少	wan li gui lai nian yu shao	2
万里归来颜愈少	wan li gui lai yan yu shao	1
万里念将归	wan li nian jiang gui	5
万里悲秋常作客	wan li bei qiu chang zuo ke	1
万里故乡情	wan li gu xiang qing	3
万里故园心	wan li gu yuan xin	3
万里方看汗流血	wan li fang kan han liu xue	2
万里桥西一草堂	wan li qiao xi yi cao tang	3
万里横烟浪	wan li heng yan lang	2
万里汉家使	wan li han jia shi	2
万里清光不可思	wan li qing guang bu ke si	2
万里清风来	wan li qing feng lai	3
万里犹比邻	wan li you bi lin	2
万里秋千习俗同	wan li qiu qian xi su tong	3
万里经年别	wan li jing nian bie	2
万里衡阳雁	wan li heng yang yan	4
万里谁能驯	wan li shui neng xun	2
万里赴戎机	wan li fu rong ji	1
万里长城今犹在	wan li chang cheng jin you zai	7
万里长征人未还	wan li chang zheng ren wei huan	5
万里长江一酒杯	wan li chang jiang yi jiu bei	2
万里长江横渡	wan li chang jiang heng du	6
万里长江水	wan li chang jiang shui	1
万里长江边	wan li chang jiang bian	2
万里长空且为忠魂舞	wan li chang kong qie wei zhong hun wu	3
万里风樯看贾船	wan li feng qiang kan gu chuan	2
万里黄河绕黑山	wan li huang he rao hei shan	2
万钟于我何加焉	wan zhong yu wo he jia yan	2
万面鼓声中	wan mian gu sheng zhong	2
万颗匀圆讶许同	wan ke yun yuan ya xu tong	2
万马战犹酣	wan ma zhan you han	4
万马齐喑究可哀	wan ma qi yin jiu ke ai	5
丈夫何事足萦怀	zhang fu he shi zu ying huai	3
丈夫志四海	zhang fu zhi si hai	2
丈夫未可轻年少	zhang fu wei ke qing nian shao	2
丈夫贵兼济	zhang fu gui jian ji	4
丈夫非无泪	zhang fu fei wu lei	3
三万六千场	san wan liu qian chang	3
三万里河东入海	san wan li he dong ru hai	3
三五夜中新月色	san wu ye zhong xin yue se	2
三代之得天下也以仁	san dai zhi de tian xia ye yi ren	2
三以天下让	san yi tian xia rang	3
三伏似清秋	san fu si qing qiu	2
三军可夺帅也	san jun ke duo shuai ye	6
三军过后尽开颜	san jun guo hou jin kai yan	2
三分割据纡筹策	san fen ge ju yu chou ce	2
三分天下有其二	san fen tian xia you qi er	7
三十一年还旧国	san shi yi nian huan jiu guo	3
三十二莲峰	san shi er lian feng	2
三十六万人	san shi liu wan ren	3
三十六宫土花碧	san shi liu gong tu hua bi	1
三十六策中	san shi liu ce zhong	2
三十功名尘与土	san shi gong ming chen yu tu	6
三十年来梦一场	san shi nian lai meng yi chang	2
三十日不还	san shi ri bu huan	2
三千宠爱在一身	san qian chong ai zai yi shen	6
三千毛瑟精兵	san qian mao se jing bing	4
三千里地山河	san qian li di shan he	3
三国周郎赤壁	san guo zhou lang chi bi	4
三声欲断疑肠断	san sheng yu duan yi chang duan	2
三夜频梦君	san ye pin meng jun	3
三嫌老丑换蛾眉	san xian lao chou huan e mei	2
三山半落青天外	san shan ban luo qing tian wai	5
三峰意出群	san feng yi chu qun	2
三年不为乐	san nian bu wei le	5
三年为刺史	san nian wei ci shi	4
三年之丧毕	san nian zhi sang bi	2
三年奔走空皮骨	san nian ben zou kong pi gu	2
三年无改于父之道	san nian wu gai yu fu zhi dao	3
三年流落巴山道	san nian liu luo ba shan dao	2
三年谪宦此栖迟	san nian zhe huan ci qi chi	2
三愿如同梁上燕	san yuan ru tong liang shang yan	2
三日入厨下	san ri ru chu xia	4
三日开瓮香满城	san ri kai weng xiang man cheng	2
三日断五匹	san ri duan wu pi	3
三日饮不散	san ri yin bu san	2
三旬两入省	san xun liang ru sheng	3
三春三月忆三巴	san chun san yue yi san ba	2
三春已暮花从风	san chun yi mu hua cong feng	2
三春湿黄精	san chun shi huang jing	2
三春白雪归青冢	san chun bai xue gui qing zhong	1
三春行乐在谁边	san chun xing le zai shui bian	2
三春车马客	san chun che ma ke	2
三曰不敢为天下先	san yue bu gan wei tian xia xian	4
三月三日天气新	san yue san ri tian qi xin	5
三月下瞿塘	san yue xia qu tang	2
三月尽是头白日	san yue jin shi tou bai ri	2
三月草萋萋	san yue cao qi qi	2
三杯两盏淡酒	san bei liang zhan dan jiu	16
三杯吐然诺	san bei tu ran nuo	5
三杯弄宝刀	san bei nong bao dao	2
三杯通大道	san bei tong da dao	2
三湘衰鬓逢秋色	san xiang shuai bin feng qiu se	2
三男邺城戍	san nan ye cheng shu	2
三百六十日	san bai liu shi ri	2
三节还乡兮挂锦衣	san jie huan xiang xi gua jin yi	2
三边曙色动危旌	san bian shu se dong wei jing	1
三过其门而不入	san guo qi men er bu ru	4
三顾臣于草庐之中	san gu chen yu cao lu zhi zhong	3
三顾频烦天下计	san gu pin fan tian xia ji	3
上下两天竺	shang xia liang tian zhu	2
上下交征利	shang xia jiao zheng li	4
上下平则国强	shang xia ping ze guo qiang	7
上与浮云齐	shang yu fu yun qi	2
上佐近来多五考	shang zuo jin lai duo wu kao	2
上古有大椿者	shang gu you da chun zhe	3
上品功能甘露味	shang pin gong neng gan lu wei	4
上善若水任方圆	shang shan ruo shui ren fang yuan	6
上帝钧天会众灵	shang di jun tian hui zhong ling	2
上感九庙焚	shang gan jiu miao fen	3
上方重阁晚	shang fang chong ge wan	2
上无道揆也	shang wu dao kui ye	3
上有万仞山	shang you wan ren shan	2
上有弦歌声	shang you xian ge sheng	2
上有青冥之长天	shang you qing ming zhi chang tian	2
上有黄鹂深树鸣	shang you huang li shen shu ming	3
上林繁花照眼新	shang lin fan hua zhao yan xin	3
上枢密韩太尉书	shang shu mi han tai wei shu	3
上疆场彼此弯弓月	shang jiang chang bi ci wan gong yue	3
上穷碧落下黄泉	shang qiong bi luo xia huang quan	13
上言长相思	shang yan chang xiang si	1
上阳白发人	shang yang bai fa ren	2
下下复高高	xia xia fu gao gao	2
下令减征赋	xia ling jian zheng fu	3
下台相顾一相思	xia tai xiang gu yi xiang si	2
下学而上达	xia xue er shang da	3
下床畏蛇食畏药	xia chuang wei she shi wei yao	2
下德不失德	xia de bu shi de	4
下必有甚焉者矣	xia bi you shen yan zhe yi	3
下悯万民疮	xia min wan min chuang	3
下无法守也	xia wu fa shou ye	2
下有千丈水	xia you qian zhang shui	2
下有渌水之波澜	xia you lu shui zhi bo lan	3
下此便翛然	xia ci bian xiao ran	2
下笑世上士	xia xiao shi shang shi	2
下言久离别	xia yan jiu li bie	1
下邽田地平如掌	xia gui tian di ping ru zhang	2
下马饮君酒	xia ma yin jun jiu	2
下驿穷交日	xia yi qiong jiao ri	2
不与徐凝洗恶诗	bu yu xu ning xi e shi	3
不与我言兮	bu yu wo yan xi	3
不与我食兮	bu yu wo shi xi	2
不与梨花同梦	bu yu li hua tong meng	3
不与秦塞通人烟	bu yu qin sai tong ren yan	1
不为刘家贤圣物	bu wei liu jia xian sheng wu	2
不为商贾不耕田	bu wei shang gu bu geng tian	3
不为困穷宁有此	bu wei kun qiong ning you ci	2
不为穷约趋俗	bu wei qiong yue qu su	2
不为长叹息	bu wei chang tan xi	2
不乃为大盗积者也	bu nai wei da dao ji zhe ye	2
不义而富且贵	bu yi er fu qie gui	7
不亦君子乎	bu yi jun zi hu	4
不仁者远矣	bu ren zhe yuan yi	2
不仁而在高位	bu ren er zai gao wei	2
不以万物易蜩之翼	bu yi wan wu yi tiao zhi yi	3
不以三隅反	bu yi san yu fan	1
不以人废言	bu yi ren fei yan	5
不以兵强天下	bu yi bing qiang tian xia	3
不以其道得之	bu yi qi dao de zhi	6
不以千里称也	bu yi qian li cheng ye	3
不以文害辞	bu yi wen hai ci	3
不以知穷天下	bu yi zhi qiong tian xia	2
不以知穷德	bu yi zhi qiong de	2
不以礼节之	bu yi li jie zhi	3
不以舜之所以事尧事君	bu yi shun zhi suo yi shi yao shi jun	2
不以辩饰知	bu yi bian shi zhi	2
不会得青青如此	bu hui de qing qing ru ci	2
不似少年时节	bu si shao nian shi jie	2
不似此池边	bu si ci chi bian	2
不使人间造孽钱	bu shi ren jian zao nie qian	4
不使胜食气	bu shi sheng shi qi	5
不信君看弈棋者	bu xin jun kan yi qi zhe	2
不信比来长下泪	bu xin bi lai chang xia lei	3
不值一文钱	bu zhi yi wen qian	4
不几乎一言而丧邦乎	bu ji hu yi yan er sang bang hu	2
不出三十年	bu chu san shi nian	2
不出门来又数旬	bu chu men lai you shu xun	2
不击元无烟	bu ji yuan wu yan	3
不到长城非好汉	bu dao chang cheng fei hao han	2
不及卢家有莫愁	bu ji lu jia you mo chou	2
不及在家贫	bu ji zai jia pin	2
不及林间自在啼	bu ji lin jian zi zai ti	2
不及汪伦送我情	bu ji wang lun song wo qing	7
不可一日无此君	bu ke yi ri wu ci jun	2
不可不察也	bu ke bu cha ye	1
不可不知也	bu ke bu zhi ye	5
不可与言而与之言	bu ke yu yan er yu zhi yan	1
不可以为人	bu ke yi wei ren	3
不可以为子	bu ke yi wei zi	4
不可以久处约	bu ke yi jiu chu yue	3
不可以作巫医	bu ke yi zuo wu yi	3
不可以言传也	bu ke yi yan chuan ye	2
不可以语上也	bu ke yi yu shang ye	2
不可以长处乐	bu ke yi chang chu le	3
不可使知之	bu ke shi zhi zhi	1
不可居无竹	bu ke ju wu zhu	21
不可徒行也	bu ke tu xing ye	3
不可得而利	bu ke de er li	3
不可得而害	bu ke de er hai	3
不可得而疏	bu ke de er shu	3
不可得而贱	bu ke de er jian	3
不可得而贵	bu ke de er gui	3
不可得而闻也	bu ke de er wen ye	3
不可沽名学霸王	bu ke gu ming xue ba wang	3
不可知者也	bu ke zhi zhe ye	2
不可胜用也	bu ke sheng yong ye	3
不吾知其亦已兮	bu wu zhi qi yi yi xi	2
不周山下红旗乱	bu zhou shan xia hong qi luan	4
不哭亦足矣	bu ku yi zu yi	2
不善不能改	bu shan bu neng gai	5
不善人之师	bu shan ren zhi shi	3
不喜亦不惧	bu xi yi bu ju	5
不嗜杀人者能一之	bu shi sha ren zhe neng yi zhi	1
不图为乐之至于斯也	bu tu wei yue zhi zhi yu si ye	2
不坠青云之志	bu zhui qing yun zhi zhi	3
不堪幽梦太匆匆	bu kan you meng tai cong cong	2
不堪盈手赠	bu kan ying shou zeng	3
不堪逢苦热	bu kan feng ku re	2
不处嫌疑间	bu chu xian yi jian	4
不复卧南阳	bu fu wo nan yang	3
不多饮酒懒吟诗	bu duo yin jiu lan yin shi	2
不夜月临关	bu ye yue lin guan	2
不失其所者久	bu shi qi suo zhe jiu	3
不好犯上而好作乱者	bu hao fan shang er hao zuo luan zhe	2
不如一盘粟	bu ru yi pan su	2
不如不相见	bu ru bu xiang jian	2
不如不遇倾城色	bu ru bu yu qing cheng se	2
不如丘之好学也	bu ru qiu zhi hao xue ye	3
不如乡人之善者好之	bu ru xiang ren zhi shan zhe hao zhi	3
不如向帘儿底下	bu ru xiang lian er di xia	2
不如因善遇之	bu ru yin shan yu zhi	2
不如应是欠西施	bu ru ying shi qian xi shi	2
不如当身自簪缨	bu ru dang shen zi zan ying	2
不如怜取眼前人	bu ru lian qu yan qian ren	6
不如扫地法	bu ru sao di fa	2
不如早还家	bu ru zao huan jia	2
不如是之甚也	bu ru shi zhi shen ye	1
不如登高之博见也	bu ru deng gao zhi bo jian ye	3
不如硕鼠解藏身	bu ru shuo shu jie cang shen	3
不如退而结网	bu ru tui er jie wang	12
不如闻早还却愿	bu ru wen zao huan que yuan	2
不如须臾之所学也	bu ru xu yu zhi suo xue ye	2
不如饮美酒	bu ru yin mei jiu	3
不学头陀法	bu xue tou tuo fa	2
不学非自然	bu xue fei zi ran	3
不宜妄自菲薄	bu yi wang zi fei bo	3
不寐百忧生	bu mei bai you sheng	2
不寝听金钥	bu qin ting jin yue	3
不对芳春酒	bu dui fang chun jiu	2
不将颜色托春风	bu jiang yan se tuo chun feng	2
不尽长江滚滚来	bu jin chang jiang gun gun lai	1
不尽长江滚滚流	bu jin chang jiang gun gun liu	4
不幸短命死矣	bu xing duan ming si yi	3
不应墩姓尚随公	bu ying dun xing shang sui gong	2
不废江河万古流	bu fei jiang he wan gu liu	3
不开口笑是痴人	bu kai kou xiao shi chi ren	3
不强人所难	bu qiang ren suo nan	5
不归杨则归墨	bu gui yang ze gui mo	2
不当时命而大穷乎天下	bu dang shi ming er da qiong hu tian xia	2
