# 青简领域词库：医学，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
三七血伤宁胶囊	san qi xue shang ning jiao nang	2
三七通舒胶囊	san qi tong shu jiao nang	3
三两半药酒	san liang ban yao jiu	4
三九胃泰	san jiu wei tai	5
三九胃泰胶囊	san jiu wei tai jiao nang	3
三九胃泰颗粒	san jiu wei tai ke li	4
三仙丹	san xian dan	3
三体性	san ti xing	3
三倍体	san bei ti	23
三十六味消渴胶囊	san shi liu wei xiao ke jiao nang	3
三十烷醇	san shi wan chun	1
三叉神经	san cha shen jing	10
三叉神经痛	san cha shen jing tong	3
三叉苦	san cha ku	2
三叶虫类	san ye chong lei	1
三味蒺藜散	san wei ji li san	3
三唑仑片	san zuo lun pian	4
三因极一病证方论	san yin ji yi bing zheng fang lun	2
三妙丸	san miao wan	2
三子养亲汤	san zi yang qin tang	3
三宝胶囊	san bao jiao nang	5
三尖杉酯碱	san jian shan zhi jian	1
三尖瓣	san jian ban	26
三尖瓣狭窄	san jian ban xia zhai	3
三尖瓣返流	san jian ban fan liu	5
三尖瓣闭锁不全	san jian ban bi suo bu quan	2
三带喙库蚊	san dai hui ku wen	1
三房心	san fang xin	3
三日疟	san ri nve	2
三期梅毒	san qi mei du	1
三查七对	san cha qi dui	5
三氟拉嗪	san fu la qin	1
三氧化二砷	san yang hua er shen	9
三氯乙烯	san lv yi xi	8
三氯乙烯中毒	san lv yi xi zhong du	5
三氯叔丁醇	san lv shu ding chun	4
三氯甲烷	san lv jia wan	19
三焦	san jiao	2
三焦俞	san jiao shu	3
三焦俞穴	san jiao shu xue	2
三焦辨证	san jiao bian zheng	1
三物备急丸	san wu bei ji wan	2
三甲复脉汤	san jia fu mai tang	2
三白草	san bai cao	16
三相避孕片	san xiang bi yun pian	3
三硅酸镁	san gui suan mei	3
三硝基甲苯	san xiao ji jia ben	27
三碘甲状腺原氨酸	san dian jia zhuang xian yuan an suan	4
三碘甲腺原氨酸	san dian jia xian yuan an suan	1
三磷酸肌醇	san lin suan ji chun	1
三磷酸腺苷	san lin suan xian gan	19
三磷酸腺苷二钠	san lin suan xian gan er na	3
三磷酸腺苷二钠片	san lin suan xian gan er na pian	3
三磷酸鸟苷	san lin suan niao gan	2
