# 青简领域词库：医学，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
刷状缘	shua zhuang yuan	4
刺丝囊	ci si nang	2
刺乌养心口服液	ci wu yang xin kou fu ye	3
刺五加注射液	ci wu jia zhu she ye	6
刺五加片	ci wu jia pian	4
刺五加糖浆	ci wu jia tang jiang	2
刺五加脑灵液	ci wu jia nao ling ye	3
刺五加脑灵胶囊	ci wu jia nao ling jiao nang	2
刺五加颗粒	ci wu jia ke li	2
刺创	ci chuang	8
刺激反应	ci ji fan ying	4
刺激素	ci ji su	9
刺猬皮	ci wei pi	3
刺细胞	ci xi bao	1
剂量反应	ji liang fan ying	4
剂量效应	ji liang xiao ying	2
前交叉韧带	qian jiao cha ren dai	7
前体细胞	qian ti xi bao	12
前体药物	qian ti yao wu	20
前列回春丸	qian lie hui chun wan	4
前列回春胶囊	qian lie hui chun jiao nang	2
前列地尔	qian lie di er	2
前列地尔注射液	qian lie di er zhu she ye	4
前列欣胶囊	qian lie xin jiao nang	3
前列泰片	qian lie tai pian	2
前列泰颗粒	qian lie tai ke li	2
前列环素	qian lie huan su	3
前列腺切除术	qian lie xian qie chu shu	2
前列腺囊肿	qian lie xian nang zhong	3
前列腺增生	qian lie xian zeng sheng	4
前列腺按摩	qian lie xian an mo	5
前列腺炎	qian lie xian yan	6
前列腺特异性抗原	qian lie xian te yi xing kang yuan	1
前列腺特异抗原	qian lie xian te yi kang yuan	5
前列腺素	qian lie xian su	14
前列腺结核	qian lie xian jie he	3
前列腺结石	qian lie xian jie shi	5
前列腺肿瘤	qian lie xian zhong liu	8
前列腺脓肿	qian lie xian nong zhong	4
前列腺萎缩	qian lie xian wei suo	3
前列腺酸性磷酸酶	qian lie xian suan xing lin suan mei	2
前列舒乐	qian lie shu le	3
前列舒乐片	qian lie shu le pian	2
前列舒乐胶囊	qian lie shu le jiao nang	4
前列解毒胶囊	qian lie jie du jiao nang	4
前列通瘀	qian lie tong yu	2
前列通瘀片	qian lie tong yu pian	5
前列通胶囊	qian lie tong jiao nang	3
前叶	qian ye	38
前哨淋巴结	qian shao lin ba jie	3
前哨痔	qian shao zhi	3
前囟	qian xin	6
前巩膜炎	qian gong mo yan	3
前庭大腺	qian ting da xian	1
前庭大腺囊肿	qian ting da xian nang zhong	5
前庭大腺脓肿	qian ting da xian nong zhong	4
前房出血	qian fang chu xue	4
前房积脓	qian fang ji nong	2
前房积血	qian fang ji xue	5
前房角	qian fang jiao	5
前斜角肌	qian xie jiao ji	2
前正中线	qian zheng zhong xian	5
前白蛋白	qian bai dan bai	4
前瞻性研究	qian zhan xing yan jiu	11
前瞻性调查	qian zhan xing diao cha	5
前突	qian tu	21
前纵隔	qian zong ge	1
前纵韧带	qian zong ren dai	3
前置胎盘	qian zhi tai pan	48
前肠	qian chang	5
前肾	qian shen	3
前胡	qian hu	7
前膜	qian mo	1
前臂假肢	qian bi jia zhi	2
前臂长	qian bi chang	4
前谷	qian gu	5
前负荷	qian fu he	9
前阴	qian yin	2
前顶	qian ding	3
前驱期	qian qu qi	2
剑突	jian tu	1
剑龙类	jian long lei	29
剖宫产	pou gong chan	15
剖腹探查术	pou fu tan cha shu	7
剥脱	bo tuo	6
剥脱性角质松解症	bo tuo xing jiao zhi song jie zheng	3
剥脱性骨软骨炎	bo tuo xing gu ruan gu yan	2
剪切率	jian qie lv	2
剪创	jian chuang	3
剪接位点	jian jie wei dian	4
剪接体	jian jie ti	3
副中肾管	fu zhong shen guan	4
副主任医师	fu zhu ren yi shi	38
副主任药师	fu zhu ren yao shi	9
副乳切除术	fu ru qie chu shu	3
副乳房	fu ru fang	3
副交感神经	fu jiao gan shen jing	18
副交感神经系统	fu jiao gan shen jing xi tong	3
副反应	fu fan ying	9
副溶血性弧菌	fu rong xue xing hu jun	8
副甲状腺	fu jia zhuang xian	48
副神经	fu shen jing	1
副神经节瘤	fu shen jing jie liu	4
副粘病毒	fu nian bing du	2
副耳	fu er	6
副胎盘	fu tai pan	3
副脾	fu pi	3
副银屑病	fu yin xie bing	3
副霍乱	fu huo luan	3
劈刀	pi dao	1
劈裂	pi lie	10
力保肪宁	li bao fang ning	3
力克肺疾	li ke fei ji	2
力克舒	li ke shu	4
力加寿片	li jia shou pian	2
力月西	li yue xi	4
力比泰	li bi tai	5
力补金秋胶囊	li bu jin qiu jiao nang	1
办公室自动化	ban gong shi zi dong hua	1
功劳木	gong lao mu	2
功能位	gong neng wei	5
功能性消化不良	gong neng xing xiao hua bu liang	2
功能性肠病	gong neng xing chang bing	4
功能性胃肠病	gong neng xing wei chang bing	6
功能性腹泻	gong neng xing fu xie	6
功能解剖学	gong neng jie pou xue	2
加减复脉汤	jia jian fu mai tang	2
加压素	jia ya su	6
加合百服宁	jia he bai fu ning	3
加味保和丸	jia wei bao he wan	3
加味八珍益母膏	jia wei ba zhen yi mu gao	4
加味左金丸	jia wei zuo jin wan	2
加味藿香正气丸	jia wei huo xiang zheng qi wan	4
加味藿香正气软胶囊	jia wei huo xiang zheng qi ruan jiao nang	3
加味逍遥丸	jia wei xiao yao wan	4
加味逍遥散	jia wei xiao yao san	3
加味霍香正气丸	jia wei huo xiang zheng qi wan	3
加味香连丸	jia wei xiang lian wan	3
加巴喷丁	jia ba pen ding	7
加替沙星	jia ti sha xing	1
加替沙星氯化钠注射液	jia ti sha xing lv hua na zhu she ye	2
加替沙星注射液	jia ti sha xing zhu she ye	3
加替沙星片	jia ti sha xing pian	2
加替沙星胶囊	jia ti sha xing jiao nang	3
加碘盐	jia dian yan	1
加速试验	jia su shi yan	1
动作思维	dong zuo si wei	3
动力不稳定性	dong li bu wen ding xing	1
动力定型	dong li ding xing	5
动功	dong gong	3
动压	dong ya	14
动态心电图	dong tai xin dian tu	2
动态脑电图	dong tai nao dian tu	6
动态血压监测	dong tai xue ya jian ce	7
动机性遗忘	dong ji xing yi wang	1
动点	dong dian	10
动物交往	dong wu jiao wang	2
动物分类学	dong wu fen lei xue	9
动物地理学	dong wu di li xue	5
动物心理学	dong wu xin li xue	2
动物毒素	dong wu du su	5
动物生态学	dong wu sheng tai xue	4
动物生物学	dong wu sheng wu xue	1
动物生理学	dong wu sheng li xue	3
动物疾病	dong wu ji bing	17
动物病理学	dong wu bing li xue	1
动物群落	dong wu qun luo	2
动物解剖	dong wu jie pou	6
动物遗传学	dong wu yi chuan xue	3
动眼神经	dong yan shen jing	17
动眼神经麻痹	dong yan shen jing ma bi	4
动脉导管	dong mai dao guan	12
动脉导管未闭	dong mai dao guan wei bi	10
动脉栓塞	dong mai shuan se	15
动脉注射	dong mai zhu she	2
动脉瘤性骨囊肿	dong mai liu xing gu nang zhong	1
动脉瘤样骨囊肿	dong mai liu yang gu nang zhong	3
动脉硬化性精神病	dong mai ying hua xing jing shen bing	3
动脉硬化性脑病	dong mai ying hua xing nao bing	3
动脉管壁	dong mai guan bi	6
动脉粥样硬化	dong mai zhou yang ying hua	49
动脉脉搏	dong mai mai bo	5
动脉血压	dong mai xue ya	2
动脉造影	dong mai zao ying	5
动静脉畸形	dong jing mai ji xing	3
动静脉瘘	dong jing mai lou	2
动静脉造瘘术	dong jing mai zao lou shu	2
助力运动	zhu li yun dong	4
助行器	zhu xing qi	3
劳动卫生	lao dong wei sheng	23
劳宫	lao gong	5
劳宫穴	lao gong xue	7
劳拉西泮	lao la xi pan	4
劳永乐	lao yong le	2
劳淋	lao lin	2
勃林格殷格翰	bo lin ge yin ge han	3
募穴	mu xue	1
包含体	bao han ti	2
包涵体	bao han ti	13
包皮垢	bao pi gou	12
包皮嵌顿	bao pi qian dun	4
包皮环切术	bao pi huan qie shu	9
包皮粘连	bao pi zhan lian	4
包皮过长	bao pi guo chang	8
包皮龟头炎	bao pi gui tou yan	6
包膜挛缩	bao mo luan suo	6
包茎	bao jing	23
匍匐茎	pu fu jing	17
匐行疹	fu xing zhen	3
化妆品痤疮	hua zhuang pin cuo chuang	3
化妆品皮炎	hua zhuang pin pi yan	4
化学剥脱术	hua xue bo tuo shu	3
化学性皮肤灼伤	hua xue xing pi fu zhuo shang	3
化学性眼部灼伤	hua xue xing yan bu zhuo shang	3
化学感受器	hua xue gan shou qi	2
化学感觉	hua xue gan jue	5
化学渗透	hua xue shen tou	4
化学烧伤	hua xue shao shang	5
化学疗法	hua xue liao fa	39
化学计量学	hua xue ji liang xue	2
化学试剂	hua xue shi ji	26
化性	hua xing	6
化斑汤	hua ban tang	2
化生	hua sheng	35
化症回生口服液	hua zheng hui sheng kou fu ye	3
化症回生片	hua zheng hui sheng pian	3
化痔灵片	hua zhi ling pian	2
化痔胶囊	hua zhi jiao nang	2
化痰平喘片	hua tan ping chuan pian	3
化皮	hua pi	6
化积口服液	hua ji kou fu ye	3
化脓性中耳炎	hua nong xing zhong er yan	7
化脓性关节炎	hua nong xing guan jie yan	9
化脓性心包炎	hua nong xing xin bao yan	3
化脓性汗腺炎	hua nong xing han xian yan	1
化脓性炎	hua nong xing yan	1
化脓性眼内炎	hua nong xing yan nei yan	4
化脓性肉芽肿	hua nong xing rou ya zhong	1
化脓性胸膜炎	hua nong xing xiong mo yan	3
化脓性脑炎	hua nong xing nao yan	4
化脓性脑膜脑炎	hua nong xing nao mo nao yan	3
化脓性腮腺炎	hua nong xing sai xian yan	4
化脓性颌骨骨髓炎	hua nong xing he gu gu sui yan	2
化脓性骨髓炎	hua nong xing gu sui yan	4
化脓性鼻窦炎	hua nong xing bi dou yan	3
化虫丸	hua chong wan	3
化风丹	hua feng dan	3
北五味子	bei wu wei zi	3
北京口腔医学	bei jing kou qiang yi xue	1
北京生物制品研究所	bei jing sheng wu zhi pin yan jiu suo	5
北山楂	bei shan zha	3
北沙参	bei sha shen	7
北芪五加片	bei qi wu jia pian	3
北苍术	bei cang zhu	3
北豆根	bei dou gen	1
北豆根片	bei dou gen pian	3
北豆根胶囊	bei dou gen jiao nang	3
北里柴三郎	bei li chai san lang	11
北野政次	bei ye zheng ci	2
匙状甲	chi zhuang jia	2
匹多莫德	pi duo mo de	3
匹多莫德分散片	pi duo mo de fen san pian	2
匹多莫德口服液	pi duo mo de kou fu ye	3
匹多莫德颗粒	pi duo mo de ke li	2
匹莫林	pi mo lin	2
区乐民	ou le min	2
医古文	yi gu wen	6
医和	yi he	9
医学专业英语	yi xue zhuan ye ying yu	3
医学伦理学	yi xue lun li xue	11
医学免疫学	yi xue mian yi xue	4
医学分子生物学	yi xue fen zi sheng wu xue	5
医学化学	yi xue hua xue	2
医学实验动物学	yi xue shi yan dong wu xue	3
医学导论	yi xue dao lun	3
医学康复	yi xue kang fu	1
医学影像学	yi xue ying xiang xue	8
医学影像检查技术	yi xue ying xiang jian cha ji shu	3
医学影像物理学	yi xue ying xiang wu li xue	2
医学影像设备管理	yi xue ying xiang she bei guan li	2
医学影像诊断学	yi xue ying xiang zhen duan xue	3
医学微生物学	yi xue wei sheng wu xue	7
医学心理学	yi xue xin li xue	6
医学心理学与精神病学	yi xue xin li xue yu jing shen bing xue	5
医学文献检索	yi xue wen xian jian suo	4
医学检验	yi xue jian yan	37
医学模式	yi xue mo shi	3
医学物理学	yi xue wu li xue	4
医学生物学	yi xue sheng wu xue	10
医学真菌学	yi xue zhen jun xue	2
医学神经生物学	yi xue shen jing sheng wu xue	2
医学纲目	yi xue gang mu	2
医学细胞生物学	yi xue xi bao sheng wu xue	3
医学统计学	yi xue tong ji xue	2
医学美学	yi xue mei xue	7
医学美容	yi xue mei rong	20
医学美容技术	yi xue mei rong ji shu	7
医学营养学	yi xue ying yang xue	3
医学衷中参西录	yi xue zhong zhong can xi lu	5
医学遗传学	yi xue yi chuan xue	30
医学隔离	yi xue ge li	15
医宗金鉴	yi zong jin jian	1
医家	yi jia	36
医方集解	yi fang ji jie	5
医明	yi ming	7
医源性传播	yi yuan xing chuan bo	6
医源性感染	yi yuan xing gan ran	8
医用化学	yi yong hua xue	4
医用棉签	yi yong mian qian	7
医用缝合针	yi yong feng he zhen	2
医用羊肠线	yi yong yang chang xian	3
医用耗材	yi yong hao cai	4
医用高等数学	yi yong gao deng shu xue	2
医疗体操	yi liao ti cao	5
医疗体育	yi liao ti yu	7
医疗垃圾	yi liao la ji	1
医疗废物	yi liao fei wu	1
医缓	yi huan	2
医院内感染	yi yuan nei gan ran	2
医院感染	yi yuan gan ran	29
医院管理学	yi yuan guan li xue	3
医院药事管理	yi yuan yao shi guan li	1
医风	yi feng	2
十一味甘露胶囊	shi yi wei gan lu jiao nang	4
十一烯酸	shi yi xi suan	4
十一酸睾酮	shi yi suan gao tong	1
十一酸睾酮胶丸	shi yi suan gao tong jiao wan	2
十三味菥蓂丸	shi san wei xi ming wan	3
十二指肠息肉	shi er zhi chang xi rou	4
十二指肠损伤	shi er zhi chang sun shang	2
十二指肠水平部	shi er zhi chang shui ping bu	3
十二指肠炎	shi er zhi chang yan	6
十二指肠瘘	shi er zhi chang lou	5
十二指肠降部	shi er zhi chang jiang bu	4
十二烷基硫酸钠	shi er wan ji liu suan na	4
十五味乳鹏丸	shi wu wei ru peng wan	4
十五味乳鹏胶囊	shi wu wei ru peng jiao nang	2
十五味萝蒂明目丸	shi wu wei luo di ming mu wan	3
十五味黑药胶囊	shi wu wei hei yao jiao nang	3
十五味龙胆花丸	shi wu wei long dan hua wan	4
十全大补丸	shi quan da bu wan	5
十全大补膏	shi quan da bu gao	4
十八味党参丸	shi ba wei dang shen wan	3
十八味杜鹃丸	shi ba wei du juan wan	3
十八味诃子利尿丸	shi ba wei he zi li niao wan	3
十六味消渴胶囊	shi liu wei xiao ke jiao nang	3
十味乳香丸	shi wei ru xiang wan	2
十味乳香散	shi wei ru xiang san	3
十味乳香胶囊	shi wei ru xiang jiao nang	5
十味玉泉胶囊	shi wei yu quan jiao nang	2
十味蒂达胶囊	shi wei di da jiao nang	2
十味降糖颗粒	shi wei jiang tang ke li	3
十味黑冰片丸	shi wei hei bing pian wan	5
十味龙胆花颗粒	shi wei long dan hua ke li	2
十四经穴	shi si jing xue	2
十大功劳叶	shi da gong lao ye	3
十宣	shi xuan	1
十宣穴	shi xuan xue	5
十滴水	shi di shui	10
十滴水软胶囊	shi di shui ruan jiao nang	3
十灰散	shi hui san	2
十香定痛丸	shi xiang ding tong wan	2
十香暖脐膏	shi xiang nuan qi gao	3
十香止痛丸	shi xiang zhi tong wan	3
千年健	qian nian jian	1
千斤拔	qian jin ba	35
千斤肾安宁胶囊	qian jin shen an ning jiao nang	3
千柏鼻炎片	qian bai bi yan pian	3
千柏鼻炎胶囊	qian bai bi yan jiao nang	3
千粒重	qian li zhong	3
千里光	qian li guang	34
千金子霜	qian jin zi shuang	2
千金止带丸	qian jin zhi dai wan	3
千金翼方	qian jin yi fang	1
千金要方	qian jin yao fang	2
升主动脉	sheng zhu dong mai	2
升华硫	sheng hua liu	3
升压素	sheng ya su	3
升结肠	sheng jie chang	2
升血小板胶囊	sheng xue xiao ban jiao nang	2
升阳十一味丸	sheng yang shi yi wei wan	4
升麻葛根汤	sheng ma ge gen tang	2
午后潮热	wu hou chao re	5
午夜香吻	wu ye xiang wen	1
午时茶颗粒	wu shi cha ke li	2
午节	wu jie	4
半乳糖基转移酶	ban ru tang ji zhuan yi mei	3
半乳糖性白内障	ban ru tang xing bai nei zhang	2
半乳糖激酶	ban ru tang ji mei	3
半乳糖激酶缺乏	ban ru tang ji mei que fa	2
半乳糖苷酶	ban ru tang gan mei	4
半乳糖血症	ban ru tang xue zheng	1
半乳糖醛酸	ban ru tang quan suan	3
半乳聚糖	ban ru ju tang	1
半同胞	ban tong bao	4
半喉切除术	ban hou qie chu shu	2
半夏厚朴汤	ban xia hou po tang	2
半夏天麻丸	ban xia tian ma wan	3
半夏曲	ban xia qu	4
半夏止咳糖浆	ban xia zhi ke tang jiang	2
半夏泻心汤	ban xia xie xin tang	3
半夏白术天麻汤	ban xia bai zhu tian ma tang	4
半夏糖浆	ban xia tang jiang	3
半寄生植物	ban ji sheng zhi wu	2
半抗原	ban kang yuan	2
半数致死剂量	ban shu zhi si ji liang	1
半数致死量	ban shu zhi si liang	10
半日花科	ban ri hua ke	1
半月清	ban yue qing	4
半月瓣	ban yue ban	3
半月皱襞	ban yue zhou bi	1
半枝莲	ban zhi lian	1
半枫荷	ban feng he	16
半椎体畸形	ban zhui ti ji xing	3
半灌木	ban guan mu	14
半种	ban zhong	5
半胱胺	ban guang an	3
半腱肌	ban jian ji	3
半膜肌	ban mo ji	2
半表半里	ban biao ban li	2
半规管	ban gui guan	18
半边莲	ban bian lian	37
半透性	ban tou xing	2
半透膜	ban tou mo	7
半阴阳	ban yin yang	3
华佗再造丸	hua tuo zai zao wan	6
华佗膏	hua tuo gao	4
华山参	hua shan shen	2
华支睾吸虫	hua zhi gao xi chong	3
华支睾吸虫病	hua zhi gao xi chong bing	4
华法林	hua fa lin	11
华法林钠	hua fa lin na	2
华盖散	hua gai san	2
华素片	hua su pian	7
华蟾素注射液	hua chan su zhu she ye	3
华蟾素片	hua chan su pian	2
华西口腔医学杂志	hua xi kou qiang yi xue za zhi	3
协同作用	xie tong zuo yong	19
协定处方	xie ding chu fang	5
协日嘎四味汤散	xie ri ga si wei tang san	3
协调运动	xie tiao yun dong	3
卒中	cu zhong	20
卓青	zhuo qing	2
单一序列	dan yi xu lie	2
单交	dan jiao	8
单体型	dan ti xing	3
单体性	dan ti xing	4
单倍型	dan bei xing	31
单剂量	dan ji liang	2
单因素方差分析	dan yin su fang cha fen xi	3
单基因病	dan ji yin bing	6
单层柱状上皮	dan ceng zhu zhuang shang pi	3
单心室	dan xin shi	2
单心房	dan xin fang	5
单态氧	dan tai yang	3
单性	dan xing	39
单性花	dan xing hua	12
单果	dan guo	7
单核吞噬细胞	dan he tun shi xi bao	7
单核细胞	dan he xi bao	41
单核细胞增多症	dan he xi bao zeng duo zheng	2
单核细胞白血病	dan he xi bao bai xue bing	3
单硝酸异山梨酯	dan xiao suan yi shan li zhi	1
单硝酸异山梨酯片	dan xiao suan yi shan li zhi pian	3
单硝酸异山梨酯缓释片	dan xiao suan yi shan li zhi huan shi pian	5
单硝酸异山梨酯胶囊	dan xiao suan yi shan li zhi jiao nang	3
单磷酸阿糖腺苷	dan lin suan a tang xian gan	3
单纯型精神分裂症	dan chun xing jing shen fen lie zheng	7
单纯性牙周炎	dan chun xing ya zhou yan	2
单纯性甲状腺肿	dan chun xing jia zhuang xian zhong	3
单纯性痒疹	dan chun xing yang zhen	2
单纯性肾囊肿	dan chun xing shen nang zhong	3
单纯疱疹	dan chun pao zhen	8
单纯疱疹病毒	dan chun pao zhen bing du	14
单细胞生物	dan xi bao sheng wu	32
单肾	dan shen	7
单胺氧化酶	dan an yang hua mei	18
单脐动脉	dan qi dong mai	3
单面性	dan mian xing	4
南五味子	nan wu wei zi	24
南北沙参	nan bei sha shen	2
南板蓝根	nan ban lan gen	5
南沙参	nan sha shen	5
博来霉素	bo lai mei su	13
博氏线	bo shi xian	3
博落回	bo luo hui	4
卟啉病	bu lin bing	1
卡介菌多糖核酸	ka jie jun duo tang he suan	3
卡介菌多糖核酸注射液	ka jie jun duo tang he suan zhu she ye	4
卡介菌纯蛋白衍生物	ka jie jun chun dan bai yan sheng wu	4
卡他性中耳炎	ka ta xing zhong er yan	4
卡他性结膜炎	ka ta xing jie mo yan	1
卡前列甲酯栓	ka qian lie jia zhi shuan	2
卡前列素氨丁三醇	ka qian lie su an ding san chun	3
卡培他滨	ka pei ta bin	5
卡培他滨片	ka pei ta bin pian	4
卡尔达诺	ka er da nuo	3
卡巴拉汀	ka ba la ting	3
卡托普利	ka tuo pu li	7
卡托普利片	ka tuo pu li pian	4
卡比多巴	ka bi duo ba	2
卡泊三醇	ka bo san chun	2
卡泊芬净	ka bo fen jing	3
卡波姆	ka bo mu	1
卡波西肉瘤	ka bo xi rou liu	3
卡环	ka huan	2
卡立普多	ka li pu duo	1
卡络磺钠氯化钠注射液	ka luo huang na lv hua na zhu she ye	3
卡维地洛	ka wei di luo	4
卡维地洛片	ka wei di luo pian	2
卡莫氟	ka mo fu	1
卡那霉素	ka na mei su	1
卡铂	ka bo	13
卡马西平	ka ma xi ping	10
卡马西平片	ka ma xi ping pian	4
卢于道	lu yu dao	3
卢宠茂	lu chong mao	23
卢煜明	lu yu ming	2
卤地菊	lu di ju	3
卫气	wei qi	7
卫气同病	wei qi tong bing	4
卫气营血	wei qi ying xue	5
卫气营血辨证	wei qi ying xue bian zheng	2
卫生事业管理	wei sheng shi ye guan li	8
卫生事业管理学	wei sheng shi ye guan li xue	4
卫生信息管理	wei sheng xin xi guan li	1
卫生化学	wei sheng hua xue	5
卫生学	wei sheng xue	35
卫生微生物学	wei sheng wei sheng wu xue	3
卫生检验	wei sheng jian yan	8
卫生法	wei sheng fa	27
卫生法学	wei sheng fa xue	8
卫生法律法规	wei sheng fa lv fa gui	8
卫生法规	wei sheng fa gui	2
卫生监督	wei sheng jian du	19
卫生经济学	wei sheng jing ji xue	6
卫生统计	wei sheng tong ji	7
卫生统计学	wei sheng tong ji xue	5
卫生行政部门	wei sheng xing zheng bu men	18
卫生许可证	wei sheng xu ke zheng	1
卫莹芳	wei ying fang	2
印堂穴	yin tang xue	7
印度大麻	yin du da ma	5
印度神油	yin du shen you	3
印戒细胞癌	yin jie xi bao ai	1
印模	yin mo	15
印模材料	yin mo cai liao	2
印象形成	yin xiang xing cheng	2
危害因素	wei hai yin su	1
危象	wei xiang	19
危重病医学	wei zhong bing yi xue	1
即刻义齿	ji ke yi chi	2
即早	ji zao	8
卵原细胞	luan yuan xi bao	3
卵圆孔	luan yuan kong	2
卵圆窝	luan yuan wo	1
卵壳膜	luan ke mo	3
卵子发生	luan zi fa sheng	2
卵巢切除术	luan chao qie chu shu	2
卵巢动脉	luan chao dong mai	2
卵巢发育不良	luan chao fa yu bu liang	5
卵巢发育异常	luan chao fa yu yi chang	2
卵巢囊肿	luan chao nang zhong	6
卵巢囊肿剔除术	luan chao nang zhong ti chu shu	6
卵巢妊娠	luan chao ren shen	4
卵巢恶性肿瘤	luan chao e xing zhong liu	1
卵巢扭转	luan chao niu zhuan	3
卵巢早衰	luan chao zao shuai	9
卵巢炎	luan chao yan	11
卵巢畸胎瘤	luan chao ji tai liu	4
卵巢破裂	luan chao po lie	5
卵巢肿瘤	luan chao zhong liu	9
卵巢良性肿瘤	luan chao liang xing zhong liu	6
卵巢过度刺激综合征	luan chao guo du ci ji zong he zheng	6
卵巢颗粒细胞瘤	luan chao ke li xi bao liu	4
卵巢黄体破裂	luan chao huang ti po lie	4
卵母细胞	luan mu xi bao	13
卵泡	luan pao	21
卵泡刺激素	luan pao ci ji su	6
卵泡破裂	luan pao po lie	4
卵泡细胞	luan pao xi bao	3
卵白蛋白	luan bai dan bai	3
卵磷脂片	luan lin zhi pian	2
卵磷脂络合碘	luan lin zhi luo he dian	2
卵裂	luan lie	12
卵裂球	luan lie qiu	3
卵黄	luan huang	16
卵黄磷蛋白	luan huang lin dan bai	2
卵黄管	luan huang guan	1
卵黄膜	luan huang mo	2
卷曲霉素	juan qu mei su	4
厄贝沙坦	e bei sha tan	5
厄贝沙坦氢氯噻嗪片	e bei sha tan qing lv sai qin pian	4
厄贝沙坦片	e bei sha tan pian	4
厄贝沙坦胶囊	e bei sha tan jiao nang	4
历算学	li suan xue	3
压力性尿失禁	ya li xing niao shi jin	3
压力感受性反射	ya li gan shou xing fan she	3
压差	ya cha	9
压电效应	ya dian xiao ying	6
压痛	ya tong	33
压舌板	ya she ban	7
压迫性荨麻疹	ya po xing qian ma zhen	2
厌恶治疗	yan wu zhi liao	2
厌恶疗法	yan wu liao fa	3
厌氧菌	yan yang jun	18
厚朴	hou po	24
厚朴温中汤	hou po wen zhong tang	3
厚朴花	hou po hua	3
厚朴酚	hou po fen	2
厚皮性骨膜病	hou pi xing gu mo bing	3
原位杂交	yuan wei za jiao	12
原位杂交技术	yuan wei za jiao ji shu	3
原位癌	yuan wei ai	41
原位移植	yuan wei yi zhi	5
原儿茶醛	yuan er cha quan	5
原发性三叉神经痛	yuan fa xing san cha shen jing tong	5
原发性侧索硬化	yuan fa xing ce suo ying hua	1
原发性开角型青光眼	yuan fa xing kai jiao xing qing guang yan	5
原发性痛经	yuan fa xing tong jing	7
原发性肺结核	yuan fa xing fei jie he	3
原发性肾病综合征	yuan fa xing shen bing zong he zheng	5
原发性肾病综合症	yuan fa xing shen bing zong he zheng	2
原发性腹膜炎	yuan fa xing fu mo yan	3
原发性血小板减少症	yuan fa xing xue xiao ban jian shao zheng	3
原发性血小板增多症	yuan fa xing xue xiao ban zeng duo zheng	4
原发性视网膜脱离	yuan fa xing shi wang mo tuo li	3
原发性闭经	yuan fa xing bi jing	5
原发性闭角型青光眼	yuan fa xing bi jiao xing qing guang yan	5
原发性高血压	yuan fa xing gao xue ya	11
原始卵泡	yuan shi luan pao	5
原子吸收分光光度法	yuan zi xi shou fen guang guang du fa	3
原子吸收分光光度计	yuan zi xi shou fen guang guang du ji	6
原条	yuan tiao	4
原核细胞	yuan he xi bao	12
原气	yuan qi	1
原生殖细胞	yuan sheng zhi xi bao	2
原生质体	yuan sheng zhi ti	24
原生质体融合	yuan sheng zhi ti rong he	2
原癌基因	yuan ai ji yin	3
原穴	yuan xue	1
原结	yuan jie	1
原肌球蛋白	yuan ji qiu dan bai	1
厥冷	jue leng	7
厥心痛	jue xin tong	3
厥阴	jue yin	1
厥阴俞	jue yin shu	3
厥阴病	jue yin bing	2
去个体化	qu ge ti hua	5
去乙酰毛花苷	qu yi xian mao hua gan	3
去乙酰毛花苷注射液	qu yi xian mao hua gan zhu she ye	4
去垢剂	qu gou ji	3
去大脑强直	qu da nao qiang zhi	2
去极化	qu ji hua	37
去氢胆酸	qu qing dan suan	2
去氧孕烯炔雌醇片	qu yang yun xi que ci chun pian	2
去氧肾上腺素	qu yang shen shang xian su	4
去氧胆酸	qu yang dan suan	5
去甲万古霉素	qu jia wan gu mei su	4
去甲乌药碱	qu jia wu yao jian	4
去甲伪麻黄碱	qu jia wei ma huang jian	3
去甲斑蝥酸钠	qu jia ban mao suan na	3
去甲替林	qu jia ti lin	2
去甲肾上腺素	qu jia shen shang xian su	43
去羟肌苷	qu qiang ji gan	3
去腐生肌散	qu fu sheng ji san	2
去铁胺	qu tie an	5
县医院	xian yi yuan	41
县级医院	xian ji yi yuan	5
参七心疏胶囊	shen qi xin shu jiao nang	4
参七脑康胶囊	shen qi nao kang jiao nang	3
参仙升脉口服液	shen xian sheng mai kou fu ye	2
参南星口服液	shen nan xing kou fu ye	3
参地益肾口服液	shen di yi shen kou fu ye	4
参归润燥搽剂	shen gui run zao cha ji	3
参志胶囊	shen zhi jiao nang	2
参术胶囊	shen zhu jiao nang	3
参杞颗粒	shen qi ke li	2
参松养心胶囊	shen song yang xin jiao nang	6
参桂理中丸	shen gui li zhong wan	2
参桂鹿茸丸	shen gui lu rong wan	4
参梅养胃颗粒	shen mei yang wei ke li	2
参灵肝康胶囊	shen ling gan kang jiao nang	2
参灵蓝胶囊	shen ling lan jiao nang	1
参竹精颗粒	shen zhu jing ke li	2
参考点	can kao dian	45
参芍片	shen shao pian	2
参芎葡萄糖注射液	shen xiong pu tao tang zhu she ye	2
参芪健胃颗粒	shen qi jian wei ke li	2
参芪十一味颗粒	shen qi shi yi wei ke li	2
参芪扶正注射液	shen qi fu zheng zhu she ye	3
参芪片	shen qi pian	2
参芪胶囊	shen qi jiao nang	4
参芪降糖胶囊	shen qi jiang tang jiao nang	3
参芪降糖颗粒	shen qi jiang tang ke li	2
参芪颗粒	shen qi ke li	2
参苏丸	shen su wan	3
参苏感冒片	shen su gan mao pian	2
参苓白术丸	shen ling bai shu wan	5
参苓白术散	shen ling bai shu san	6
