# 青简领域词库：IT 与计算机，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
反汇编程序	fan hui bian cheng xu	2
反渗透设备	fan shen tou she bei	7
反爬虫	fan pa chong	9
反病毒	fan bing du	20
反病毒工具	fan bing du gong ju	6
反病毒工程师	fan bing du gong cheng shi	7
反码	fan ma	1
反编码	fan bian ma	10
反编译	fan bian yi	9
反编译器	fan bian yi qi	7
反编译工具	fan bian yi gong ju	12
反编译程序	fan bian yi cheng xu	7
反读	fan du	7
反调试	fan tiao shi	10
反转单链表	fan zhuan dan lian biao	9
反转字符串	fan zhuan zi fu chuan	11
反转链表	fan zhuan lian biao	11
反馈控制	fan kui kong zhi	8
发布平台	fa bu ping tai	28
发布网站	fa bu wang zhan	8
发布订阅	fa bu ding yue	12
发布证书	fa bu zheng shu	1
发送消息	fa song xiao xi	39
发送短信	fa song duan xin	29
发送邮件	fa song you jian	6
发音比较	fa yin bi jiao	2
取主机名	qu zhu ji ming	6
取代码	qu dai ma	8
取值范围	qu zhi fan wei	7
取分钟	qu fen zhong	5
取列数	qu lie shu	5
取命令行	qu ming ling xing	5
取回图片	qu hui tu pian	5
取回客户	qu hui ke hu	5
取回数据	qu hui shu ju	10
取地址	qu di zhi	5
取字段名	qu zi duan ming	8
取宽度	qu kuan du	6
取对象	qu dui xiang	11
取年份	qu nian fen	6
取当前目录	qu dang qian mu lu	6
取指	qu zhi	2
取指令	qu zhi ling	11
取数值	qu shu zhi	6
取数组下标	qu shu zu xia biao	5
取整	qu zheng	25
取文件属性	qu wen jian shu xing	5
取文件长度	qu wen jian chang du	6
取文本	qu wen ben	7
取文本长度	qu wen ben chang du	5
取景变换	qu jing bian huan	7
取模	qu mo	20
取模运算	qu mo yun suan	2
取消装箱	qu xiao zhuang xiang	8
取石子游戏	qu shi zi you xi	10
取秒	qu miao	6
取绝对值	qu jue dui zhi	8
取背景色	qu bei jing se	5
取轮廓	qu lun kuo	5
取运行目录	qu yun xing mu lu	5
取进程	qu jin cheng	8
取错误	qu cuo wu	1
取随机数	qu sui ji shu	1
受保护资源	shou bao hu zi yuan	10
受控对象	shou kong dui xiang	7
受控访问	shou kong fang wen	1
受查异常	shou cha yi chang	8
受限访问	shou xian fang wen	6
变位词	bian wei ci	9
变化检测	bian hua jian ce	6
变参	bian can	11
变参函数	bian can han shu	10
变址	bian zhi	10
变址寄存器	bian zhi ji cun qi	9
变形转换	bian xing zhuan huan	5
变态跳台阶	bian tai tiao tai jie	7
变换中心	bian huan zhong xin	6
变换分析	bian huan fen xi	6
变换处理	bian huan chu li	9
变换系统	bian huan xi tong	2
变换编码	bian huan bian ma	3
变换规则	bian huan gui ze	9
变迁规则	bian qian gui ze	5
变量交换	bian liang jiao huan	10
变量作用域	bian liang zuo yong yu	1
变量初始化	bian liang chu shi hua	1
变量名	bian liang ming	23
变量命名	bian liang ming ming	13
变量声明	bian liang sheng ming	5
变量提升	bian liang ti sheng	1
变量类型	bian liang lei xing	3
变长参数	bian chang can shu	11
变长编码	bian chang bian ma	10
叠片过滤器	die pian guo lv qi	5
口令攻击	kou ling gong ji	4
句子片段	ju zi pian duan	6
句柄	ju bing	18
句柄类	ju bing lei	9
句法关系	ju fa guan xi	2
句法分析	ju fa fen xi	9
句法树	ju fa shu	1
句法模式识别	ju fa mo shi shi bie	4
句法结构	ju fa jie gou	15
句法规则	ju fa gui ze	3
另存为	ling cun wei	10
只读存储器	zhi du cun chu qi	4
只读属性	zhi du shu xing	13
召回率	zhao hui lv	3
可串行性	ke chuan xing xing	9
可信计算	ke xin ji suan	2
可信计算基	ke xin ji suan ji	1
可修改性	ke xiu gai xing	1
可分级性	ke fen ji xing	7
可分配空间	ke fen pei kong jian	8
可变分区	ke bian fen qu	8
可变参数	ke bian can shu	5
可变参数函数	ke bian can shu han shu	10
可变参数列表	ke bian can shu lie biao	2
可变参数模板	ke bian can shu mu ban	8
可变字符串	ke bian zi fu chuan	12
可变字长	ke bian zi chang	7
可变数组	ke bian shu zu	13
可变比特率	ke bian bi te lv	1
可变长参数	ke bian chang can shu	10
可复用性	ke fu yong xing	1
可复用构件	ke fu yong gou jian	6
可存取性	ke cun qu xing	7
可安装性	ke an zhuang xing	1
可实现性	ke shi xian xing	1
可屏蔽中断	ke ping bi zhong duan	10
可并堆	ke bing dui	2
可恢复性	ke hui fu xing	5
可执行程序	ke zhi xing cheng xu	11
可扩充性	ke kuo chong xing	4
可扩展语言	ke kuo zhan yu yan	6
可扩缩性	ke kuo suo xing	6
可拓展性	ke tuo zhan xing	10
可持久化	ke chi jiu hua	20
可擦	ke ca	4
可替换参数	ke ti huan can shu	8
可服务性	ke fu wu xing	1
可查询类型	ke cha xun lei xing	5
可检测性	ke jian ce xing	7
可测试性	ke ce shi xing	8
可测试性设计	ke ce shi xing she ji	2
可满足性问题	ke man zu xing wen ti	4
可理解性	ke li jie xing	6
可移植	ke yi zhi	35
可移植性	ke yi zhi xing	24
可穿戴	ke chuan dai	28
可穿戴应用	ke chuan dai ying yong	7
可穿戴计算机	ke chuan dai ji suan ji	2
可穿戴设备	ke chuan dai she bei	28
可管理性	ke guan li xing	11
可维护性	ke wei hu xing	20
可编程控制器	ke bian cheng kong zhi qi	4
可编辑	ke bian ji	16
可见性	ke jian xing	14
可见性问题	ke jian xing wen ti	10
可见点	ke jian dian	7
可观察性	ke guan cha xing	36
可视分析	ke shi fen xi	1
可视化工具	ke shi hua gong ju	5
可视化管理器	ke shi hua guan li qi	5
可视化编程	ke shi hua bian cheng	5
可视语言	ke shi yu yan	2
可计算函数	ke ji suan han shu	15
可计算性理论	ke ji suan xing li lun	3
可调度性	ke diao du xing	2
可路由协议	ke lu you xie yi	6
可达图	ke da tu	5
可达性	ke da xing	28
可选值	ke xuan zhi	2
可选参数	ke xuan can shu	5
可选工作流	ke xuan gong zuo liu	5
可选类型	ke xuan lei xing	5
可选链	ke xuan lian	8
可重入	ke chong ru	5
可重入函数	ke chong ru han shu	10
可重复性	ke chong fu xing	12
可靠性分析	ke kao xing fen xi	7
可靠性增长	ke kao xing zeng zhang	5
可靠性数据	ke kao xing shu ju	7
可靠性模型	ke kao xing mo xing	5
可靠性设计	ke kao xing she ji	1
可靠性评价	ke kao xing ping jia	6
台式计算机	tai shi ji suan ji	4
右值	you zhi	36
右值引用	you zhi yin yong	8
右匹配	you pi pei	9
右外连接	you wai lian jie	12
右滑返回	you hua fan hui	9
右线性文法	you xian xing wen fa	5
右连接	you lian jie	12
右键菜单	you jian cai dan	5
各向异性过滤	ge xiang yi xing guo lv	3
各种技术	ge zhong ji shu	33
各种排序	ge zhong pai xu	12
各种搜索	ge zhong sou suo	1
各种资料	ge zhong zi liao	46
各种错误	ge zhong cuo wu	5
各类排序算法	ge lei pai xu suan fa	6
合取范式	he qu fan shi	7
合并单元格	he bing dan yuan ge	10
合并拷贝	he bing kao bei	7
合并按钮	he bing an niu	6
合并排序	he bing pai xu	2
合并文件	he bing wen jian	4
合并流	he bing liu	10
合并边框	he bing bian kuang	7
合并链表	he bing lian biao	9
合式公式	he shi gong shi	6
合成模式	he cheng mo shi	5
合成视频	he cheng shi pin	2
合肥人才网	he fei ren cai wang	7
吉比特以太网	ji bi te yi tai wang	5
同余定理	tong yu ding li	10
同余方程	tong yu fang cheng	11
同余模定理	tong yu mo ding li	8
同时性	tong shi xing	19
同步互斥	tong bu hu chi	10
同步代码块	tong bu dai ma kuai	1
同步传输	tong bu chuan shu	3
同步函数	tong bu han shu	1
同步刷新	tong bu shua xin	9
同步原语	tong bu yuan yu	3
同步复制	tong bu fu zhi	3
同步序列	tong bu xu lie	10
同步异步	tong bu yi bu	11
同步总线	tong bu zong xian	6
同步控制	tong bu kong zhi	1
同步操作	tong bu cao zuo	4
同步方法	tong bu fang fa	14
同步时分复用	tong bu shi fen fu yong	5
同步机制	tong bu ji zhi	3
同步算法	tong bu suan fa	8
同步请求	tong bu qing qiu	13
同步通信	tong bu tong xin	4
同步锁	tong bu suo	13
同源策略	tong yuan ce lve	6
同色三角形	tong se san jiao xing	6
名字对象	ming zi dui xiang	6
名称空间	ming cheng kong jian	4
名词短语	ming ci duan yu	25
后台下载	hou tai xia zai	1
后台任务	hou tai ren wu	3
后台作业	hou tai zuo ye	10
后台分页	hou tai fen ye	7
后台定位	hou tai ding wei	9
后台开发	hou tai kai fa	1
后台执行	hou tai zhi xing	1
后台播放	hou tai bo fang	6
后台服务器	hou tai fu wu qi	1
后台框架	hou tai kuang jia	9
后台模板	hou tai mu ban	9
后台监控	hou tai jian kong	5
后台程序	hou tai cheng xu	30
后台管理	hou tai guan li	5
后台管理框架	hou tai guan li kuang jia	5
后台线程	hou tai xian cheng	2
后台语言	hou tai yu yan	10
后台进程	hou tai jin cheng	7
后向传播	hou xiang chuan bo	1
后备系统	hou bei xi tong	3
后序	hou xu	8
后序遍历	hou xu bian li	14
后援存储器	hou yuan cun chu qi	6
后端开发	hou duan kai fa	1
后端服务	hou duan fu wu	5
后端框架	hou duan kuang jia	8
后续遍历	hou xu bian li	11
后缀名	hou zhui ming	25
后缀数组	hou zhui shu zu	12
后缀树	hou zhui shu	5
后缀树组	hou zhui shu zu	6
后缀自动机	hou zhui zi dong ji	10
后缀表达式	hou zhui biao da shi	12
后进先出	hou jin xian chu	3
后验概率	hou yan gai lv	18
向上兼容	xiang shang jian rong	2
向上转型	xiang shang zhuan xing	13
向下兼容	xiang xia jian rong	38
向下转型	xiang xia zhuan xing	13
向量中断	xiang liang zhong duan	1
向量化	xiang liang hua	4
向量处理器	xiang liang chu li qi	4
向量指令	xiang liang zhi ling	9
向量数据结构	xiang liang shu ju jie gou	6
向量显示	xiang liang xian shi	6
向量空间模型	xiang liang kong jian mo xing	2
向量编码	xiang liang bian ma	6
向量量化	xiang liang liang hua	7
吞吐能力	tun tu neng li	21
启动事务	qi dong shi wu	11
启动代码	qi dong dai ma	12
启动动画	qi dong dong hua	11
启动图	qi dong tu	10
启动图片	qi dong tu pian	11
启动失败	qi dong shi bai	6
启动子程序	qi dong zi cheng xu	7
启动应用	qi dong ying yong	14
启动报错	qi dong bao cuo	11
启动文件	qi dong wen jian	13
启动方式	qi dong fang shi	5
启动时打开	qi dong shi da kai	8
启动时间	qi dong shi jian	15
启动服务	qi dong fu wu	2
启动模式	qi dong mo shi	3
启动流程	qi dong liu cheng	3
启动画面	qi dong hua mian	4
启动界面	qi dong jie mian	4
启动盘	qi dong pan	17
启动脚本	qi dong jiao ben	1
启动过程	qi dong guo cheng	13
启动错误	qi dong cuo wu	10
启动页	qi dong ye	1
启动页面	qi dong ye mian	2
启动项	qi dong xiang	4
启动顺序	qi dong shun xu	1
启发式信息	qi fa shi xin xi	6
启发式函数	qi fa shi han shu	1
启发式合并	qi fa shi he bing	10
启发式技术	qi fa shi ji shu	3
启发式搜索	qi fa shi sou suo	2
启发式方法	qi fa shi fang fa	8
启发式知识	qi fa shi zhi shi	5
启发式算法	qi fa shi suan fa	9
启发式规则	qi fa shi gui ze	8
吸血鬼数字	xi xue gui shu zi	6
吸费电话加盟	xi fei dian hua jia meng	6
员工管理系统	yuan gong guan li xi tong	8
周期性中断	zhou qi xing zhong duan	3
周期窃取	zhou qi qie qu	4
命令处理程序	ming ling chu li cheng xu	10
命令大全	ming ling da quan	10
命令接口	ming ling jie kou	10
命令提示符	ming ling ti shi fu	17
命令操作	ming ling cao zuo	2
命令模式	ming ling mo shi	2
命令窗口	ming ling chuang kou	3
命令系统	ming ling xi tong	5
命令缓冲区	ming ling huan chong qu	2
命令行参数	ming ling xing can shu	9
命令行工具	ming ling xing gong ju	24
命令行接口	ming ling xing jie kou	2
命令行操作	ming ling xing cao zuo	12
命令行界面	ming ling xing jie mian	35
命令行编译	ming ling xing bian yi	11
命令解释程序	ming ling jie shi cheng xu	10
命令详解	ming ling xiang jie	12
命令语言	ming ling yu yan	5
命令重试	ming ling chong shi	5
命名容器	ming ming rong qi	7
命名空间	ming ming kong jian	36
命名管道	ming ming guan dao	31
命名约定	ming ming yue ding	6
命名规范	ming ming gui fan	5
命题演算	ming ti yan suan	5
命题逻辑	ming ti luo ji	1
咨询系统	zi xun xi tong	3
品高云	pin gao yun	4
哈佛结构	ha fo jie gou	9
哈夫曼编码	ha fu man bian ma	2
哈密顿回路	ha mi dun hui lu	12
哈密顿路径	ha mi dun lu jing	3
哈希冲突	ha xi chong tu	10
哈希加密	ha xi jia mi	8
哈希映射	ha xi ying she	10
哈希查找	ha xi cha zhao	10
哈希算法	ha xi suan fa	5
哈弗曼编码	ha fu man bian ma	9
响应分析	xiang ying fen xi	6
响应头	xiang ying tou	2
响应式	xiang ying shi	26
响应式布局	xiang ying shi bu ju	11
响应式编程	xiang ying shi bian cheng	9
响应式设计	xiang ying shi she ji	3
响应报文	xiang ying bao wen	3
响应时间	xiang ying shi jian	28
响应窗口	xiang ying chuang kou	1
响应者链	xiang ying zhe lian	11
响应者链条	xiang ying zhe lian tiao	8
响应链	xiang ying lian	1
哥德巴赫猜想	ge de ba he cai xiang	33
唤醒等待	huan xing deng dai	1
唯一分解定理	wei yi fen jie ding li	9
唯一序列号	wei yi xu lie hao	9
唯一标识	wei yi biao zhi	12
商业智能	shang ye zhi neng	9
商务智能	shang wu zhi neng	1
商城项目	shang cheng xiang mu	8
喜欢编程	xi huan bian cheng	10
喷水装置	pen shui zhuang zhi	7
喷泉模型	pen quan mo xing	9
嗅探	xiu tan	18
嗅探器	xiu tan qi	2
噪声容限	zao sheng rong xian	1
噪声抑制	zao sheng yi zhi	9
噪音抑制	zao yin yi zhi	7
四元组	si yuan zu	4
四叉树	si cha shu	1
四大组件	si da zu jian	13
四旋翼飞行器	si xuan yi fei xing qi	2
四次握手	si ci wo shou	2
四种启动模式	si zhong qi dong mo shi	11
四轴飞行器	si zhou fei xing qi	11
四边形不等式	si bian xing bu deng shi	10
回发	hui fa	11
回叫	hui jiao	9
回弹	hui tan	37
回归分析	hui gui fen xi	20
回归树	hui gui shu	3
回归测试	hui gui ce shi	9
回扫时间	hui sao shi jian	6
回拨	hui bo	38
回收程序	hui shou cheng xu	8
回文串	hui wen chuan	13
回文判断	hui wen pan duan	8
回文子串	hui wen zi chuan	11
回文字符串	hui wen zi fu chuan	11
回文数	hui wen shu	12
回文树	hui wen shu	8
回文自动机	hui wen zi dong ji	7
回朔法	hui shuo fa	7
回溯法	hui su fa	1
回溯算法	hui su suan fa	2
回滚	hui gun	28
回滚事务	hui gun shi wu	13
回答模式	hui da mo shi	1
回调函数	hui tiao han shu	32
回调接口	hui tiao jie kou	1
回调方法	hui tiao fang fa	15
回调机制	hui tiao ji zhi	12
回调模式	hui tiao mo shi	1
回车换行	hui che huan xing	2
回车符	hui che fu	3
回退栈	hui tui zhan	11
回音消除	hui yin xiao chu	5
因子分析	yin zi fen xi	7
因子分解	yin zi fen jie	3
因子分解法	yin zi fen jie fa	5
因式分解	yin shi fen jie	36
因果性	yin guo xing	17
因果推理	yin guo tui li	2
因果逻辑	yin guo luo ji	6
因特网协会	yin te wang xie hui	5
因特网工程	yin te wang gong cheng	6
因特网电话	yin te wang dian hua	6
团队协作	tuan dui xie zuo	24
团队协作工具	tuan dui xie zuo gong ju	8
团队建设	tuan dui jian she	14
团队管理	tuan dui guan li	8
园区网	yuan qu wang	7
固件库	gu jian ku	10
固定字长	gu ding zi chang	6
固定存储器	gu ding cun chu qi	6
固定宽度	gu ding kuan du	1
固态存储	gu tai cun chu	5
固态存储器	gu tai cun chu qi	6
固态盘	gu tai pan	2
固有特征	gu you te zheng	4
图书管理系统	tu shu guan li xi tong	1
图书馆客户端	tu shu guan ke hu duan	5
图优化	tu you hua	8
图像代码	tu xiang dai ma	7
图像元	tu xiang yuan	8
图像几何学	tu xiang ji he xue	5
图像函数	tu xiang han shu	1
图像分割	tu xiang fen ge	9
图像分类	tu xiang fen lei	2
图像匹配	tu xiang pi pei	3
图像压缩	tu xiang ya suo	14
图像去噪	tu xiang qu zao	1
图像去雾	tu xiang qu wu	7
图像变换	tu xiang bian huan	2
图像合成	tu xiang he cheng	1
图像图像	tu xiang tu xiang	8
图像增强	tu xiang zeng qiang	4
图像处理算法	tu xiang chu li suan fa	1
图像复原	tu xiang fu yuan	8
图像局部特征	tu xiang ju bu te zheng	8
图像平滑	tu xiang ping hua	9
图像平面	tu xiang ping mian	3
图像序列	tu xiang xu lie	18
图像拼接	tu xiang pin jie	1
图像搜索	tu xiang sou suo	2
图像旋转	tu xiang xuan zhuan	10
图像显示	tu xiang xian shi	43
图像梯度	tu xiang ti du	10
图像检索	tu xiang jian suo	11
图像滤波	tu xiang lv bo	1
图像滤镜	tu xiang lv jing	9
图像特征	tu xiang te zheng	4
图像特征提取	tu xiang te zheng ti qu	10
图像特效	tu xiang te xiao	9
图像理解	tu xiang li jie	2
图像直方图	tu xiang zhi fang tu	10
图像空间	tu xiang kong jian	2
图像算法	tu xiang suan fa	2
图像编码	tu xiang bian ma	4
图像编解码器	tu xiang bian jie ma qi	4
图像缩放	tu xiang suo fang	6
图像融合	tu xiang rong he	9
图像裁剪	tu xiang cai jian	9
图像识别	tu xiang shi bie	20
图像识别算法	tu xiang shi bie suan fa	7
图像质量评价	tu xiang zhi liang ping jia	8
图像配准	tu xiang pei zhun	8
图像重建	tu xiang chong jian	2
图像金字塔	tu xiang jin zi ta	11
图像锐化	tu xiang rui hua	9
图元属性	tu yuan shu xing	5
图同构	tu tong gou	40
图型结构	tu xing jie gou	6
图层路径	tu ceng lu jing	6
图形上下文	tu xing shang xia wen	12
图形保真	tu xing bao zhen	2
图形包	tu xing bao	8
图形化界面	tu xing hua jie mian	3
图形图像	tu xing tu xiang	1
图形图像处理	tu xing tu xiang chu li	2
图形图表	tu xing tu biao	7
图形处理	tu xing chu li	22
图形失真	tu xing shi zhen	5
图形字符	tu xing zi fu	1
图形学	tu xing xue	18
图形学原理	tu xing xue yuan li	4
图形学基础	tu xing xue ji chu	6
图形工作站	tu xing gong zuo zhan	2
图形库	tu xing ku	10
图形开发	tu xing kai fa	1
图形引擎	tu xing yin qing	12
图形打印	tu xing da yin	1
图形技术	tu xing ji shu	8
图形数据库	tu xing shu ju ku	2
图形渲染	tu xing xuan ran	2
图形用户接口	tu xing yong hu jie kou	10
图形界面	tu xing jie mian	30
图形符号	tu xing fu hao	10
图形算法	tu xing suan fa	2
图形系统	tu xing xi tong	6
图形结构	tu xing jie gou	5
图形绘制	tu xing hui zhi	6
图形编程	tu xing bian cheng	4
图形芯片	tu xing xin pian	1
图形设备	tu xing she bei	1
图形设备界面	tu xing she bei jie mian	6
图形识别	tu xing shi bie	7
图形语言	tu xing yu yan	2
图形输入板	tu xing shu ru ban	6
图形适配器	tu xing shi pei qi	1
图搜索	tu sou suo	1
图数据库	tu shu ju ku	13
图文教程	tu wen jiao cheng	3
图文混排	tu wen hun pai	11
图文电视	tu wen dian shi	6
图标字体	tu biao zi ti	10
图标类型	tu biao lei xing	8
图标设计	tu biao she ji	9
图标集中	tu biao ji zhong	6
图案叠加	tu an die jia	5
图灵完备	tu ling wan bei	21
图灵机器人	tu ling ji qi ren	9
图片上传	tu pian shang chuan	3
图片下载	tu pian xia zai	6
图片优化	tu pian you hua	10
图片切换	tu pian qie huan	11
图片剪切	tu pian jian qie	9
图片剪裁	tu pian jian cai	9
图片加载	tu pian jia zai	14
图片加载框架	tu pian jia zai kuang jia	11
图片压缩	tu pian ya suo	12
图片合成	tu pian he cheng	1
图片圆角	tu pian yuan jiao	10
图片处理	tu pian chu li	3
图片展示	tu pian zhan shi	4
图片异步加载	tu pian yi bu jia zai	11
图片拉伸	tu pian la shen	11
图片搜索	tu pian sou suo	8
图片放大	tu pian fang da	1
图片旋转	tu pian xuan zhuan	11
图片显示	tu pian xian shi	34
图片服务器	tu pian fu wu qi	4
图片查看器	tu pian cha kan qi	1
图片格式	tu pian ge shi	3
图片框架	tu pian kuang jia	8
图片水印	tu pian shui yin	11
图片浏览	tu pian liu lan	1
图片浏览器	tu pian liu lan qi	11
图片滚动	tu pian gun dong	10
图片特效	tu pian te xiao	9
图片管理	tu pian guan li	1
图片缓存	tu pian huan cun	14
图片编辑	tu pian bian ji	9
图片缩放	tu pian suo fang	12
图片自适应	tu pian zi shi ying	9
图片裁剪	tu pian cai jian	11
图片识别	tu pian shi bie	1
图片资源	tu pian zi yuan	2
图片转换	tu pian zhuan huan	12
图片轮播	tu pian lun bo	11
图片轮播器	tu pian lun bo qi	10
图片适配	tu pian shi pei	9
图片选择	tu pian xuan ze	1
图片选择器	tu pian xuan ze qi	10
图片预览	tu pian yu lan	1
图片验证码	tu pian yan zheng ma	10
图的存储	tu de cun chu	10
图的遍历	tu de bian li	1
图符	tu fu	12
图算法	tu suan fa	4
图结构	tu jie gou	7
图表库	tu biao ku	11
图论知识	tu lun zhi shi	7
图论算法	tu lun suan fa	2
图语法	tu yu fa	4
图象处理	tu xiang chu li	3
图遍历	tu bian li	9
圆弧插补	yuan hu cha bu	5
圆形头像	yuan xing tou xiang	2
圆形菜单	yuan xing cai dan	10
圆形进度条	yuan xing jin du tiao	11
圆角图片	yuan jiao tu pian	11
圆角矩形	yuan jiao ju xing	12
圆角边框	yuan jiao bian kuang	10
土地网	tu di wang	4
在线升级	zai xian sheng ji	4
在线学习	zai xian xue xi	25
在线客服	zai xian ke fu	42
在线帮助	zai xian bang zhu	12
在线开发	zai xian kai fa	9
在线支付	zai xian zhi fu	9
在线更新	zai xian geng xin	7
在线杀毒	zai xian sha du	5
在线游戏开发	zai xian you xi kai fa	8
在线笔试	zai xian bi shi	2
在线算法	zai xian suan fa	2
在线编程	zai xian bian cheng	2
在线编辑器	zai xian bian ji qi	11
在线表格	zai xian biao ge	1
在线预览	zai xian yu lan	4
地图代码	di tu dai ma	6
地图切片	di tu qie pian	7
地图制图	di tu zhi tu	4
地图定位	di tu ding wei	11
地图工具	di tu gong ju	1
地图应用	di tu ying yong	8
地图开发	di tu kai fa	1
地图投影	di tu tou ying	11
地址传递	di zhi chuan di	12
地址变换	di zhi bian huan	10
地址字段	di zhi zi duan	1
地址寄存器	di zhi ji cun qi	11
地址总线	di zhi zong xian	4
地址掩码	di zhi yan ma	9
地址映射	di zhi ying she	4
地址栏	di zhi lan	16
地址栏搜索	di zhi lan sou suo	1
地址格式	di zhi ge shi	1
地址管理	di zhi guan li	9
地址解析	di zhi jie xi	1
地址解析协议	di zhi jie xi xie yi	2
地址译码器	di zhi yi ma qi	7
地理信息系统	di li xin xi xi tong	47
地理处理服务	di li chu li fu wu	7
地理定位	di li ding wei	6
地理编码	di li bian ma	2
地统计	di tong ji	9
地网	di wang	5
场景切换	chang jing qie huan	7
场频	chang pin	8
均值滤波	jun zhi lv bo	4
均衡化	jun heng hua	1
均衡器	jun heng qi	9
坐标变换	zuo biao bian huan	3
坐标系统	zuo biao xi tong	48
坐标系转换	zuo biao xi zhuan huan	10
坐标转换	zuo biao zhuan huan	7
坐标轴	zuo biao zhou	27
块元素	kuai yuan su	2
块密码	kuai mi ma	18
块状元素	kuai zhuang yuan su	11
块状树	kuai zhuang shu	6
块状链表	kuai zhuang lian biao	8
块级作用域	kuai ji zuo yong yu	11
块级元素	kuai ji yuan su	13
块结构语言	kuai jie gou yu yan	6
块设备	kuai she bei	17
坦克大战	tan ke da zhan	13
垂直分片	chui zhi fen pian	6
垂直刻度	chui zhi ke du	1
垂直居中	chui zhi ju zhong	13
垂直扫描频率	chui zhi sao miao pin lv	6
垂直翻转	chui zhi fan zhuan	3
垃圾回收	la ji hui shou	41
垃圾回收器	la ji hui shou qi	2
垃圾回收机制	la ji hui shou ji zhi	6
垃圾回收算法	la ji hui shou suan fa	12
垃圾收集	la ji shou ji	43
垃圾收集器	la ji shou ji qi	3
垃圾收集算法	la ji shou ji suan fa	11
垃圾清理	la ji qing li	23
埃及分数	ai ji fen shu	4
域分解	yu fen jie	6
域名控制器	yu ming kong zhi qi	2
域名服务	yu ming fu wu	7
域名服务器	yu ming fu wu qi	7
域名系统	yu ming xi tong	38
域名解析	yu ming jie xi	13
培训材料	pei xun cai liao	8
培训记录	pei xun ji lu	2
基于主体	ji yu zhu ti	5
基于实例	ji yu shi li	1
基于构件	ji yu gou jian	2
基于特征	ji yu te zheng	3
基于知识	ji yu zhi shi	8
基于规则	ji yu gui ze	5
基于角色授权	ji yu jue se shou quan	5
基于解释	ji yu jie shi	1
基准测试	ji zhun ce shi	45
基准程序	ji zhun cheng xu	8
基准线	ji zhun xian	13
基函数	ji han shu	30
基因数据处理	ji yin shu ju chu li	5
基址寄存器	ji zhi ji cun qi	11
基尔霍夫矩阵	ji er huo fu ju zhen	7
基带传输	ji dai chuan shu	1
基数排序	ji shu pai xu	1
基本介绍	ji ben jie shao	13
基本优先级	ji ben you xian ji	7
基本命令	ji ben ming ling	3
基本属性	ji ben shu xing	9
基本平台	ji ben ping tai	1
基本技能	ji ben ji neng	8
基本排序算法	ji ben pai xu suan fa	8
基本控件	ji ben kong jian	10
基本操作	ji ben cao zuo	22
基本数据类型	ji ben shu ju lei xing	4
基本数据结构	ji ben shu ju jie gou	12
基本方法	ji ben fang fa	21
基本框架	ji ben kuang jia	16
基本知识	ji ben zhi shi	34
基本类型	ji ben lei xing	18
基本组件	ji ben zu jian	4
基本词	ji ben ci	5
基本语法	ji ben yu fa	1
基本输入输出	ji ben shu ru shu chu	1
基本运算	ji ben yun suan	5
基本运算符	ji ben yun suan fu	9
基本配置	ji ben pei zhi	15
基本集	ji ben ji	10
基础代码	ji chu dai ma	6
基础函数	ji chu han shu	10
基础功能	ji chu gong neng	13
基础动画	ji chu dong hua	10
基础原理	ji chu yuan li	1
基础命令	ji chu ming ling	10
基础备份	ji chu bei fen	7
基础夯实	ji chu hang shi	6
基础工具	ji chu gong ju	4
基础应用	ji chu ying yong	1
基础操作	ji chu cao zuo	4
基础数据类型	ji chu shu ju lei xing	2
基础数据结构	ji chu shu ju jie gou	11
基础架构	ji chu jia gou	40
基础概念	ji chu gai nian	12
基础算法	ji chu suan fa	1
基础类	ji chu lei	12
基础类库	ji chu lei ku	11
基础网	ji chu wang	6
基础设置	ji chu she zhi	3
基础语法	ji chu yu fa	4
基础语言	ji chu yu yan	3
基础软件	ji chu ruan jian	6
基础部件	ji chu bu jian	4
基础部分	ji chu bu fen	15
基站定位	ji zhan ding wei	1
基类	ji lei	42
堆优化	dui you hua	1
堆内存	dui nei cun	2
堆区	dui qu	14
堆和栈	dui he zhan	13
堆排	dui pai	10
堆排序	dui pai xu	1
堆栈布局	dui zhan bu ju	7
堡垒主机	bao lei zhu ji	6
堡垒机	bao lei ji	8
填充区	tian chong qu	9
填充矩形	tian chong ju xing	10
填充空白	tian chong kong bai	9
增删改	zeng shan gai	3
增删改查	zeng shan gai cha	3
增删查改	zeng shan cha gai	7
增加字段	zeng jia zi duan	12
增加节点	zeng jia jie dian	11
增强学习	zeng qiang xue xi	1
增量升级	zeng liang sheng ji	2
增量压缩	zeng liang ya suo	6
增量备份	zeng liang bei fen	4
增量学习	zeng liang xue xi	8
增量更新	zeng liang geng xin	1
增量编译	zeng liang bian yi	1
增量转储	zeng liang zhuan chu	5
声卡驱动	sheng ka qu dong	8
声学模型	sheng xue mo xing	3
声明周期	sheng ming zhou qi	13
声明式事务	sheng ming shi shi wu	12
声明式编程	sheng ming shi bian cheng	2
声波传输	sheng bo chuan shu	6
声波通信	sheng bo tong xin	1
声波通讯	sheng bo tong xun	6
声纹识别	sheng wen shi bie	1
声讯吸费电话	sheng xun xi fei dian hua	7
声讯电话平台	sheng xun dian hua ping tai	6
声音合成	sheng yin he cheng	13
声音识别	sheng yin shi bie	3
声音输入设备	sheng yin shu ru she bei	6
声音输出设备	sheng yin shu chu she bei	6
