# 青简领域词库：IT 与计算机，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
个性化推荐	ge xing hua tui jian	2
个性化设置	ge xing hua she zhi	11
中介者	zhong jie zhe	21
中介者模式	zhong jie zhe mo shi	9
中值滤波	zhong zhi lv bo	1
中值滤波器	zhong zhi lv bo qi	7
中兴阅读	zhong xing yue du	5
中划线	zhong hua xian	11
中国剩余定理	zhong guo sheng yu ding li	2
中国菜刀下载	zhong guo cai dao xia zai	6
中型计算机	zhong xing ji suan ji	8
中央处理单元	zhong yang chu li dan yuan	4
中央处理机	zhong yang chu li ji	7
中序	zhong xu	13
中序遍历	zhong xu bian li	1
中心机构	zhong xin ji gou	8
中心极限定理	zhong xin ji xian ding li	15
中心矩	zhong xin ju	11
中心词	zhong xin ci	23
中文乱码	zhong wen luan ma	14
中文信息	zhong wen xin xi	5
中文分词	zhong wen fen ci	12
中文参数	zhong wen can shu	11
中文字体	zhong wen zi ti	21
中文字符	zhong wen zi fu	2
中文平台	zhong wen ping tai	4
中文手册	zhong wen shou ce	11
中文排序	zhong wen pai xu	8
中文操作系统	zhong wen cao zuo xi tong	10
中文支持	zhong wen zhi chi	4
中文教程	zhong wen jiao cheng	1
中文文档	zhong wen wen dang	5
中文显示	zhong wen xian shi	5
中文编码	zhong wen bian ma	13
中文语料库	zhong wen yu liao ku	6
中文路径	zhong wen lu jing	11
中文输入	zhong wen shu ru	3
中文输入法	zhong wen shu ru fa	26
中断上下文	zhong duan shang xia wen	12
中断事件	zhong duan shi jian	1
中断优先级	zhong duan you xian ji	11
中断向量	zhong duan xiang liang	11
中断向量表	zhong duan xiang liang biao	2
中断处理	zhong duan chu li	8
中断子系统	zhong duan zi xi tong	8
中断寄存器	zhong duan ji cun qi	9
中断屏蔽	zhong duan ping bi	11
中断机制	zhong duan ji zhi	11
中断流程	zhong duan liu cheng	8
中断请求	zhong duan qing qiu	1
中断队列	zhong duan dui lie	7
中断阻塞	zhong duan zu se	9
中断驱动	zhong duan qu dong	1
中期调度	zhong qi diao du	5
中级技术	zhong ji ji shu	4
中级数据结构	zhong ji shu ju jie gou	4
中缀	zhong zhui	39
中缀表达式	zhong zhui biao da shi	11
中缀转后缀	zhong zhui zhuan hou zhui	8
中途相遇法	zhong tu xiang yu fa	7
中间人攻击	zhong jian ren gong ji	29
中间代码	zhong jian dai ma	12
中间件	zhong jian jian	27
中间结点	zhong jian jie dian	11
中间设备	zhong jian she bei	1
中间语言	zhong jian yu yan	8
串匹配	chuan pi pei	4
串口	chuan kou	9
串口硬盘	chuan kou ying pan	8
串口编程	chuan kou bian cheng	10
串口调试	chuan kou tiao shi	10
串口通信	chuan kou tong xin	2
串口通讯	chuan kou tong xun	11
串处理	chuan chu li	1
串并	chuan bing	10
串并转换器	chuan bing zhuan huan qi	4
串扰	chuan rao	11
串联匹配	chuan lian pi pei	6
串行任务	chuan xing ren wu	7
串行传输	chuan xing chuan shu	9
串行加法器	chuan xing jia fa qi	5
串行化	chuan xing hua	9
串行排序	chuan xing pai xu	8
串行端口	chuan xing duan kou	6
串行计算机	chuan xing ji suan ji	1
串行调度	chuan xing diao du	8
串行通信	chuan xing tong xin	13
串行队列	chuan xing dui lie	12
临时对象	lin shi dui xiang	10
临时文件	lin shi wen jian	11
临时表空间	lin shi biao kong jian	12
临界区	lin jie qu	42
临界控制	lin jie kong zhi	5
临界资源	lin jie zi yuan	1
主从切换	zhu cong qie huan	10
主从同步	zhu cong tong bu	12
主从复制	zhu cong fu zhi	1
主从配置	zhu cong pei zhi	10
主体技术	zhu ti ji shu	5
主元素	zhu yuan su	1
主函数	zhu han shu	14
主副本	zhu fu ben	8
主功能函数	zhu gong neng han shu	5
主动动词	zhu dong dong ci	6
主动查询	zhu dong cha xun	1
主动视觉	zhu dong shi jue	6
主动防御	zhu dong fang yu	9
主存	zhu cun	20
主存数据库	zhu cun shu ju ku	5
主密钥	zhu mi yue	5
主属性	zhu shu xing	5
主席树	zhu xi shu	12
主成分分析	zhu cheng fen fen xi	28
主控台	zhu kong tai	3
主数据	zhu shu ju	12
主文件	zhu wen jian	4
主方法	zhu fang fa	13
主时钟	zhu shi zhong	2
主机名	zhu ji ming	17
主机密钥	zhu ji mi yue	8
主机操作系统	zhu ji cao zuo xi tong	6
主段	zhu duan	2
主流处理器	zhu liu chu li qi	1
主流框架	zhu liu kuang jia	11
主目录	zhu mu lu	3
主线程	zhu xian cheng	1
主语言	zhu yu yan	3
主键生成策略	zhu jian sheng cheng ce lve	11
主键策略	zhu jian ce lve	8
主题切换	zhu ti qie huan	9
主题模型	zhu ti mo xing	1
之字形	zhi zi xing	13
乐器数字接口	yue qi shu zi jie kou	7
乐观锁	le guan suo	13
乒乓模式	ping pang mo shi	5
乘商寄存器	cheng shang ji cun qi	5
乘方运算	cheng fang yun suan	1
乘法口诀表	cheng fa kou jue biao	3
乘法器	cheng fa qi	14
乘法表	cheng fa biao	9
乘法逆元	cheng fa ni yuan	1
乘积最大	cheng ji zui da	11
九九乘法表	jiu jiu cheng fa biao	7
九大内置对象	jiu da nei zhi dui xiang	9
九章算术	jiu zhang suan shu	17
九章算法	jiu zhang suan fa	1
书写方向	shu xie fang xiang	11
书店系统	shu dian xi tong	1
书籍推荐	shu ji tui jian	9
乱码解决	luan ma jie jue	10
乱码问题	luan ma wen ti	1
争用	zheng yong	7
争用条件	zheng yong tiao jian	8
事件代理	shi jian dai li	10
事件传递	shi jian chuan di	1
事件传递机制	shi jian chuan di ji zhi	10
事件冒泡	shi jian mao pao	12
事件冲突	shi jian chong tu	10
事件分发	shi jian fen fa	13
事件分发机制	shi jian fen fa ji zhi	11
事件响应	shi jian xiang ying	12
事件处理机制	shi jian chu li ji zhi	12
事件委托	shi jian wei tuo	11
事件对象	shi jian dui xiang	5
事件引擎	shi jian yin qing	7
事件循环	shi jian xun huan	7
事件总线	shi jian zong xian	2
事件报告	shi jian bao gao	18
事件拦截	shi jian lan jie	11
事件捕获	shi jian bu huo	11
事件控制	shi jian kong zhi	10
事件控制块	shi jian kong zhi kuai	7
事件描述	shi jian miao shu	5
事件方式	shi jian fang shi	9
事件机制	shi jian ji zhi	1
事件查询	shi jian cha xun	1
事件模型	shi jian mo xing	12
事件流	shi jian liu	12
事件源	shi jian yuan	13
事件监听	shi jian jian ting	14
事件监听器	shi jian jian ting qi	2
事件系统	shi jian xi tong	10
事件绑定	shi jian bang ding	1
事件表	shi jian biao	4
事件触发	shi jian chu fa	13
事件转移	shi jian zhuan yi	6
事件过滤器	shi jian guo lv qi	1
事件队列	shi jian dui lie	2
