# 青简领域词库：成语，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
养痈成患	yang yong cheng huan	8
养痈遗患	yang yong yi huan	9
养老送终	yang lao song zhong	23
养虎为患	yang hu wei huan	22
兼听则明	jian ting ze ming	14
兼善天下	jian shan tian xia	2
兼容并蓄	jian rong bing xu	20
兼济天下	jian ji tian xia	9
内圣外王	nei sheng wai wang	4
再造之恩	zai zao zhi en	2
冒天下之大不韪	mao tian xia zhi da bu wei	3
军容风纪	jun rong feng ji	6
冤家对头	yuan jia dui tou	8
冤有头债有主	yuan you tou zhai you zhu	22
冯唐易老	feng tang yi lao	7
冰冻三尺	bing dong san chi	9
冰冻三尺非一日之寒	bing dong san chi fei yi ri zhi han	11
冰雪严寒	bing xue yan han	2
冲冠一怒为红颜	chong guan yi nu wei hong yan	6
冲口而出	chong kou er chu	5
决一胜负	jue yi sheng fu	14
决胜于千里之外	jue sheng yu qian li zhi wai	1
决胜千里	jue sheng qian li	7
冷水浇头	leng shui jiao tou	1
冷眼相待	leng yan xiang dai	6
冷若冰霜	leng ruo bing shuang	19
凄风冷雨	qi feng leng yu	14
凌云之志	ling yun zhi zhi	6
凌云壮志	ling yun zhuang zhi	1
凤冠霞帔	feng guan xia pei	13
凤凰于飞	feng huang yu fei	2
凤凰来仪	feng huang lai yi	1
凭空捏造	ping kong nie zao	19
凭空臆造	ping kong yi zao	1
出乎意外	chu hu yi wai	12
出乎预料	chu hu yu liao	17
出于意外	chu yu yi wai	4
出于无奈	chu yu wu nai	13
出人意外	chu ren yi wai	6
出人意表	chu ren yi biao	24
出入人罪	chu ru ren zui	6
出头之日	chu tou zhi ri	2
出头的椽子先烂	chu tou de chuan zi xian lan	6
出师不利	chu shi bu li	22
出师无名	chu shi wu ming	3
出师有名	chu shi you ming	3
出敌不意	chu di bu yi	5
出水芙蓉	chu shui fu rong	35
出污泥而不染	chu wu ni er bu ran	16
出没无常	chu mo wu chang	2
击中要害	ji zhong yao hai	13
击楫中流	ji ji zhong liu	8
凿壁偷光	zao bi tou guang	16
刀下留人	dao xia liu ren	20
刀光血影	dao guang xue ying	6
刀枪入库	dao qiang ru ku	8
刀枪剑戟	dao qiang jian ji	3
分内之事	fen nei zhi shi	13
分化瓦解	fen hua wa jie	12
分外妖娆	fen wai yao rao	8
分家析产	fen jia xi chan	8
分文不值	fen wen bu zhi	5
分文不取	fen wen bu qu	10
分文未取	fen wen wei qu	5
分毫不差	fen hao bu cha	12
分身无术	fen shen wu shu	8
分进合击	fen jin he ji	11
切中时弊	qie zhong shi bi	6
切中要害	qie zhong yao hai	15
切磋琢磨	qie cuo zhuo mo	5
切齿痛恨	qie chi tong hen	5
创业维艰	chuang ye wei jian	8
创巨痛深	chuang ju tong shen	6
初生牛犊不怕虎	chu sheng niu du bu pa hu	22
初试啼声	chu shi ti sheng	29
初试锋芒	chu shi feng mang	7
判若云泥	pan ruo yun ni	3
判若霄壤	pan ruo xiao rang	1
刨根究底	pao gen jiu di	4
利害得失	li hai de shi	4
利害攸关	li hai you guan	1
利害相关	li hai xiang guan	3
利益均沾	li yi jun zhan	2
别出新意	bie chu xin yi	2
别无他物	bie wu ta wu	6
别有滋味	bie you zi wei	10
刺刀见红	ci dao jian hong	4
刻画入微	ke hua ru wei	6
刻苦耐劳	ke ku nai lao	7
刻骨仇恨	ke gu chou hen	3
削职为民	xue zhi wei min	14
前不着村后不着店	qian bu zhao cun hou bu zhao dian	23
前事不忘	qian shi bu wang	4
前事不忘后事之师	qian shi bu wang hou shi zhi shi	3
前人栽树	qian ren zai shu	6
前人栽树后人乘凉	qian ren zai shu hou ren cheng liang	8
前人种树后人乘凉	qian ren zhong shu hou ren cheng liang	1
前堵后追	qian du hou zhui	2
前怕狼后怕虎	qian pa lang hou pa hu	9
前无古人后无来者	qian wu gu ren hou wu lai zhe	31
前程万里	qian cheng wan li	2
前车可鉴	qian che ke jian	1
剑及履及	jian ji lv ji	2
剑胆琴心	jian dan qin xin	5
剥茧抽丝	bo jian chou si	8
割据一方	ge ju yi fang	15
劈风斩浪	pi feng zhan lang	6
力不能及	li bu neng ji	5
力不能支	li bu neng zhi	5
力所不及	li suo bu ji	6
力所不逮	li suo bu dai	7
力有未逮	li you wei dai	5
力透纸背	li tou zhi bei	6
功到自然成	gong dao zi ran cheng	6
功名利禄	gong ming li lu	15
功名富贵	gong ming fu gui	2
功夫之王	gong fu zhi wang	14
功臣自居	gong chen zi ju	7
功高震主	gong gao zhen zhu	4
加官进爵	jia guan jin jue	13
动之以情	dong zhi yi qing	26
动荡不定	dong dang bu ding	1
势单力孤	shi dan li gu	8
势如水火	shi ru shui huo	4
勃然变色	bo ran bian se	1
勇者不惧	yong zhe bu ju	5
勒索敲诈	le suo qiao zha	2
勤学好问	qin xue hao wen	12
勤能补拙	qin neng bu zhuo	38
勿以善小而不为	wu yi shan xiao er bu wei	25
勿以恶小而为之	wu yi e xiao er wei zhi	21
勿谓言之不预也	wu wei yan zhi bu yu ye	2
包办代替	bao ban dai ti	1
包罗万有	bao luo wan you	3
包藏祸心	bao cang huo xin	3
化敌为友	hua di wei you	26
化腐朽为神奇	hua fu xiu wei shen qi	31
化零为整	hua ling wei zheng	3
北门锁钥	bei men suo yue	6
匠心独具	jiang xin du ju	5
匹夫无罪	pi fu wu zui	1
匹夫有责	pi fu you ze	24
区区小事	qu qu xiao shi	3
十二万分	shi er wan fen	14
十二金钗	shi er jin chai	4
十八般兵器	shi ba ban bing qi	4
十字街口	shi zi jie kou	3
十年树木	shi nian shu mu	7
十年树木百年树人	shi nian shu mu bai nian shu ren	5
十年生聚	shi nian sheng ju	2
十有八九	shi you ba jiu	5
十目所视	shi mu suo shi	6
十里洋场	shi li yang chang	8
千人一面	qian ren yi mian	6
千依百顺	qian yi bai shun	5
千古不朽	qian gu bu xiu	6
千古绝唱	qian gu jue chang	5
千古罪人	qian gu zui ren	6
千叮万嘱	qian ding wan zhu	7
千回百转	qian hui bai zhuan	25
千姿万态	qian zi wan tai	6
千峰万壑	qian feng wan he	6
千年万载	qian nian wan zai	1
千斤重担	qian jin zhong dan	9
千沟万壑	qian gou wan he	3
千秋万世	qian qiu wan shi	5
千里之堤	qian li zhi di	10
千里之堤毁于蚁穴	qian li zhi di hui yu yi xue	8
千里之堤溃于蚁穴	qian li zhi di kui yu yi xue	8
千里之行	qian li zhi xing	11
千里之行始于足下	qian li zhi xing shi yu zu xia	9
千里姻缘一线牵	qian li yin yuan yi xian qian	13
千里送鹅毛	qian li song e mao	9
千金一诺	qian jin yi nuo	2
千金不换	qian jin bu huan	3
千门万户	qian men wan hu	7
千难万苦	qian nan wan ku	6
千难万难	qian nan wan nan	4
半丝半缕	ban si ban lv	1
半壁江山	ban bi jiang shan	9
半壁河山	ban bi he shan	6
半懂不懂	ban dong bu dong	8
半文半白	ban wen ban bai	4
半斤对八两	ban jin dui ba liang	7
半新半旧	ban xin ban jiu	6
半生半熟	ban sheng ban shu	4
半真半假	ban zhen ban jia	25
半部论语治天下	ban bu lun yu zhi tian xia	2
半饥半饱	ban ji ban bao	1
协力同心	xie li tong xin	2
卑之无甚高论	bei zhi wu shen gao lun	6
卑鄙无耻	bei bi wu chi	7
卑鄙龌龊	bei bi wo chuo	1
卓然不群	zhuo ran bu qun	6
单丝不成线	dan si bu cheng xian	7
单人匹马	dan ren pi ma	10
单刀赴会	dan dao fu hui	13
卖儿卖女	mai er mai nv	6
卖弄风骚	mai nong feng sao	2
卖文为生	mai wen wei sheng	3
南征北讨	nan zheng bei tao	4
南橘北枳	nan ju bei zhi	4
南船北马	nan chuan bei ma	1
南郭先生	nan guo xian sheng	2
博学多闻	bo xue duo wen	29
博拉尔德	bo la er de	1
博采众议	bo cai zhong yi	6
博闻强识	bo wen qiang zhi	9
危急存亡	wei ji cun wang	4
危急存亡之秋	wei ji cun wang zhi qiu	8
即兴之作	ji xing zhi zuo	2
历久弥坚	li jiu mi jian	2
历历可数	li li ke shu	1
历历可见	li li ke jian	1
历尽沧桑	li jin cang sang	15
厉行节约	li xing jie yue	10
厚今薄古	hou jin bo gu	3
厚德载物	hou de zai wu	29
原封未动	yuan feng wei dong	1
去头去尾	qu tou qu wei	7
参差不一	cen ci bu yi	1
参差错落	cen ci cuo luo	1
又见一帘幽梦	you jian yi lian you meng	13
双管猎枪	shuang guan lie qiang	4
反哺之情	fan bu zhi qing	6
反复推敲	fan fu tui qiao	12
反躬自省	fan gong zi xing	3
反骄破满	fan jiao po man	6
取义成仁	qu yi cheng ren	2
取之不尽	qu zhi bu jin	16
取之不尽用之不竭	qu zhi bu jin yong zhi bu jie	6
取之不竭	qu zhi bu jie	3
取信于人	qu xin yu ren	7
取其精华去其糟粕	qu qi jing hua qu qi zao po	8
取精用宏	qu jing yong hong	1
受制于人	shou zhi yu ren	11
变动不居	bian dong bu ju	9
变化无穷	bian hua wu qiong	7
变化莫测	bian hua mo ce	34
变幻无常	bian huan wu chang	25
变幻无穷	bian huan wu qiong	6
口不择言	kou bu ze yan	45
口出不逊	kou chu bu xun	6
口口相传	kou kou xiang chuan	34
口含天宪	kou han tian xian	6
口惠而实不至	kou hui er shi bu zhi	10
口齿伶俐	kou chi ling li	23
古今中外	gu jin zhong wai	44
古圣先贤	gu sheng xian xian	5
古木参天	gu mu can tian	9
古稀之年	gu xi zhi nian	12
另眼相待	ling yan xiang dai	3
另请高明	ling qing gao ming	19
另谋高就	ling mou gao jiu	14
叨陪末座	tao pei mo zuo	6
只欠东风	zhi qian dong feng	14
只此一家	zhi ci yi jia	17
只此一家别无分店	zhi ci yi jia bie wu fen dian	6
只知其一不知其二	zhi zhi qi yi bu zhi qi er	2
只见树木	zhi jian shu mu	1
只见树木不见森林	zhi jian shu mu bu jian sen lin	8
只许州官放火	zhi xu zhou guan fang huo	33
可乘之隙	ke cheng zhi xi	6
可望不可即	ke wang bu ke ji	17
史不绝书	shi bu jue shu	2
号啕大哭	hao tao da ku	13
司马昭之心路人皆知	si ma zhao zhi xin lu ren jie zhi	7
吃不了兜着走	chi bu liao dou zhe zou	28
吃穿用度	chi chuan yong du	11
吃软不吃硬	chi ruan bu chi ying	23
各不相让	ge bu xiang rang	3
各为其主	ge wei qi zhu	11
各人自扫门前雪	ge ren zi sao men qian xue	2
各取所长	ge qu suo chang	1
各执己见	ge zhi ji jian	8
各显其能	ge xian qi neng	1
各有所短	ge you suo duan	1
各色人等	ge se ren deng	7
各色各样	ge se ge yang	6
吉凶未卜	ji xiong wei bu	1
吉凶祸福	ji xiong huo fu	8
吉日良辰	ji ri liang chen	4
吉星高照	ji xing gao zhao	21
同声同气	tong sheng tong qi	10
同声相应	tong sheng xiang ying	2
同床共枕	tong chuang gong zhen	8
同心共济	tong xin gong ji	7
同心合力	tong xin he li	6
同心戮力	tong xin lu li	1
同日而语	tong ri er yu	4
同气相求	tong qi xiang qiu	2
同气连枝	tong qi lian zhi	4
同轴电缆	tong zhou dian lan	30
名不正言不顺	ming bu zheng yan bu shun	13
名利兼收	ming li jian shou	1
名利双收	ming li shuang shou	25
名士风流	ming shi feng liu	1
名实相副	ming shi xiang fu	2
名山胜水	ming shan sheng shui	6
名师出高徒	ming shi chu gao tu	43
名扬天下	ming yang tian xia	13
名目繁多	ming mu fan duo	10
名缰利锁	ming jiang li suo	7
名重一时	ming zhong yi shi	5
名门闺秀	ming men gui xiu	4
名闻天下	ming wen tian xia	4
名震一时	ming zhen yi shi	5
后人乘凉	hou ren cheng liang	5
后天下之乐而乐	hou tian xia zhi le er le	17
后悔不及	hou hui bu ji	4
后患无穷	hou huan wu qiong	32
后来者居上	hou lai zhe ju shang	18
后浪推前浪	hou lang tui qian lang	25
后生小子	hou sheng xiao zi	6
后继无人	hou ji wu ren	16
后继有人	hou ji you ren	40
吐气扬眉	tu qi yang mei	1
君子一言	jun zi yi yan	39
君子之交	jun zi zhi jiao	24
君子固穷	jun zi gu qiong	1
君子好逑	jun zi hao qiu	25
君臣佐使	jun chen zuo shi	7
含笑九泉	han xiao jiu quan	20
含苞欲放	han bao yu fang	10
含英咀华	han ying ju hua	2
听其言而观其行	ting qi yan er guan qi xing	6
吴下阿蒙	wu xia a meng	1
吴头楚尾	wu tou chu wei	2
吴带当风	wu dai dang feng	3
吹牛拍马	chui niu pai ma	1
吹皱一池春水	chui zhou yi chi chun shui	2
吹糠见米	chui kang jian mi	8
吹面不寒杨柳风	chui mian bu han yang liu feng	2
告贷无门	gao dai wu men	6
呢喃细语	ni nan xi yu	2
周公吐哺	zhou gong tu bu	2
味如嚼蜡	wei ru jiao la	7
呵欠连天	he qian lian tian	6
呼朋唤友	hu peng huan you	23
命丧黄泉	ming sang huang quan	4
和气致祥	he qi zhi xiang	1
和而不同	he er bu tong	10
和衣而卧	he yi er wo	8
咸与维新	xian yu wei xin	6
哀哀父母	ai ai fu mu	6
哀而不伤	ai er bu shang	11
哀莫大于心死	ai mo da yu xin si	29
哀鸿遍野	ai hong bian ye	6
哭天喊地	ku tian han di	34
唠唠叨叨	lao lao dao dao	31
唾面自干	tuo mian zi gan	7
啃硬骨头	ken ying gu tou	13
啧啧称奇	ze ze cheng qi	18
啧啧称赞	ze ze cheng zan	2
喃喃细语	nan nan xi yu	3
喃喃自语	nan nan zi yu	32
喊冤叫屈	han yuan jiao qu	8
喘息未定	chuan xi wei ding	2
喜不自胜	xi bu zi sheng	6
喜怒不形于色	xi nu bu xing yu se	14
喜逐颜开	xi zhu yan kai	1
喟然长叹	kui ran chang tan	6
喷薄欲出	pen bo yu chu	1
嘉言懿行	jia yan yi xing	1
嘤其鸣矣	ying qi ming yi	6
器宇轩昂	qi yu xuan ang	4
嚣张一时	xiao zhang yi shi	6
囊中取物	nang zhong qu wu	6
囊萤映雪	nang ying ying xue	6
四体不勤	si ti bu qin	5
四体不勤五谷不分	si ti bu qin wu gu bu fen	9
四方八面	si fang ba mian	9
四时八节	si shi ba jie	3
四海之内皆兄弟	si hai zhi nei jie xiong di	9
四海升平	si hai sheng ping	2
四肢百骸	si zhi bai hai	7
四面出击	si mian chu ji	2
四面受敌	si mian shou di	9
回天之力	hui tian zhi li	9
回天乏术	hui tian fa shu	22
回天无力	hui tian wu li	11
因循苟且	yin xun gou qie	6
固执己见	gu zhi ji jian	28
国仇家恨	guo chou jia hen	13
国家兴亡匹夫有责	guo jia xing wang pi fu you ze	7
国家栋梁	guo jia dong liang	29
国将不国	guo jiang bu guo	6
国无宁日	guo wu ning ri	7
国而忘家	guo er wang jia	6
国难当头	guo nan dang tou	10
图穷匕见	tu qiong bi xian	3
图穷匕首见	tu qiong bi shou xian	6
图财害命	tu cai hai ming	1
土洋结合	tu yang jie he	8
在此一举	zai ci yi ju	14
地利不如人和	di li bu ru ren he	1
地利人和	di li ren he	7
地动山摇	di dong shan yao	25
地覆天翻	di fu tian fan	6
坎坷不平	kan ke bu ping	11
坐拥书城	zuo yong shu cheng	6
坐收渔人之利	zuo shou yu ren zhi li	3
坐言起行	zuo yan qi xing	1
坚定意志	jian ding yi zhi	19
坚强不屈	jian qiang bu qu	6
坚苦卓绝	jian ku zhuo jue	1
坚贞不渝	jian zhen bu yu	6
坦然自若	tan ran zi ruo	4
垂手可得	chui shou ke de	7
埋头苦干	mai tou ku gan	14
城门失火	cheng men shi huo	5
城门失火殃及池鱼	cheng men shi huo yang ji chi yu	1
堂皇富丽	tang huang fu li	7
堆积如山	dui ji ru shan	49
塞上江南	sai shang jiang nan	4
塞北江南	sai bei jiang nan	1
填海造地	tian hai zao di	23
墙头马上	qiang tou ma shang	1
墙里开花墙外香	qiang li kai hua qiang wai xiang	5
壁垒分明	bi lei fen ming	6
壁立千仞	bi li qian ren	5
士为知己者死	shi wei zhi ji zhe si	2
士农工商	shi nong gong shang	8
士别三日	shi bie san ri	1
士可杀不可辱	shi ke sha bu ke ru	21
壮士断腕	zhuang shi duan wan	9
壮心不已	zhuang xin bu yi	23
壮志凌云	zhuang zhi ling yun	19
壮志豪情	zhuang zhi hao qing	8
声如洪钟	sheng ru hong zhong	6
声气相通	sheng qi xiang tong	2
声誉鹊起	sheng yu que qi	1
备而不用	bei er bu yong	2
夏日炎炎	xia ri yan yan	26
夏虫不可语冰	xia chong bu ke yu bing	47
外刚内柔	wai gang nei rou	21
外圆内方	wai yuan nei fang	9
外方内圆	wai fang nei yuan	6
外柔内刚	wai rou nei gang	14
夙夜匪懈	su ye fei xie	3
夙夜在公	su ye zai gong	1
多一事不如少一事	duo yi shi bu ru shao yi shi	41
多不胜数	duo bu sheng shu	22
多行不义必自毙	duo xing bu yi bi zi bi	27
多言多语	duo yan duo yu	6
多费口舌	duo fei kou she	18
夜不成寐	ye bu cheng mei	1
夜阑人静	ye lan ren jing	6
大中至正	da zhong zhi zheng	10
大事化小小事化了	da shi hua xiao xiao shi hua liao	11
大人先生	da ren xian sheng	6
大仁大义	da ren da yi	1
大动肝火	da dong gan huo	1
大厦将倾	da sha jiang qing	3
大发议论	da fa yi lun	1
大呼小叫	da hu xiao jiao	39
大喝一声	da he yi sheng	9
大嚷大叫	da rang da jiao	6
大地回春	da di hui chun	16
大地春回	da di chun hui	2
大声疾呼	da sheng ji hu	34
大处着眼	da chu zhuo yan	11
大头小尾	da tou xiao wei	7
大家风范	da jia feng fan	20
大将风度	da jiang feng du	13
大展宏图	da zhan hong tu	39
大巧若拙	da qiao ruo zhuo	4
大度包容	da du bao rong	2
大开大合	da kai da he	7
大张声势	da zhang sheng shi	6
大张挞伐	da zhang ta fa	6
大得人心	da de ren xin	1
大放光明	da fang guang ming	2
大放悲声	da fang bei sheng	6
大智大勇	da zhi da yong	2
大有其人	da you qi ren	6
大有可观	da you ke guan	3
大有所为	da you suo wei	2
大有裨益	da you bi yi	15
大有起色	da you qi se	1
大权在握	da quan zai wo	19
大权旁落	da quan pang luo	9
大权独揽	da quan du lan	8
大树底下好乘凉	da shu di xia hao cheng liang	7
大水冲了龙王庙	da shui chong le long wang miao	14
大江东去	da jiang dong qu	27
大浪淘沙	da lang tao sha	49
大禹治水	da yu zhi shui	36
大笔一挥	da bi yi hui	7
大红大绿	da hong da lv	31
大肆挥霍	da si hui huo	4
大肆铺张	da si pu zhang	6
大费周折	da fei zhou zhe	4
大门不出二门不迈	da men bu chu er men bu mai	35
大雨如注	da yu ru zhu	4
大雨滂沱	da yu pang tuo	46
大音希声	da yin xi sheng	4
大题小做	da ti xiao zuo	8
天下一家	tian xia yi jia	8
天下为公	tian xia wei gong	8
天下乌鸦一般黑	tian xia wu ya yi ban hei	48
天下兴亡	tian xia xing wang	9
天下兴亡匹夫有责	tian xia xing wang pi fu you ze	4
天下归心	tian xia gui xin	4
天下无双	tian xia wu shuang	35
天下无难事	tian xia wu nan shi	5
天下本无事	tian xia ben wu shi	3
天不作美	tian bu zuo mei	1
天不假年	tian bu jia nian	1
天人之际	tian ren zhi ji	3
天地不容	tian di bu rong	6
天堂地狱	tian tang di yu	15
天外飞来	tian wai fei lai	6
天摇地动	tian yao di dong	14
天无绝人之路	tian wu jue ren zhi lu	21
天时不如地利	tian shi bu ru di li	1
天有不测风云	tian you bu ce feng yun	42
天朗气清	tian lang qi qing	30
天涯咫尺	tian ya zhi chi	20
天清气朗	tian qing qi lang	4
天王老子	tian wang lao zi	21
天理人情	tian li ren qing	6
天理昭昭	tian li zhao zhao	1
天理良心	tian li liang xin	5
天知地知	tian zhi di zhi	24
天知地知你知我知	tian zhi di zhi ni zhi wo zhi	23
天网恢恢疏而不漏	tian wang hui hui shu er bu lou	5
天若有情天亦老	tian ruo you qing tian yi lao	41
天随人愿	tian sui ren yuan	5
天高皇帝远	tian gao huang di yuan	30
太岁头上动土	tai sui tou shang dong tu	3
太平无事	tai ping wu shi	9
太平盛世	tai ping sheng shi	32
夫妻反目	fu qi fan mu	8
夫子自道	fu zi zi dao	2
夫贵妻荣	fu gui qi rong	6
失之东隅	shi zhi dong yu	9
失之东隅收之桑榆	shi zhi dong yu shou zhi sang yu	6
失之毫厘	shi zhi hao li	3
失败为成功之母	shi bai wei cheng gong zhi mu	2
失败是成功之母	shi bai shi cheng gong zhi mu	27
头悬梁锥刺股	tou xuan liang zhui ci gu	17
头昏目眩	tou hun mu xuan	1
头晕眼花	tou yun yan hua	1
头痛医头	tou tong yi tou	12
头痛医头脚痛医脚	tou tong yi tou jiao tong yi jiao	10
头痛脑热	tou tong nao re	2
头角峥嵘	tou jiao zheng rong	1
夸父追日	kua fu zhui ri	2
夸父逐日	kua fu zhu ri	7
夹枪带棒	jia qiang dai bang	4
夹道欢呼	jia dao huan hu	2
奇思妙想	qi si miao xiang	49
奇技淫巧	qi ji yin qiao	1
奇花异卉	qi hua yi hui	3
奇风异俗	qi feng yi su	6
奉为圭臬	feng wei gui nie	7
奉为楷模	feng wei kai mo	6
奉为至宝	feng wei zhi bao	7
奉天承运	feng tian cheng yun	3
奔波劳碌	ben bo lao lu	27
奔流不息	ben liu bu xi	4
奔腾澎湃	ben teng peng pai	6
奖罚分明	jiang fa fen ming	2
女大当嫁	nv da dang jia	14
女娲补天	nv wa bu tian	17
女流之辈	nv liu zhi bei	9
奸淫掳掠	jian yin lu lve	12
好事不出门	hao shi bu chu men	36
好事之徒	hao shi zhi tu	4
好人难做	hao ren nan zuo	43
好勇斗狠	hao yong dou hen	9
好善乐施	hao shan le shi	3
好学不倦	hao xue bu juan	16
好学深思	hao xue shen si	1
好整以暇	hao zheng yi xia	2
好汉不吃眼前亏	hao han bu chi yan qian kui	11
好生之德	hao sheng zhi de	11
好色之徒	hao se zhi tu	6
好言好语	hao yan hao yu	16
好骑者堕	hao qi zhe duo	6
如临深渊如履薄冰	ru lin shen yuan ru lv bo bing	6
如之奈何	ru zhi nai he	3
如入无人之境	ru ru wu ren zhi jing	9
如切如磋	ru qie ru cuo	8
如坐春风	ru zuo chun feng	1
如是我闻	ru shi wo wen	11
如梦方醒	ru meng fang xing	1
如椽之笔	ru chuan zhi bi	6
如烹小鲜	ru peng xiao xian	1
如痴如狂	ru chi ru kuang	4
如簧之舌	ru huang zhi she	6
如芒刺背	ru mang ci bei	5
如见其人	ru jian qi ren	4
如诉如泣	ru su ru qi	1
如闻其声	ru wen qi sheng	6
如鲠在喉	ru geng zai hou	29
妇人之仁	fu ren zhi ren	10
妙手偶得	miao shou ou de	2
妙语如珠	miao yu ru zhu	1
妙语连珠	miao yu lian zhu	30
始乱终弃	shi luan zhong qi	46
始于足下	shi yu zu xia	11
始终不懈	shi zhong bu xie	7
姑妄听之	gu wang ting zhi	8
姓甚名谁	xing shen ming shui	22
姜太公钓鱼	jiang tai gong diao yu	17
姜是老的辣	jiang shi lao de la	7
姿态万千	zi tai wan qian	4
威武不能屈	wei wu bu neng qu	11
威胁利诱	wei xie li you	19
威震天下	wei zhen tian xia	3
威风八面	wei feng ba mian	9
娓娓而谈	wei wei er tan	8
婆娑起舞	po suo qi wu	6
媒妁之言	mei shuo zhi yan	15
嫁狗随狗	jia gou sui gou	2
嫁祸于人	jia huo yu ren	3
嫁鸡随鸡嫁狗随狗	jia ji sui ji jia gou sui gou	6
嫌贫爱富	xian pin ai fu	32
嬉笑怒骂皆成文章	xi xiao nu ma jie cheng wen zhang	2
子为父隐	zi wei fu yin	2
子曰诗云	zi yue shi yun	6
孔孟之道	kong meng zhi dao	8
存乎一心	cun hu yi xin	1
存亡绝续	cun wang jue xu	3
存亡续绝	cun wang xu jue	1
存心不良	cun xin bu liang	3
存而不论	cun er bu lun	3
孜孜矻矻	zi zi ku ku	3
孝悌忠信	xiao ti zhong xin	2
孟母三迁	meng mu san qian	10
孟母择邻	meng mu ze lin	6
孤儿寡妇	gu er gua fu	5
孤军作战	gu jun zuo zhan	15
孤军深入	gu jun shen ru	25
孤立无助	gu li wu zhu	3
学然后知不足	xue ran hou zhi bu zu	6
学而优则仕	xue er you ze shi	1
学而时习之	xue er shi xi zhi	1
学非所用	xue fei suo yong	2
孰不可忍	shu bu ke ren	6
孰能无过	shu neng wu guo	18
宁为玉碎	ning wei yu sui	9
宁为玉碎不为瓦全	ning wei yu sui bu wei wa quan	5
宁折不弯	ning zhe bu wan	6
宁静致远	ning jing zhi yuan	49
它山之石可以攻玉	ta shan zhi shi ke yi gong yu	1
守土有责	shou tu you ze	4
安不忘危	an bu wang wei	1
安内攘外	an nei rang wai	1
安危与共	an wei yu gong	1
安家乐业	an jia le ye	2
安家立业	an jia li ye	4
安家落户	an jia luo hu	19
安然无事	an ran wu shi	10
安邦定国	an bang ding guo	2
安邦治国	an bang zhi guo	1
完好无缺	wan hao wu que	30
宏图大志	hong tu da zhi	7
宏图大略	hong tu da lve	1
官官相卫	guan guan xiang wei	6
定于一尊	ding yu yi zun	21
定国安邦	ding guo an bang	9
宛转悠扬	wan zhuan you yang	1
宜室宜家	yi shi yi jia	7
宝刀不老	bao dao bu lao	21
宝马香车	bao ma xiang che	4
宠辱皆忘	chong ru jie wang	2
客死他乡	ke si ta xiang	7
客随主便	ke sui zhu bian	9
宦海浮沉	huan hai fu chen	6
家书抵万金	jia shu di wan jin	1
家人父子	jia ren fu zi	6
家学渊源	jia xue yuan yuan	10
家财万贯	jia cai wan guan	33
家贫如洗	jia pin ru xi	1
家贼难防	jia zei nan fang	10
宽宏大度	kuan hong da du	2
宾客如云	bin ke ru yun	6
宾客盈门	bin ke ying men	3
宾朋满座	bin peng man zuo	8
寂寂无闻	ji ji wu wen	8
寂然无声	ji ran wu sheng	6
密不通风	mi bu tong feng	1
密锣紧鼓	mi luo jin gu	4
富商巨贾	fu shang ju gu	2
富国强民	fu guo qiang min	2
富甲一方	fu jia yi fang	39
富而好礼	fu er hao li	2
富贵不淫	fu gui bu yin	6
富贵不能淫	fu gui bu neng yin	9
富贵吉祥	fu gui ji xiang	4
富贵在天	fu gui zai tian	11
富贵荣华	fu gui rong hua	14
富贵逼人	fu gui bi ren	6
寓情于景	yu qing yu jing	1
寓意深远	yu yi shen yuan	5
寓意深长	yu yi shen chang	4
寝不安席	qin bu an xi	3
寥寥可数	liao liao ke shu	16
寸土不让	cun tu bu rang	5
寸有所长	cun you suo chang	2
寸步难移	cun bu nan yi	3
寸草春晖	cun cao chun hui	7
对天发誓	dui tian fa shi	34
对症之药	dui zheng zhi yao	1
对症用药	dui zheng yong yao	8
寻幽探胜	xun you tan sheng	6
寻根问底	xun gen wen di	4
寻踪觅迹	xun zong mi ji	7
寿山福海	shou shan fu hai	1
封疆大吏	feng jiang da li	4
射人先射马	she ren xian she ma	1
将功折罪	jiang gong zhe zui	2
将本求利	jiang ben qiu li	1
将欲取之	jiang yu qu zhi	2
将熊熊一窝	jiang xiong xiong yi wo	6
将门虎子	jiang men hu zi	2
小不忍则乱大谋	xiao bu ren ze luan da mou	44
小国寡民	xiao guo gua min	4
小康之家	xiao kang zhi jia	18
小惩大诫	xiao cheng da jie	3
小时了了	xiao shi liao liao	6
小脚女人	xiao jiao nv ren	2
少不经事	shao bu jing shi	5
少年夫妻老来伴	shao nian fu qi lao lai ban	4
尔俸尔禄	er feng er lu	2
尺寸之功	chi cun zhi gong	7
尺有所短	chi you suo duan	2
尽信书不如无书	jin xin shu bu ru wu shu	5
尽释前嫌	jin shi qian xian	5
局促不安	ju cu bu an	5
居功厥伟	ju gong jue wei	7
居功自傲	ju gong zi ao	4
居大不易	ju da bu yi	2
居无求安	ju wu qiu an	3
屏声静气	bing sheng jing qi	6
屏气凝神	bing qi ning shen	2
展翅高飞	zhan chi gao fei	43
履险如夷	lv xian ru yi	6
山乡巨变	shan xiang ju bian	1
山崩地裂	shan beng di lie	21
山摇地动	shan yao di dong	7
山明水秀	shan ming shui xiu	19
山水相连	shan shui xiang lian	6
山重水复	shan chong shui fu	10
山长水远	shan chang shui yuan	42
