# 青简领域词库：历史人物，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
崔夫人	cui fu ren	3
崔奕	cui yi	6
崔子范	cui zi fan	1
崔岩	cui yan	1
崔志刚	cui zhi gang	2
崔明	cui ming	38
崔明勋	cui ming xun	5
崔晓光	cui xiao guang	2
崔林	cui lin	16
崔毅	cui yi	4
崔江熙	cui jiang xi	2
崔烈	cui lie	12
崔琦	cui qi	28
崔琰	cui yan	11
崔纪	cui ji	2
崔美善	cui mei shan	3
崔致远	cui zhi yuan	43
崔蔚林	cui wei lin	4
崔述	cui shu	16
崔陟	cui zhi	4
崔颢	cui hao	6
崔鸿	cui hong	4
嵇含	ji han	10
嵇康	ji kang	22
嵇文甫	ji wen fu	12
嵇曾筠	ji zeng yun	3
川井宪次	chuan jing xian ci	19
川井郁子	chuan jing yu zi	2
川口开治	chuan kou kai zhi	2
川岛直美	chuan dao zhi mei	3
川岛茉树代	chuan dao mo shu dai	2
川端康成	chuan duan kang cheng	23
州泰	zhou tai	28
巡警部	xun jing bu	9
工藤新一	gong teng xin yi	25
工藤静香	gong teng jing xiang	16
左丘明	zuo qiu ming	7
左光斗	zuo guang dou	24
左冷禅	zuo leng chan	38
左宝贵	zuo bao gui	3
左尹	zuo yin	5
左思	zuo si	25
左慈	zuo ci	9
左执法	zuo zhi fa	1
左晓蕾	zuo xiao lei	8
左正	zuo zheng	11
左舜生	zuo shun sheng	10
左齐	zuo qi	7
巨平	ju ping	7
巩建丰	gong jian feng	3
巩志	gong zhi	3
巫县	wu xian	9
巫继学	wu ji xue	1
巴乔	ba qiao	27
巴克礼	ba ke li	22
巴勃鲁	ba bo lu	4
巴多里奥	ba duo li ao	2
巴家伟	ba jia wei	3
巴尔德斯	ba er de si	49
巴尔扎克	ba er zha ke	36
巴尔达诺	ba er da nuo	5
巴拉迪	ba la di	14
巴斯腾	ba si teng	3
巴曙松	ba shu song	2
巴甫洛维奇	ba fu luo wei qi	22
巴蒂斯图塔	ba di si tu ta	2
巴蔓子	ba man zi	6
巴雷西	ba lei xi	18
币原坦	bi yuan tan	3
市井纱耶香	shi jing sha ye xiang	4
市原隼人	shi yuan sun ren	8
市川昆	shi chuan kun	19
市川染五郎	shi chuan ran wu lang	18
市川由衣	shi chuan you yi	7
布劳岱尔	bu lao dai er	4
布勒东	bu le dong	35
布尔达	bu er da	8
布德尔	bu de er	26
布施明	bu shi ming	2
布洛欣	bu luo xin	2
布洛赫	bu luo he	40
布特拉格诺	bu te la ge nuo	1
布罗茨基	bu luo ci ji	38
布莱希特	bu lai xi te	27
布莱德雷	bu lai de lei	15
布袋寅泰	bu dai yin tai	15
布鲁查加	bu lu cha jia	2
帅我	shuai wo	5
师婆	shi po	5
师春玲	shi chun ling	3
师洋	shi yang	1
师纂	shi zuan	2
帕拉塞尔苏斯	pa la sai er su si	14
帕罗特	pa luo te	10
帕萨雷拉	pa sa lei la	2
帝乙	di yi	16
帝喾	di ku	12
帝昺	di bing	2
帝辛	di xin	17
带方	dai fang	38
席佩兰	xi pei lan	3
席慕蓉	xi mu rong	6
常任侠	chang ren xia	4
常伦	chang lun	10
常关	chang guan	11
常大淳	chang da chun	9
常宝	chang bao	28
常宽	chang kuan	4
常彬	chang bin	4
常昊	chang hao	15
常明芳	chang ming fang	4
常晓阳	chang xiao yang	2
常盘贵子	chang pan gui zi	9
常红利	chang hong li	2
常远	chang yuan	11
常颖	chang ying	2
常香玉	chang xiang yu	14
干休	gan xiu	5
干宝	gan bao	13
平井理央	ping jing li yang	6
平原绫香	ping yuan ling xiang	3
平夷	ping yi	30
平春	ping chun	16
平步青	ping bu qing	2
平田广明	ping tian guang ming	13
平襄	ping xiang	6
平野绫	ping ye ling	34
平鑫涛	ping xin tao	4
年希尧	nian xi yao	4
年王臣	nian wang chen	3
幸田来未	xing tian lai wei	48
幼平	you ping	9
广末凉子	guang mo liang zi	31
广汉郡	guang han jun	36
广田亮平	guang tian liang ping	1
广田弘毅	guang tian hong yi	7
广禄	guang lu	15
庄则栋	zhuang ze dong	10
庄周	zhuang zhou	45
庄妃	zhuang fei	8
庄山	zhuang shan	5
庄恒	zhuang heng	5
庄昶	zhuang chang	1
庄有恭	zhuang you gong	2
庄泳	zhuang yong	7
庄玉庭	zhuang yu ting	5
庄绶甲	zhuang shou jia	2
庄羽	zhuang yu	2
庄肃	zhuang su	6
庄臻凤	zhuang zhen feng	2
庄蕴宽	zhuang yun kuan	5
庄长恭	zhuang chang gong	2
庆保	qing bao	5
庆泰	qing tai	28
库仑	ku lun	35
库兹涅佐娃	ku zi nie zuo wa	18
库利克	ku li ke	16
库尔提斯	ku er ti si	3
库巴拉	ku ba la	16
库里申科	ku li shen ke	6
应云卫	ying yun wei	23
应仁	ying ren	31
应劭	ying shao	25
应慈	ying ci	3
应采儿	ying cai er	34
庞义	pang yi	3
庞人铨	pang ren quan	2
庞会	pang hui	5
庞元济	pang yuan ji	4
庞卫国	pang wei guo	1
庞哲	pang zhe	10
庞德公	pang de gong	9
庞舒	pang shu	1
庞鸿书	pang hong shu	5
庞龙	pang long	6
庶老	shu lao	2
康丁	kang ding	14
康军	kang jun	35
康国平	kang guo ping	4
康子妮	kang zi ni	2
康宗	kang zong	22
康帕内拉	kang pa nei la	12
康广仁	kang guang ren	1
康建刚	kang jian gang	2
康恺	kang kai	3
康绍镛	kang shao yong	2
康辰	kang chen	2
廖二平	liao er ping	2
廖仲恺	liao zhong kai	48
廖化	liao hua	16
廖寅	liao yin	3
廖平	liao ping	3
廖政国	liao zheng guo	6
廖文毅	liao wen yi	15
廖新波	liao xin bo	11
廖桂永	liao gui yong	2
廖立	liao li	4
廖纪	liao ji	3
廖静文	liao jing wen	3
廪人	lin ren	2
延初	yan chu	3
延历寺	yan li si	35
延康	yan kang	17
延熙	yan xi	46
建公	jian gong	24
建婷	jian ting	2
建衡	jian heng	34
弗兰奇	fu lan qi	42
弗兰明	fu lan ming	2
弗尔迈伊	fu er mai yi	2
弗朗西斯培根	fu lang xi si pei gen	3
弗朗西斯科利	fu lang xi si ke li	4
弗格	fu ge	46
弗罗伦斯	fu luo lun si	13
弘一大师	hong yi da shi	17
弘昌	hong chang	13
弘景	hong jing	3
张一一	zhang yi yi	22
张一奇	zhang yi qi	3
张一麟	zhang yi lin	4
张世仁	zhang shi ren	1
张世平	zhang shi ping	9
张世杰	zhang shi jie	22
张世贤	zhang shi xian	2
张丙	zhang bing	21
张业	zhang ye	37
张东凯	zhang dong kai	2
张东涛	zhang dong tao	5
张东臣	zhang dong chen	2
张丰毅	zhang feng yi	27
张临	zhang lin	7
张丹丹	zhang dan dan	12
张丹露	zhang dan lu	4
张举	zhang ju	35
张乃燕	zhang nai yan	4
张乃耆	zhang nai qi	2
张之万	zhang zhi wan	5
张之江	zhang zhi jiang	23
张之翰	zhang zhi han	6
张之象	zhang zhi xiang	2
张乐	zhang le	31
张乐行	zhang le xing	1
张九龄	zhang jiu ling	16
张习孔	zhang xi kong	2
张二奎	zhang er kui	3
张云仙	zhang yun xian	3
张云逸	zhang yun yi	36
张云锦	zhang yun jin	3
张云飞	zhang yun fei	2
张云鹤	zhang yun he	3
张云龙	zhang yun long	37
张五典	zhang wu dian	9
张五常	zhang wu chang	7
张井	zhang jing	2
张亚东	zhang ya dong	26
张亮基	zhang liang ji	4
张介宾	zhang jie bin	1
张以宁	zhang yi ning	3
张仲景	zhang zhong jing	29
张任	zhang ren	6
张休	zhang xiu	18
张会祥	zhang hui xiang	4
张伟平	zhang wei ping	1
张伯声	zhang bo sheng	4
张伯行	zhang bo xing	12
张位	zhang wei	5
张作楠	zhang zuo nan	2
张佩纶	zhang pei lun	3
张佩芳	zhang pei fang	3
张佳胤	zhang jia yin	7
张俭	zhang jian	25
张健鹏	zhang jian peng	4
张元举	zhang yuan ju	3
张元忭	zhang yuan bian	6
张元济	zhang yuan ji	31
张元芳	zhang yuan fang	3
张元贞	zhang yuan zhen	3
张兆志	zhang zhao zhi	8
张兆祥	zhang zhao xiang	6
张先	zhang xian	47
张光东	zhang guang dong	7
张光孝	zhang guang xiao	1
张光年	zhang guang nian	5
张克俭	zhang ke jian	22
张克帆	zhang ke fan	4
张兵	zhang bing	9
张其昀	zhang qi yun	30
张其淦	zhang qi gan	1
张养浩	zhang yang hao	1
张凤翼	zhang feng yi	12
张剑荆	zhang jian jing	5
张劭	zhang shao	4
张化麒	zhang hua qi	2
张千里	zhang qian li	6
张华立	zhang hua li	3
张卓	zhang zhuo	21
张南	zhang nan	10
张南庄	zhang nan zhuang	3
张卤	zhang lu	5
张卫	zhang wei	20
张卫平	zhang wei ping	11
张卫星	zhang wei xing	4
张即之	zhang ji zhi	1
张历历	zhang li li	5
张厉生	zhang li sheng	28
张原	zhang yuan	14
张叔夜	zhang shu ye	4
张叔明	zhang shu ming	3
张可颐	zhang ke yi	18
张合	zhang he	10
张吉安	zhang ji an	10
张向东	zhang xiang dong	9
张向宁	zhang xiang ning	1
张君秋	zhang jun qiu	13
张含英	zhang han ying	4
张员	zhang yuan	24
张和	zhang he	8
张咪	zhang mi	5
张唐英	zhang tang ying	3
张善为	zhang shan wei	1
张嘉谟	zhang jia mo	2
张嘎	zhang ga	21
张四维	zhang si wei	11
张国光	zhang guo guang	7
张国凤	zhang guo feng	5
张国华	zhang guo hua	33
张国庆	zhang guo qing	8
张国忠	zhang guo zhong	11
张国成	zhang guo cheng	2
张国政	zhang guo zheng	5
张国淦	zhang guo gan	3
张国维	zhang guo wei	13
张均	zhang jun	20
张坚	zhang jian	28
张坤生	zhang kun sheng	2
张坦	zhang tan	19
张埙	zhang xun	2
张培爵	zhang pei jue	13
张士俊	zhang shi jun	5
张士元	zhang shi yuan	4
张夔	zhang kui	5
张大受	zhang da shou	1
张大复	zhang da fu	4
张大煜	zhang da yu	1
张天复	zhang tian fu	4
张天德	zhang tian de	10
张天成	zhang tian cheng	1
张天翼	zhang tian yi	6
张天英	zhang tian ying	2
张天锡	zhang tian xi	24
张天骏	zhang tian jun	1
张奔斗	zhang ben dou	1
张如芝	zhang ru zhi	1
张媛媛	zhang yuan yuan	2
张子俊	zhang zi jun	1
张子清	zhang zi qing	6
张孝祥	zhang xiao xiang	1
张学冬	zhang xue dong	8
张学曾	zhang xue zeng	3
张宗恒	zhang zong heng	3
张宗法	zhang zong fa	3
张宗泰	zhang zong tai	2
张宗海	zhang zong hai	7
张宗祥	zhang zong xiang	2
张宗苍	zhang zong cang	1
张宗逊	zhang zong xun	13
张宝华	zhang bao hua	14
张实	zhang shi	5
张宣	zhang xuan	9
张宪	zhang xian	33
张家震	zhang jia zhen	4
张家驹	zhang jia ju	4
张家鹏	zhang jia peng	6
张宾	zhang bin	15
张寒晖	zhang han hui	7
张寰	zhang huan	3
张寿臣	zhang shou chen	4
张寿荣	zhang shou rong	1
张寿镛	zhang shou yong	8
张小倩	zhang xiao qian	4
张小爱	zhang xiao ai	1
张小蓓	zhang xiao bei	1
张小霞	zhang xiao xia	7
张少华	zhang shao hua	8
张少舫	zhang shao fang	1
张尔岐	zhang er qi	3
张尚	zhang shang	30
张尹	zhang yin	5
张履祥	zhang lv xiang	3
张岱	zhang dai	32
张岳崧	zhang yue song	9
张峻	zhang jun	37
张崟	zhang yin	3
张嶷	zhang yi	14
张布	zhang bu	7
张常在	zhang chang zai	2
张年	zhang nian	7
张幼仪	zhang you yi	2
张广天	zhang guang tian	1
张广瑞	zhang guang rui	7
张庆澍	zhang qing shu	2
张庆鹏	zhang qing peng	4
张应奎	zhang ying kui	5
张应文	zhang ying wen	3
张应昌	zhang ying chang	4
张应梅	zhang ying mei	3
张庚	zhang geng	18
张度	zhang du	34
张庭	zhang ting	45
张庭伟	zhang ting wei	5
张廉	zhang lian	19
张延登	zhang yan deng	2
张廷桂	zhang ting gui	2
张廷济	zhang ting ji	3
张建刚	zhang jian gang	8
张弋	zhang yi	1
张弥	zhang mi	10
张弦	zhang xian	7
张弧	zhang hu	2
张弨	zhang chao	4
张强	zhang qiang	44
张弼	zhang bi	14
张当	zhang dang	6
张录	zhang lu	4
张彤	zhang tong	18
张德培	zhang de pei	2
张德奎	zhang de kui	1
张德成	zhang de cheng	9
张德纯	zhang de chun	4
张德能	zhang de neng	2
张德芬	zhang de fen	5
张德荣	zhang de rong	4
张德馨	zhang de xin	8
张心悦	zhang xin yue	2
张志宏	zhang zhi hong	2
张志强	zhang zhi qiang	14
张志新	zhang zhi xin	10
张志熙	zhang zhi xi	2
张志让	zhang zhi rang	8
张忻	zhang xin	4
张思伦	zhang si lun	2
张思孝	zhang si xiao	1
张思德	zhang si de	3
张怡宁	zhang yi ning	21
张恕	zhang shu	10
张恨水	zhang hen shui	17
张恭	zhang gong	15
张恺	zhang kai	21
张恺帆	zhang kai fan	24
张悌	zhang ti	7
张悦然	zhang yue ran	5
张惠民	zhang hui min	6
张惠真	zhang hui zhen	3
张惠言	zhang hui yan	3
张慎	zhang shen	6
张慎言	zhang shen yan	6
张懿	zhang yi	10
张戒	zhang jie	3
张承志	zhang cheng zhi	11
张承烈	zhang cheng lie	1
张拉拉	zhang la la	1
张择端	zhang ze duan	2
张振勋	zhang zhen xun	3
张振宗	zhang zhen zong	5
张掖郡	zhang ye jun	41
张敦仁	zhang dun ren	4
张文东	zhang wen dong	7
张文治	zhang wen zhi	8
张文泉	zhang wen quan	1
张文灿	zhang wen can	5
张文瑞	zhang wen rui	1
张文盛	zhang wen sheng	1
张文虎	zhang wen hu	4
张文豪	zhang wen hao	2
张文郁	zhang wen yu	3
张斌	zhang bin	39
张斐	zhang fei	1
张新国	zhang xin guo	2
张既	zhang ji	10
张时彻	zhang shi che	3
张旸	zhang yang	2
张昀	zhang yun	1
张昂	zhang ang	4
张昆弟	zhang kun di	15
张明先	zhang ming xian	5
张明忠	zhang ming zhong	1
张明炜	zhang ming wei	3
张昭汉	zhang zhao han	3
张晃	zhang huang	3
张晋福	zhang jin fu	4
张晓平	zhang xiao ping	7
张晓梅	zhang xiao mei	7
张晞	zhang xi	11
张普	zhang pu	7
张景严	zhang jing yan	2
张景中	zhang jing zhong	2
张景山	zhang jing shan	1
张晴	zhang qing	7
张智成	zhang zhi cheng	33
张曜	zhang yao	10
张曜孙	zhang yao sun	1
张曼菱	zhang man ling	6
张有清	zhang you qing	3
张朝阳	zhang chao yang	3
张本渝	zhang ben yu	2
张松	zhang song	33
张果老	zhang guo lao	10
张枝	zhang zhi	3
张柠	zhang ning	7
张栋伟	zhang dong wei	4
张栋梁	zhang dong liang	37
张栩	zhang xu	11
张梁	zhang liang	7
张梅	zhang mei	29
张梓	zhang zi	41
张森楷	zhang sen kai	3
张楫如	zhang ji ru	2
张榕	zhang rong	45
张横	zhang heng	12
张正光	zhang zheng guang	2
张毅君	zhang yi jun	4
张民表	zhang min biao	3
张民革	zhang min ge	2
张永立	zhang yong li	4
张汉林	zhang han lin	8
张汝霖	zhang ru lin	6
张江树	zhang jiang shu	1
张江裁	zhang jiang cai	2
张沐	zhang mu	3
张治安	zhang zhi an	3
张波	zhang bo	13
张泰青	zhang tai qing	3
张泽峰	zhang ze feng	6
张泽群	zhang ze qun	11
张泽钧	zhang ze jun	1
张洁雯	zhang jie wen	16
张津	zhang jin	10
张洪伟	zhang hong wei	7
张洲	zhang zhou	3
张洽	zhang qia	13
张济	zhang ji	20
张浩宇	zhang hao yu	1
张海迪	zhang hai di	11
张海鹏	zhang hai peng	13
张涛	zhang tao	39
张润	zhang run	33
张润之	zhang run zhi	3
张淦	zhang gan	9
张淮	zhang huai	7
张渥	zhang wo	3
张湄	zhang mei	2
张溥	zhang pu	11
张潜	zhang qian	20
张澜	zhang lan	47
张澜澜	zhang lan lan	4
张灵甫	zhang ling fu	9
张灼	zhang zhuo	12
张炎	zhang yan	28
张炜	zhang wei	31
张炤	zhang zhao	1
张焱	zhang yan	1
张煌言	zhang huang yan	24
张燕	zhang yan	44
张燮	zhang xie	24
张爱萍	zhang ai ping	45
张爽	zhang shuang	4
张特	zhang te	6
张玄靓	zhang xuan liang	19
张玉书	zhang yu shu	5
张玉娘	zhang yu niang	1
张玉宁	zhang yu ning	10
张现伟	zhang xian wei	3
张玲玲	zhang ling ling	2
张珏	zhang jue	4
张珪	zhang gui	5
张球	zhang qiu	4
张琏	zhang lian	6
张琼文	zhang qiong wen	1
张瑜平	zhang yu ping	3
张瑞图	zhang rui tu	4
张瑞敏	zhang rui min	5
张瑞芳	zhang rui fang	7
张瑶	zhang yao	14
张璁	zhang cong	39
张璇	zhang xuan	27
张璧	zhang bi	41
张瓒	zhang zan	5
张申	zhang shen	17
张申宏	zhang shen hong	4
张百龄	zhang bai ling	2
张皋	zhang gao	3
张相文	zhang xiang wen	13
张眉孙	zhang mei sun	3
张石	zhang shi	14
张确	zhang que	5
张祖同	zhang zu tong	1
张祖翼	zhang zu yi	1
张祖谅	zhang zu liang	1
张祖辉	zhang zu hui	3
张祚	zhang zuo	36
张祥云	zhang xiang yun	5
张祥河	zhang xiang he	2
张秀英	zhang xiu ying	6
张秋人	zhang qiu ren	3
张穆	zhang mu	19
张立松	zhang li song	5
张立群	zhang li qun	6
张竞生	zhang jing sheng	1
张笃庆	zhang du qing	4
张符	zhang fu	5
张籍	zhang ji	4
张约	zhang yue	8
张纪中	zhang ji zhong	7
张纮	zhang hong	7
张纯修	zhang chun xiu	2
张纶	zhang lun	14
张绅	zhang shen	3
张绍祖	zhang shao zu	4
张经武	zhang jing wu	28
张统	zhang tong	8
张绣	zhang xiu	20
张继军	zhang ji jun	2
张绳武	zhang sheng wu	1
张维仁	zhang wei ren	8
张维华	zhang wei hua	4
张维屏	zhang wei ping	3
张维翰	zhang wei han	41
张维迎	zhang wei ying	5
张缉	zhang ji	23
张羽材	zhang yu cai	2
张翥	zhang zhu	5
张翼翔	zhang yi xiang	10
张耀翔	zhang yao xiang	1
张聿光	zhang yu guang	5
张肃	zhang su	8
张肇金	zhang zhao jin	2
张自德	zhang zi de	3
张致中	zhang zhi zhong	2
张舒涵	zhang shu han	4
张节	zhang jie	5
张芾	zhang fu	1
张苍	zhang cang	9
张苞	zhang bao	17
张若澄	zhang ruo cheng	1
张若虚	zhang ruo xu	8
张范	zhang fan	5
张茜	zhang qian	40
张荣明	zhang rong ming	1
张荫桓	zhang yin huan	15
张荫麟	zhang yin lin	5
张莉	zhang li	29
张莘	zhang shen	6
张蔚华	zhang wei hua	19
张虎	zhang hu	21
张行孚	zhang xing fu	2
张行简	zhang xing jian	1
张裔	zhang yi	13
张裕钊	zhang yu zhao	1
张角	zhang jue	36
张誉	zhang yu	3
张让	zhang rang	9
张训	zhang xun	9
张诗	zhang shi	36
张诩	zhang xu	2
张说	zhang yue	9
张谞行	zhang xu xing	3
张谨	zhang jin	1
张象	zhang xiang	10
张贞观	zhang zhen guan	3
张贤亮	zhang xian liang	4
张贵人	zhang gui ren	1
张轨	zhang gui	47
张轸	zhang zhen	29
张载	zhang zai	41
张辉瓒	zhang hui zan	28
张迪哲	zhang di zhe	2
张适	zhang shi	1
张逊	zhang xun	6
张遂	zhang sui	7
张道中	zhang dao zhong	3
张道真	zhang dao zhen	5
张道陵	zhang dao ling	6
张遵	zhang zun	11
张邈	zhang miao	20
张邦基	zhang bang ji	4
张邵刚	zhang shao gang	2
张重华	zhang zhong hua	14
张金吾	zhang jin wu	3
张金枝	zhang jin zhi	5
张鉴	zhang jian	16
张鋆	zhang yun	6
张钫	zhang fang	28
张钰哲	zhang yu zhe	15
张铁林	zhang tie lin	28
张铁英	zhang tie ying	7
张铉	zhang xuan	11
张锐	zhang rui	27
张锡兰	zhang xi lan	2
张锦芳	zhang jin fang	1
张镜心	zhang jing xin	3
张长城	zhang chang cheng	3
张闿	zhang kai	21
张阳德	zhang yang de	6
张际亮	zhang ji liang	2
张际鹏	zhang ji peng	4
张陵	zhang ling	16
张雄	zhang xiong	38
张雨森	zhang yu sen	2
张雪中	zhang xue zhong	18
张雪松	zhang xue song	2
张震岳	zhang zhen yue	18
张静东	zhang jing dong	4
张静初	zhang jing chu	23
张韬	zhang tao	12
张音	zhang yin	5
张须陀	zhang xu tuo	10
张颂文	zhang song wen	37
张颌	zhang he	1
张颐	zhang yi	12
张颐武	zhang yi wu	7
张颖洁	zhang ying jie	5
张飞飞	zhang fei fei	7
张驰	zhang chi	17
张骁	zhang xiao	3
张骏	zhang jun	29
张骏祥	zhang jun xiang	4
张鲜堂	zhang xian tang	2
张鸣珂	zhang ming ke	4
张鸿烈	zhang hong lie	30
张鹏翀	zhang peng chong	3
张鹏翔	zhang peng xiang	4
张鹏翮	zhang peng he	6
张鹏翼	zhang peng yi	6
张鹤龄	zhang he ling	14
张鼎丞	zhang ding cheng	28
张鼐	zhang nai	5
张龑	zhang yan	7
张龙德	zhang long de	2
弥尔顿	mi er dun	47
弥海砂	mi hai sha	6
弼德院	bi de yuan	3
归亚蕾	gui ya lei	14
归庄	gui zhuang	3
归有光	gui you guang	8
彭丹	peng dan	6
彭丽媛	peng li yuan	26
彭任	peng ren	3
彭伯	peng bo	8
彭光谦	peng guang qian	9
彭加木	peng jia mu	7
彭启丰	peng qi feng	2
彭和	peng he	7
彭城国	peng cheng guo	3
彭壁生	peng bi sheng	2
彭士量	peng shi liang	5
彭孙贻	peng sun yi	3
彭孙遹	peng sun yu	3
彭宇	peng yu	27
彭安	peng an	5
彭定求	peng ding qiu	2
彭家煌	peng jia huang	4
彭家珍	peng jia zhen	4
彭小枫	peng xiao feng	9
彭帅	peng shuai	39
彭师度	peng shi du	2
彭平之	peng ping zhi	3
彭年	peng nian	35
彭德清	peng de qing	19
彭志强	peng zhi qiang	7
彭春霞	peng chun xia	4
彭昱尧	peng yu yao	2
彭杰如	peng jie ru	4
彭楚藩	peng chu fan	6
彭泰来	peng tai lai	2
彭烈	peng lie	5
彭珑	peng long	4
彭睿	peng rui	3
彭立尧	peng li yao	3
彭端淑	peng duan shu	4
彭绍升	peng shao sheng	1
彭羕	peng yang	4
彭翼仲	peng yi zhong	1
彭荃	peng quan	4
彭莉	peng li	3
彭葵	peng kui	3
彭蕴章	peng yun zhang	1
彭蠡	peng li	1
彭进	peng jin	4
彭道儒	peng dao ru	2
彭遵泗	peng zun si	2
彭雪枫	peng xue feng	48
彭龟年	peng gui nian	13
影山浩宣	ying shan hao xuan	34
影木荣贵	ying mu rong gui	2
彼什科夫	bi shen ke fu	3
彼得梅尔	bi de mei er	2
很北	hen bei	4
徐上瀛	xu shang ying	2
徐世刚	xu shi gang	3
徐中约	xu zhong yue	1
徐中雄	xu zhong xiong	3
徐乃昌	xu nai chang	1
徐之明	xu zhi ming	4
徐云志	xu yun zhi	3
徐仁铸	xu ren zhu	3
徐令	xu ling	19
徐以升	xu yi sheng	5
徐俐	xu li	3
徐傅霖	xu fu lin	2
徐元文	xu yuan wen	1
徐兢	xu jing	5
徐凯	xu kai	20
徐勋	xu xun	1
徐卓	xu zhuo	10
徐县	xu xian	3
徐友渔	xu you yu	6
徐名世	xu ming shi	2
徐君	xu jun	24
徐启明	xu qi ming	6
徐商	xu shang	7
徐嘉瑞	xu jia rui	7
徐国麟	xu guo lin	2
徐士林	xu shi lin	3
徐大椿	xu da chun	3
徐天利	xu tian li	2
徐天红	xu tian hong	2
徐夫人	xu fu ren	1
徐奉洙	xu feng zhu	12
徐婷	xu ting	1
徐媛媛	xu yuan yuan	7
徐子苓	xu zi ling	2
徐存	xu cun	5
徐守铭	xu shou ming	2
徐宗亮	xu zong liang	1
徐宗干	xu zong gan	4
徐宗浩	xu zong hao	2
徐宝璜	xu bao huang	6
徐家驹	xu jia ju	3
徐小凤	xu xiao feng	49
徐小平	xu xiao ping	12
徐尚	xu shang	32
徐帆	xu fan	36
徐师曾	xu shi zeng	1
徐应明	xu ying ming	3
徐庭瑶	xu ting yao	14
徐庶	xu shu	10
徐康	xu kang	18
徐彪	xu biao	7
徐彬	xu bin	36
徐必达	xu bi da	5
徐志勋	xu zhi xun	2
徐念慈	xu nian ci	3
徐怀钰	xu huai yu	18
徐恩曾	xu en zeng	22
徐懋庸	xu mao yong	5
徐承东	xu cheng dong	2
徐文惠	xu wen hui	1
徐文烈	xu wen lie	3
徐文靖	xu wen jing	3
徐方	xu fang	15
徐无	xu wu	2
徐时栋	xu shi dong	5
徐昉	xu fang	6
徐星友	xu xing you	2
徐春	xu chun	12
徐晃	xu huang	32
徐景达	xu jing da	4
徐有贞	xu you zhen	2
徐本禹	xu ben yu	3
徐松	xu song	44
徐枋	xu fang	1
徐枢	xu shu	4
徐枫	xu feng	11
徐柏龄	xu bai ling	2
徐柱	xu zhu	4
徐柳	xu liu	4
徐桐	xu tong	6
徐桢立	xu zhen li	2
徐楚	xu chu	20
徐樾	xu yue	3
徐步云	xu bu yun	2
徐泓	xu hong	11
徐泰	xu tai	12
徐洋	xu yang	6
徐海东	xu hai dong	15
徐涵	xu han	1
徐渭	xu wei	14
徐溶	xu rong	3
徐滇庆	xu dian qing	1
徐澄	xu cheng	3
徐炼	xu lian	2
徐焕升	xu huan sheng	14
徐焕斗	xu huan dou	2
徐焕然	xu huan ran	1
徐焰	xu yan	2
徐熙	xu xi	22
徐熙娣	xu xi di	18
徐熙媛	xu xi yuan	13
徐特立	xu te li	42
徐猛	xu meng	7
徐玉兰	xu yu lan	8
徐玑	xu ji	2
徐玫	xu mei	1
徐玮	xu wei	22
徐珊	xu shan	3
徐百卉	xu bai hui	8
徐盛	xu sheng	22
徐秉义	xu bing yi	4
徐筠	xu yun	5
徐红	xu hong	5
徐继畲	xu ji she	3
徐翊	xu yi	13
徐自华	xu zi hua	3
徐自明	xu zi ming	1
徐舫	xu fang	3
徐艳	xu yan	3
徐芳	xu fang	25
徐茂公	xu mao gong	2
徐葆光	xu bao guang	1
徐行可	xu xing ke	2
徐质	xu zhi	5
徐贲	xu ben	5
徐超	xu chao	7
徐辉	xu hui	41
徐达源	xu da yuan	2
徐迟	xu chi	12
徐邦	xu bang	18
徐采	xu cai	2
徐鉴	xu jian	15
徐钰	xu yu	3
徐铸成	xu zhu cheng	1
徐问	xu wen	3
徐陵	xu ling	21
徐隆	xu long	2
徐震	xu zhen	13
徐霈	xu pei	2
徐霞客	xu xia ke	36
徐颖	xu ying	4
徐颢菲	xu hao fei	2
徐骧	xu xiang	4
徐鹤	xu he	5
徐鼎	xu ding	14
徐鼒	xu zi	3
御猫	yu mao	18
德利马	de li ma	2
德川家光	de chuan jia guang	40
德川家茂	de chuan jia mao	12
德川庆喜	de chuan qing xi	35
德川秀忠	de chuan xiu zhong	33
德川齐昭	de chuan qi zhao	11
德拉克洛瓦	de la ke luo wa	11
德操	de cao	17
德昂	de ang	26
德止	de zhi	2
德永英明	de yong ying ming	10
德祐	de you	43
德谟克里特	de mo ke li te	2
德重聪	de zhong cong	3
德门蒂耶娃	de men di ye wa	1
忌野清志郎	ji ye qing zhi lang	2
志田未来	zhi tian wei lai	26
志贺直哉	zhi he zhi zai	10
志锐	zhi rui	19
念常	nian chang	2
忽必来	hu bi lai	2
忽那汐里	hu na xi li	4
忽雷驳	hu lei bo	3
怀海	huai hai	9
怀贤	huai xian	2
恒文	heng wen	1
恩锡	en xi	18
恭小兵	gong xiao bing	4
恶逆	e ni	13
恽寿平	yun shou ping	3
恽毓鼎	yun yu ding	3
恽逸群	yun yi qun	1
恽道生	yun dao sheng	2
悉达多	xi da duo	35
悼公	dao gong	21
惠士奇	hui shi qi	3
惠夫	hui fu	1
惠妃	hui fei	37
惠帝	hui di	31
惠栋	hui dong	2
惠雯	hui wen	19
慈明	ci ming	33
慕中华	mu zhong hua	2
慕容儁	mu rong jun	2
慕容冲	mu rong chong	20
慕容博	mu rong bo	1
慕容复	mu rong fu	17
慕容宝	mu rong bao	32
