# 青简领域词库：历史人物，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
乘氏	cheng shi	4
乙羽信子	yi yu xin zi	7
九鬼嘉隆	jiu gui jia long	3
乞鞫	qi ju	3
习经	xi jing	12
书佐	shu zuo	24
书圣	shu sheng	7
乾化	qian hua	2
乾祐	qian you	3
乾统	qian tong	4
二之宫知子	er zhi gong zhi zi	5
二乔	er qiao	28
二宫和也	er gong he ye	49
二月丫头	er yue ya tou	5
二月河	er yue he	9
二祥	er xiang	2
于丹	yu dan	34
于伶	yu ling	10
于光远	yu guang yuan	42
于台烟	yu tai yan	7
于吉	yu ji	4
于善庆	yu shan qing	3
于娜	yu na	8
于小伟	yu xiao wei	8
于川	yu chuan	7
于幼华	yu you hua	1
于彤	yu tong	3
于德基	yu de ji	1
于志勇	yu zhi yong	6
于慎行	yu shen xing	20
于敏中	yu min zhong	6
于文华	yu wen hua	5
于新春	yu xin chun	5
于是之	yu shi zhi	8
于曙光	yu shu guang	2
于树德	yu shu de	18
于渊	yu yuan	3
于潜	yu qian	20
于灏	yu hao	4
于照	yu zhao	4
于皓	yu hao	3
于禁	yu jin	42
于莎莎	yu sha sha	27
于西蔓	yu xi man	4
于钦	yu qin	7
于陵	yu ling	14
于震环	yu zhen huan	3
云玲	yun ling	1
五听	wu ting	6
五监	wu jian	2
五轮书	wu lun shu	1
五轮真弓	wu lun zhen gong	1
井上和彦	jing shang he yan	18
井上真央	jing shang zhen yang	25
井上织姬	jing shang zhi ji	16
井上阳水	jing shang yang shui	45
井上雄彦	jing shang xiong yan	19
井之原快彦	jing zhi yuan kuai yan	8
井勿幕	jing wu mu	3
井原西鹤	jing yuan xi he	4
井川遥	jing chuan yao	13
亚当斯密	ya dang si mi	3
亚由美	ya you mei	29
亚相	ya xiang	3
亚纱美	ya sha mei	1
亢宗	kang zong	1
交河城	jiao he cheng	3
亦舒	yi shu	47
亨得利	heng de li	17
亨曼	heng man	9
京本政树	jing ben zheng shu	2
人禅	ren chan	3
什伐赤	shi fa chi	4
仁宇	ren yu	21
仇兆鳌	qiu zhao ao	4
仇垲	qiu kai	4
仇晓	qiu xiao	6
仇连	qiu lian	4
今井绘理子	jin jing hui li zi	1
今宿麻美	jin su ma mei	2
今川义元	jin chuan yi yuan	30
今村俊也	jin cun jun ye	3
介卿	jie qing	15
介文	jie wen	16
从公	cong gong	10
仓持明日香	cang chi ming ri xiang	30
仓木麻衣	cang mu ma yi	49
付光明	fu guang ming	4
付晓芳	fu xiao fang	3
付静	fu jing	2
仙石秀久	xian shi xiu jiu	2
代勇	dai yong	5
代善	dai shan	40
令居	ling ju	21
仪狄	yi di	6
仲仁	zhong ren	18
仲代达矢	zhong dai da shi	16
仲壬	zhong ren	1
仲子	zhong zi	20
仲宣	zhong xuan	17
仲山	zhong shan	8
仲康	zhong kang	11
仲翔	zhong xiang	9
仲远	zhong yuan	29
仲长统	zhong chang tong	2
仲间由纪惠	zhong jian you ji hui	22
仲颖	zhong ying	5
任光	ren guang	31
任可澄	ren ke cheng	5
任城国	ren cheng guo	2
任士林	ren shi lin	2
任家萱	ren jia xuan	15
任峻	ren jun	11
任建新	ren jian xin	6
任晓静	ren xiao jing	9
任枫	ren feng	2
任汝芬	ren ru fen	5
任泉	ren quan	36
任海波	ren hai bo	7
任淇	ren qi	1
任源	ren yuan	3
任溶溶	ren rong rong	5
任玥	ren yue	9
任环	ren huan	5
任程伟	ren cheng wei	8
任远征	ren yuan zheng	2
任道逊	ren dao xun	2
任道镕	ren dao rong	1
任长霞	ren chang xia	2
任陈晋	ren chen jin	2
任颐	ren yi	1
伊万丘克	yi wan qiu ke	4
伊东美咲	yi dong mei xiao	4
伊克巴尔	yi ke ba er	19
伊凡雷帝	yi fan lei di	10
伊利克	yi li ke	4
伊势谷友介	yi shi gu you jie	7
伊基塔	yi ji ta	5
伊壁鸠鲁	yi bi jiu lu	41
伊尹	yi yin	32
伊月	yi yue	3
伊海	yi hai	4
伊秉绶	yi bing shou	6
伊籍	yi ji	5
伊莎贝拉一世	yi sha bei la yi shi	32
伊藤千晃	yi teng qian huang	7
伊藤步	yi teng bu	8
伊藤淳史	yi teng chun shi	5
伊藤由奈	yi teng you nai	1
伊藤英明	yi teng ying ming	22
伊藤诚	yi teng cheng	3
伊藤隆大	yi teng long da	1
伊藤静	yi teng jing	15
伊达直人	yi da zhi ren	5
伍仕贤	wu shi xian	6
伍代夏子	wu dai xia zi	2
伍孚	wu fu	2
伍宪子	wu xian zi	12
伍崇曜	wu chong yao	10
伍延鎏	wu yan liu	3
伍廷芳	wu ting fang	37
伍德彝	wu de yi	3
伍思凯	wu si kai	23
伍洪	wu hong	9
伍洲彤	wu zhou tong	2
伍琼	wu qiong	3
伍瑞隆	wu rui long	3
伍郎	wu lang	2
伍长华	wu zhang hua	3
伍霞	wu xia	6
伍飞	wu fei	3
伍骥	wu ji	2
伏契克	fu qi ke	3
伏完	fu wan	4
伏明霞	fu ming xia	5
伏皇后	fu huang hou	9
伏胜	fu sheng	2
休伊特	xiu yi te	47
休徵	xiu zheng	3
会津藩	hui jin fan	25
会稽王	kuai ji wang	33
会考府	hui kao fu	1
伦森布林克	lun sen bu lin ke	21
伯仁	bo ren	18
伯益	bo yi	6
佐伯日菜子	zuo bo ri cai zi	3
佐佐木小次郎	zuo zuo mu xiao ci lang	24
佐佐木希	zuo zuo mu xi	18
佐佐木敦子	zuo zuo mu dun zi	2
佐佐木麻绪	zuo zuo mu ma xu	1
佐藤健	zuo teng jian	47
佐藤利奈	zuo teng li nai	17
佐藤多佳子	zuo teng duo jia zi	7
佐藤宽子	zuo teng kuan zi	1
佐藤春夫	zuo teng chun fu	9
佐藤浩市	zuo teng hao shi	27
佐藤爱	zuo teng ai	6
佐藤直纪	zuo teng zhi ji	4
佐藤蓝子	zuo teng lan zi	6
佐藤裕美	zuo teng yu mei	13
佐藤隆太	zuo teng long tai	10
佐藤麻衣	zuo teng ma yi	1
何中	he zhong	10
何乔远	he qiao yuan	9
何亮亮	he liang liang	2
何仙姑	he xian gu	31
何元锡	he yuan xi	1
何全	he quan	5
何其伟	he qi wei	1
何冬	he dong	1
何冰	he bing	48
何凤	he feng	11
何叔衡	he shu heng	28
何国栋	he guo dong	1
何基	he ji	13
何大成	he da cheng	3
何太后	he tai hou	6
何如宠	he ru chong	2
何子渊	he zi yuan	4
何孟春	he meng chun	4
何守志	he shou zhi	4
何守正	he shou zheng	6
何宗	he zong	26
何庆元	he qing yuan	2
何志锋	he zhi feng	3
何承天	he cheng tian	10
何振岱	he zhen dai	1
何敏	he min	33
何旃理	he zhan li	2
何晏	he yan	37
何景明	he jing ming	7
何晴	he qing	8
何曼	he man	14
何栋	he dong	12
何桂清	he gui qing	1
何梦瑶	he meng yao	2
何植	he zhi	2
何毅	he yi	37
何永绍	he yong shao	3
何洋	he yang	3
何海洋	he hai yang	2
何深	he shen	6
何澄	he cheng	11
何炫	he xuan	2
何炳棣	he bing di	7
何焯	he zhuo	7
何玉成	he yu cheng	3
何琢言	he zhuo yan	3
何琳	he lin	26
何璋	he zhang	5
何祎	he yi	3
何祐	he you	2
何绍周	he shao zhou	12
何美钿	he mei tian	5
何翀	he chong	1
何耀珊	he yao shan	9
何腾蛟	he teng jiao	36
何苗	he miao	3
何赛飞	he sai fei	10
何辉	he hui	25
何进	he jin	31
何连生	he lian sheng	1
何适	he shi	2
何逊	he xun	4
何采	he cai	5
何鑫	he xin	3
何镗	he tang	1
何静	he jing	11
余一元	yu yi yuan	2
余三胜	yu san sheng	1
余上沅	yu shang yuan	2
余世维	yu shi wei	7
余乐醒	yu le xing	11
余伯泉	yu bo quan	3
余光中	yu guang zhong	38
余华	yu hua	30
余叔岩	yu shu yan	3
余四海	yu si hai	3
余姝	yu shu	9
余安	yu an	23
余少镭	yu shao lei	5
余平	yu ping	5
余彤	yu tong	1
余怀	yu huai	2
余文乐	yu wen le	38
余既成	yu ji cheng	4
余日章	yu ri zhang	8
余晓平	yu xiao ping	4
余栋臣	yu dong chen	2
余治	yu zhi	4
余洪元	yu hong yuan	3
余清芳	yu qing fang	7
余秋雨	yu qiu yu	11
余程万	yu cheng wan	12
余纲	yu gang	3
余绍宋	yu shao song	4
余继登	yu ji deng	2
余翠芝	yu cui zhi	2
余萧客	yu xiao ke	2
余觉	yu jue	3
余谈阵	yu tan zhen	4
余贲民	yu ben min	2
余贵美子	yu gui mei zi	19
余轩朗	yu xuan lang	2
余阙	yu que	1
余集	yu ji	10
余青	yu qing	1
余靖	yu jing	11
余韶	yu shao	1
余鹏	yu peng	4
佟大中	tong da zhong	2
佟岩	tong yan	3
佟韦	tong wei	1
佟麟阁	tong lin ge	13
佩特洛娃	pei te luo wa	20
依娜	yi na	22
依田纪基	yi tian ji ji	6
侯伟	hou wei	8
侯佩岑	hou pei cen	21
侯克中	hou ke zhong	2
侯卫东	hou wei dong	7
侯君集	hou jun ji	20
侯咏	hou yong	4
侯宁	hou ning	4
侯宝林	hou bao lin	20
侯度	hou du	17
侯德榜	hou de bang	5
侯成	hou cheng	3
侯振宇	hou zhen yu	2
侯方域	hou fang yu	5
侯晓军	hou xiao jun	3
侯梁	hou liang	8
侯湘婷	hou xiang ting	8
侯炜	hou wei	5
侯玉山	hou yu shan	1
侯相	hou xiang	19
侯祥麟	hou xiang lin	3
侯耀华	hou yao hua	1
侯耀文	hou yao wen	4
侯自强	hou zi qiang	5
侯览	hou lan	9
侯野	hou ye	3
侯鹄	hou hu	2
保剑锋	bao jian feng	15
保卢斯	bao lu si	20
保巴	bao ba	1
保田圭	bao tian gui	2
保罗艾伦	bao luo ai lun	4
保辜	bao gu	4
保阪尚希	bao ban shang xi	2
俞万春	yu wan chun	3
俞云	yu yun	11
俞佳	yu jia	1
俞兆晟	yu zhao sheng	3
俞力工	yu li gong	2
俞和	yu he	1
俞培	yu pei	1
俞大猷	yu da you	20
俞山	yu shan	2
俞平伯	yu ping bo	26
俞弁	yu bian	3
俞振飞	yu zhen fei	11
俞斌	yu bin	13
俞明震	yu ming zhen	4
俞松	yu song	4
俞樾	yu yue	47
俞正燮	yu zheng xie	4
俞济时	yu ji shi	37
俞琬	yu wan	1
俞莹	yu ying	7
俞蛟	yu jiao	1
俞飞鸿	yu fei hong	26
俞飞鹏	yu fei peng	22
俞鸿钧	yu hong jun	23
信世昌	xin shi chang	1
信陵君	xin ling jun	9
修仪	xiu yi	27
修华	xiu hua	10
修媛	xiu yuan	6
修庆	xiu qing	7
修文馆	xiu wen guan	7
修昔底德	xiu xi di de	42
倍赏千惠子	bei shang qian hui zi	19
倍赏美津子	bei shang mei jin zi	11
倓虚	tan xu	3
倪一膺	ni yi ying	2
倪元璐	ni yuan lu	14
倪华	ni hua	7
倪洪章	ni hong zhang	3
倪田	ni tian	5
倪睿思	ni rui si	2
倪萍	ni ping	21
倪虹洁	ni hong jie	8
倪蜕	ni tui	2
倪超	ni chao	7
倪鸿	ni hong	3
假相国	jia xiang guo	2
傅云龙	fu yun long	9
傅亨	fu heng	2
傅以渐	fu yi jian	1
傅佥	fu qian	1
傅佩荣	fu pei rong	35
傅光宅	fu guang zhai	1
傅国栋	fu guo dong	3
傅增湘	fu zeng xiang	19
傅家俊	fu jia jun	9
傅山	fu shan	12
傅崇碧	fu chong bi	11
傅彪	fu biao	5
傅惜华	fu xi hua	1
傅抱石	fu bao shi	24
傅明宪	fu ming xian	1
傅泾波	fu jing bo	4
傅瀚	fu han	2
傅熊湘	fu xiong xiang	2
傅瑜	fu yu	5
傅眉	fu mei	2
傅秉常	fu bing chang	20
傅聪	fu cong	16
傅阳	fu yang	3
傅雷	fu lei	46
傅鹰	fu ying	7
储光羲	chu guang xi	4
储巏	chu quan	3
僧格林沁	seng ge lin qin	31
僧肇	seng zhao	12
僰道	bo dao	12
儒勒斯	ru le si	3
兀突骨	wu tu gu	7
允常	yun chang	8
允才	yun cai	7
允若	yun ruo	18
元作	yuan zuo	18
元公	yuan gong	22
元善见	yuan shan jian	9
元太宗	yuan tai zong	43
元太祖	yuan tai zu	12
元太祖成吉思汗	yuan tai zu cheng ji si han	7
元好问	yuan hao wen	16
元子攸	yuan zi you	33
元宏	yuan hong	39
元宗	yuan zong	40
元宝炬	yuan bao ju	34
元宪宗	yuan xian zong	48
元廓	yuan kuo	1
元恪	yuan ke	26
元恭	yuan gong	17
元文宗图帖睦尔	yuan wen zong tu tie mu er	4
元昊	yuan hao	33
元晔	yuan ye	12
元泰	yuan tai	32
元淮	yuan huai	1
元猫	yuan mao	2
元秋	yuan qiu	15
元稹	yuan zhen	29
元结	yuan jie	6
元脩	yuan xiu	2
元让	yuan rang	11
元诩	yuan xu	26
元钦	yuan qin	18
光初	guang chu	5
光定	guang ding	4
克劳斯施瓦布	ke lao si shi wa bu	3
克尔凯戈尔	ke er kai ge er	4
克拉姆尼克	ke la mu ni ke	2
克拉普罗特	ke la pu luo te	10
克新	ke xin	6
克林斯曼	ke lin si man	9
克莱斯特	ke lai si te	40
克里斯托弗哥伦布	ke li si tuo fu ge lun bu	2
克鲁伊夫	ke lu yi fu	42
党国英	dang guo ying	10
党国蕾	dang guo lei	4
党均	dang jun	20
党宁	dang ning	4
党成	dang cheng	7
入山杏奈	ru shan xing nai	42
入江直树	ru jiang zhi shu	12
入江纱绫	ru jiang sha ling	1
全勇先	quan yong xian	3
全尚	quan shang	6
全度妍	quan du yan	1
全汉升	quan han sheng	7
全琮	quan cong	20
全端	quan duan	5
八乙女光	ba yi nv guang	32
八代亚纪	ba dai ya ji	5
公刘	gong liu	19
公台	gong tai	12
公孙度	gong sun du	5
公孙康	gong sun kang	17
公孙恭	gong sun gong	3
公孙渊	gong sun yuan	46
公孙瓒	gong sun zan	27
公孙轩辕	gong sun xuan yuan	3
公孙鞅	gong sun yang	3
公孙龙	gong sun long	19
公室告	gong shi gao	1
六卿	liu qing	24
兰石	lan shi	5
兰茂	lan mao	13
共工	gong gong	39
关之琳	guan zhi lin	32
关云长	guan yun chang	18
关兴	guan xing	15
关友声	guan you sheng	4
关口里美	guan kou li mei	3
关向应	guan xiang ying	22
关咏荷	guan yong he	21
关天培	guan tian pei	11
关宁	guan ning	5
关定	guan ding	1
关心妍	guan xin yan	47
关松房	guan song fang	7
关槐	guan huai	3
关汉卿	guan han qing	21
关索	guan suo	32
关纯	guan chun	1
关肃霜	guan su shuang	6
典韦	dian wei	41
冀志罡	ji zhi gang	3
冀朝铸	ji chao zhu	2
冀朝鼎	ji chao ding	10
内山完造	nei shan wan zao	9
内斯肯斯	nei si ken si	1
内村光良	nei cun guang liang	23
内田有纪	nei tian you ji	15
内野圣阳	nei ye sheng yang	15
冈本信彦	gang ben xin yan	16
冈本圭人	gang ben gui ren	24
冈本夏生	gang ben xia sheng	2
冈本多绪	gang ben duo xu	2
冈本真夜	gang ben zhen ye	10
冈村孝子	gang cun xiao zi	1
冈村宁次	gang cun ning ci	43
冈田准一	gang tian zhun yi	16
冈田将生	gang tian jiang sheng	21
冉平	ran ping	2
冉觐祖	ran jin zu	3
冉雄飞	ran xiong fei	6
冒广生	mao guang sheng	1
冒襄	mao xiang	3
冒顿单于	mo du chan yu	11
冢宰	zhong zai	42
冢本晋也	zhong ben jin ye	8
冬日那	dong ri na	2
冯一刀	feng yi dao	2
冯一萌	feng yi meng	2
冯云山	feng yun shan	8
冯保	feng bao	22
冯光裕	feng guang yu	2
冯勇强	feng yong qiang	2
冯友兰	feng you lan	27
冯国章	feng guo zhang	2
冯坤	feng kun	7
冯培元	feng pei yuan	1
冯大刚	feng da gang	5
冯大有	feng da you	2
冯奕	feng yi	15
冯如	feng ru	15
冯媛甄	feng yuan zhen	3
冯嫽	feng liao	2
冯子材	feng zi cai	5
冯安邦	feng an bang	3
