# 日文词汇等级（JLPT）。来源：tanos.co.uk 的 JLPT 词表（Jonathan Waller，CC BY），
# 经 elzup/jlpt-word-list（MIT，https://github.com/elzup/jlpt-word-list）整理为 CSV。
# 由 tools/corpus/levels.py 生成。格式：词\t等级；`# levels` 行是等级从易到难的顺序。
# levels	N5	N4	N3	N2	N1
少し	N5
少ない	N5
居る	N5
屋	N5
山	N5
川	N5
左	N5
差す	N5
帰る	N5
帽子	N5
平仮名	N5
年	N5
広い	N5
店	N5
度	N5
座る	N5
庭	N5
廊下	N5
建物	N5
引く	N5
弟	N5
弱い	N5
強い	N5
弾く	N5
待つ	N5
後	N5
後ろ	N5
御飯	N5
忘れる	N5
忙しい	N5
悪い	N5
意味	N5
戸	N5
所	N5
手	N5
手紙	N5
押す	N5
持つ	N5
掃除	N5
授業	N5
掛ける	N5
撮る	N5
教える	N5
教室	N5
散歩	N5
文章	N5
料理	N5
新しい	N5
新聞	N5
方	N5
旅行	N5
日	N5
日曜日	N5
早い	N5
明るい	N5
明後日	N5
明日	N5
易しい	N5
映画	N5
映画館	N5
春	N5
昨夜	N5
昨日	N5
昼	N5
昼御飯	N5
時	N5
時々	N5
時計	N5
時間	N5
晩	N5
晩御飯	N5
晴れ	N5
晴れる	N5
暇	N5
暑い	N5
暖かい	N5
暗い	N5
曇り	N5
曇る	N5
曲る	N5
書く	N5
月	N5
月曜日	N5
有る	N5
有名	N5
服	N5
朝	N5
朝御飯	N5
木	N5
木曜日	N5
本	N5
本当	N5
本棚	N5
机	N5
村	N5
来る	N5
来年	N5
来月	N5
来週	N5
杯	N5
東	N5
枚	N5
果物	N5
椅子	N5
楽しい	N5
横	N5
橋	N5
次	N5
欲しい	N5
歌	N5
歌う	N5
止まる	N5
歩く	N5
歯	N5
歳	N5
死ぬ	N5
段々	N5
母	N5
毎年	N5
毎日	N5
毎晩	N5
毎月	N5
毎朝	N5
毎週	N5
水	N5
水曜日	N5
汚い	N5
池	N5
沢山	N5
河	N5
泳ぐ	N5
洋服	N5
洗う	N5
洗濯	N5
浴びる	N5
海	N5
消える	N5
消す	N5
涼しい	N5
渡す	N5
渡る	N5
温い	N5
漢字	N5
火曜日	N5
灰皿	N5
無くす	N5
熱い	N5
父	N5
片仮名	N5
牛乳	N5
牛肉	N5
物	N5
犬	N5
狭い	N5
猫	N5
玄関	N5
甘い	N5
生まれる	N5
生徒	N5
男	N5
男の子	N5
町	N5
留学生	N5
番	N5
番号	N5
疲れる	N5
病気	N5
病院	N5
痛い	N5
登る	N5
白	N5
白い	N5
百	N5
皆さん	N5
目	N5
眼鏡	N5
着く	N5
着る	N5
知る	N5
短い	N5
石鹸	N5
砂糖	N5
磨く	N5
私	N5
秋	N5
空	N5
窓	N5
立つ	N5
答える	N5
箱	N5
箸	N5
紅茶	N5
紙	N5
細い	N5
終る	N5
結婚	N5
結構	N5
絵	N5
綺麗	N5
緑	N5
締める	N5
練習	N5
置く	N5
美味しい	N5
習う	N5
耳	N5
聞く	N5
肉	N5
背	N5
背広	N5
脚	N5
脱ぐ	N5
自分	N5
自動車	N5
自転車	N5
色	N5
色々	N5
花	N5
花瓶	N5
若い	N5
英語	N5
茶碗	N5
茶色	N5
荷物	N5
葉書	N5
薄い	N5
薬	N5
行く	N5
西	N5
要る	N5
見せる	N5
見る	N5
覚える	N5
角	N5
言う	N5
言葉	N5
話	N5
話す	N5
誕生日	N5
語	N5
読む	N5
誰	N5
誰か	N5
警官	N5
豚肉	N5
財布	N5
買い物	N5
買う	N5
貸す	N5
貼る	N5
質問	N5
赤	N5
赤い	N5
走る	N5
起きる	N5
足	N5
車	N5
軽い	N5
辛い	N5
辞書	N5
辺	N5
近い	N5
近く	N5
返す	N5
速い	N5
週間	N5
遅い	N5
遊ぶ	N5
道	N5
違う	N5
遠い	N5
部屋	N5
郵便局	N5
醤油	N5
重い	N5
